Welcome Back!,Bon retour !
Please sign in to your account ,Veuillez vous connecter à votre compte 
Join us for exclusive offers and order tracking,Rejoignez-nous pour des offres exclusives et le suivi des commandes
Sign Up,S'inscrire
Signing Up...,Inscription...
Signing In...,Connexion...
Recent Orders,Commandes récentes
Address Book,Carnet d'adresses
You have no addresses saved,Vous n'avez aucune adresse enregistrée
Add new address,Ajouter une adresse
Address 2,Adresse 2
Set as default,Définir par défaut
Save,Enregistrer
Edit,Modifier
Delete,Supprimer
Edit Address,Modifier l'adresse
Product Filters,Filtres de produits
No products found,Aucun produit trouvé
${count} Products,${count} produits
Default,Par défaut
Name,Nom
Continue Shopping,Continuer les achats
Discount(${coupon}),Remise (${coupon})
${count} items,${count} articles
Thank you ${name}!,Merci ${name} !
Contact Information,Coordonnées
Order #${orderNumber},Commande n° ${orderNumber}
VIEW CART (${count}),VOIR LE PANIER (${count})
Your Cart,Votre panier
Your cart is empty,Votre panier est vide
Subtotal,Sous-total
View Cart (${totalQty}),Voir le panier (${totalQty})
Shopping Cart,Panier
Logged in as,Connecté en tant que
Payment Information,Informations de paiement
Same as shipping address,Identique à l'adresse de livraison
Use a different billing address,Utiliser une autre adresse de facturation
Pick a payment method,Choisir un mode de paiement
Select a payment method,Sélectionner un mode de paiement
Complete Order,Finaliser la commande
Add to Cart,Ajouter au panier
Search,Rechercher
${count} orders,${count} commandes
${field} is required,${field} est obligatoire
${pct}% of orders cancelled,${pct} % des commandes annulées
${pct}% of orders completed,${pct} % des commandes terminées
${qty} sold,${qty} vendus
${total} lifetime sale,${total} de ventes cumulées
(Guest Checkout),(Commande en tant qu'invité)
(list),(liste)
(optional),(facultatif)
A coupon is already applied,Un coupon est déjà appliqué
A group needs at least one sub-field,Un groupe doit comporter au moins un sous-champ
A list of best selling products,Une liste des produits les plus vendus
A list of customers who have placed the most orders,Une liste des clients ayant passé le plus de commandes
A regular expression the value must match.,Une expression régulière à laquelle la valeur doit correspondre.
Accepted values,Valeurs acceptées
Active,Actif
Active Filters,Filtres actifs
Add address API not available,L'API d'ajout d'adresse n'est pas disponible
Add custom field,Ajouter un champ personnalisé
Add field,Ajouter un champ
Add item,Ajouter un article
Add option,Ajouter une option
Add product,Ajouter un produit
Add some items to get started,Ajoutez des articles pour commencer
Add sub-field,Ajouter un sous-champ
Adding...,Ajout...
Address has been deleted successfully!,L'adresse a été supprimée avec succès !
Address has been saved successfully!,L'adresse a été enregistrée avec succès !
Address has been updated successfully!,L'adresse a été mise à jour avec succès !
Adds target=_blank rel=noopener noreferrer.,Ajoute target=_blank rel=noopener noreferrer.
All items fulfilled,Tous les articles traités
All orders,Toutes les commandes
All your past orders,Toutes vos commandes passées
Allow multiple,Autoriser plusieurs
An unexpected error occurred. Please try again.,Une erreur inattendue s'est produite. Veuillez réessayer.
Apply Filters,Appliquer les filtres
Are you sure you want to mark the selected orders as shipped?,Voulez-vous vraiment marquer les commandes sélectionnées comme expédiées ?
Are you sure?,Êtes-vous sûr ?
Attribute Group,Groupe d'attributs
Attribute code is used in API and must be unique,Le code d'attribut est utilisé dans l'API et doit être unique
Attribute options,Options d'attribut
Attributes,Attributs
Available shipping methods will appear once you provide your address details,Les modes de livraison disponibles apparaîtront une fois que vous aurez renseigné votre adresse
Best Sellers,Meilleures ventes
Best customers,Meilleurs clients
Billing address,Adresse de facturation
Black,Noir
Buy qty,Qté achetée
Buy qty is required,La qté achetée est obligatoire
Can not process payment. Please try again later.,Impossible de traiter le paiement. Veuillez réessayer plus tard.
Can't be undone,Irréversible
Cancel,Annuler
Cancel Order,Annuler la commande
Cancel shipment,Annuler l'expédition
Cancel this shipment?,Annuler cette expédition ?
Canceled,Annulée
Cancelled,Annulée
Cannot add billing address: cart not initialized,Impossible d'ajouter l'adresse de facturation : panier non initialisé
Cannot add contact info: cart not initialized,Impossible d'ajouter les coordonnées : panier non initialisé
Cannot add payment method: cart not initialized,Impossible d'ajouter le mode de paiement : panier non initialisé
Cannot add shipping address: cart not initialized,Impossible d'ajouter l'adresse de livraison : panier non initialisé
Cannot add shipping method: cart not initialized,Impossible d'ajouter le mode de livraison : panier non initialisé
Cannot add shipping method: providerCode is required,Impossible d'ajouter le mode de livraison : providerCode est obligatoire
Cannot apply coupon: cart not initialized,Impossible d'appliquer le coupon : panier non initialisé
Cannot remove coupon: cart not initialized,Impossible de retirer le coupon : panier non initialisé
Carrier,Transporteur
Carrier is required,Le transporteur est obligatoire
Cart ID is required to checkout,L'ID du panier est requis pour passer commande
Cart is not initialized,Le panier n'est pas initialisé
Catalog,Catalogue
Categories,Catégories
Category,Catégorie
Charcoal,Anthracite
Checkout success,Commande réussie
Choose Product SKU,Choisir le SKU du produit
Choose SKU,Choisir le SKU
Clear All,Tout effacer
Clear Filters,Effacer les filtres
Clear all,Tout effacer
Clear categories,Effacer les catégories
Close fullscreen view,Fermer le mode plein écran
Code,Code
Collections,Collections
Comma-separated; renders the value as a dropdown.,Séparées par des virgules ; affiche la valeur sous forme de liste déroulante.
Completed,Terminée
Configurable,Configurable
Configure tax classes and tax rates,Configurer les classes et taux de taxe
Confirm,Confirmer
Contact for pricing,Contactez-nous pour le tarif
Conveniently pay with cash at your doorstep when your order is delivered.,Payez facilement en espèces à votre porte lors de la livraison de votre commande.
Coupon applied successfully!,Coupon appliqué avec succès !
Coupon code is required,Le code du coupon est obligatoire
Coupon does not match,Le coupon ne correspond pas
Coupon removed successfully!,Coupon retiré avec succès !
Cream,Crème
Create,Créer
Create a new attribute,Créer un attribut
Create a new group,Créer un groupe
Create a new package,Créer un colis
Create shipment,Créer une expédition
Created,Créée
Custom URL,URL personnalisée
Custom field created,Champ personnalisé créé
Custom field updated,Champ personnalisé mis à jour
Custom fields,Champs personnalisés
Custom fields (JSON),Champs personnalisés (JSON)
Custom fields saved,Champs personnalisés enregistrés
Customer Information,Informations client
Customer does not have any order yet.,Le client n'a encore passé aucune commande.
Customer notes,Notes du client
Daily,Quotidien
Date and time must be after ${min},La date et l'heure doivent être postérieures à ${min}
Date and time must be before ${max},La date et l'heure doivent être antérieures à ${max}
Date must be after ${min},La date doit être postérieure à ${min}
Date must be before ${max},La date doit être antérieure à ${max}
Delete ${count} coupons,Supprimer ${count} coupons
Delete ${count} products,Supprimer ${count} produits
Delete address API not available,API de suppression d'adresse non disponible
Delivered,Livré
Description,Description
Disable,Désactiver
Disable ${count} coupons,Désactiver ${count} coupons
Disable ${count} customers,Désactiver ${count} clients
Disable ${count} products,Désactiver ${count} produits
Disabled,Désactivé
Discount percent,Pourcentage de remise
Discount percent is required,Le pourcentage de remise est requis
Display on Frontend?,Afficher sur la boutique ?
Displays the mobile sidebar.,Affiche la barre latérale mobile.
Done,Terminé
Drag to reorder,Glisser pour réorganiser
Duplicate,Dupliquer
Edit custom field,Modifier le champ personnalisé
Edit field settings,Modifier les paramètres du champ
Edit package,Modifier le colis
Edit tracking info,Modifier les infos de suivi
Editing ${name},Modification de ${name}
Email a shipment confirmation,Envoyer une confirmation d'expédition par e-mail
Email a shipment confirmation with tracking details,Envoyer une confirmation d'expédition par e-mail avec les détails de suivi
Email is required,L'e-mail est requis
Enable,Activer
Enable ${count} coupons,Activer ${count} coupons
Enable ${count} customers,Activer ${count} clients
Enable ${count} products,Activer ${count} produits
Enabled,Activé
Enter attribute code,Saisir le code de l'attribut
Enter attribute name,Saisir le nom de l'attribut
Enter text,Saisir du texte
Enter value for ${attribute},Saisir une valeur pour ${attribute}
Enter your email,Saisissez votre e-mail
Enter your new password,Saisissez votre nouveau mot de passe
Enter your password,Saisissez votre mot de passe
Error,Erreur
Failed to add address,Échec de l'ajout de l'adresse
Failed to add billing address,Échec de l'ajout de l'adresse de facturation
Failed to add billing address.,Échec de l'ajout de l'adresse de facturation.
Failed to add contact info,Échec de l'ajout des coordonnées
Failed to add contact info.,Échec de l'ajout des coordonnées.
Failed to add item to cart,Échec de l'ajout de l'article au panier
Failed to add payment method,Échec de l'ajout du mode de paiement
Failed to add payment method.,Échec de l'ajout du mode de paiement.
Failed to add product to cart,Échec de l'ajout du produit au panier
Failed to add shipping address,Échec de l'ajout de l'adresse de livraison
Failed to add shipping address.,Échec de l'ajout de l'adresse de livraison.
Failed to add shipping method,Échec de l'ajout du mode de livraison
Failed to add shipping method.,Échec de l'ajout du mode de livraison.
Failed to apply coupon,Échec de l'application du coupon
Failed to cancel shipment,Échec de l'annulation de l'expédition
Failed to checkout,Échec du paiement
Failed to create field,Échec de la création du champ
Failed to create shipment,Échec de la création de l'expédition
Failed to delete address,Échec de la suppression de l'adresse
Failed to load custom fields,Échec du chargement des champs personnalisés
Failed to mark delivered,Échec du marquage comme livré
Failed to place order,Échec de la validation de la commande
Failed to place order. Please try again.,Échec de la validation de la commande. Veuillez réessayer.
Failed to remove coupon,Échec de la suppression du coupon
Failed to remove coupon.,Échec de la suppression du coupon.
Failed to save custom fields,Échec de l'enregistrement des champs personnalisés
Failed to set shipping method,Échec de la définition du mode de livraison
Failed to set shipping note,Échec de l'enregistrement de la note de livraison
Failed to update address,Échec de la mise à jour de l'adresse
Failed to update field,Échec de la mise à jour du champ
Failed to update shipment,Échec de la mise à jour de l'expédition
Failed to update tracking info,Échec de la mise à jour des infos de suivi
Failed to void label,Échec de l'annulation de l'étiquette
Failed!,Échec !
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Champs applicables à ce type d'entité. L'ajout d'un champ l'applique à toutes les entités de ce type.
File size must be less than ${maxSize},La taille du fichier doit être inférieure à ${maxSize}
Filter Products,Filtrer les produits
Filters,Filtres
First,Premier
Free,Gratuit
Free shipping,Livraison gratuite
Free shipping ?,Livraison gratuite ?
Fulfill ${count} orders,Honorer ${count} commandes
Full Name is required,Le nom complet est requis
Fully shipped,Entièrement expédié
General,Général
Get qty,Quantité offerte
Get qty is required,La quantité offerte est requise
Ghost,Fantôme
Go,OK
Go to Login,Aller à la connexion
Go to next page,Aller à la page suivante
Go to previous page,Aller à la page précédente
Hello,Bonjour
Hide from storefront,Masquer de la boutique
ID,ID
In Stock,En stock
Inactive,Inactif
Inclusive of tax ${totalTaxAmount},TTC ${totalTaxAmount}
Insert,Insérer
Invalid address,Adresse invalide
Invalid cart,Panier invalide
Invalid cart id,ID de panier invalide
Invalid coupon,Coupon invalide
Invalid customer,Client invalide
Invalid customer id,ID de client invalide
Invalid email or password,E-mail ou mot de passe invalide
Invalid format,Format invalide
Invalid quantity,Quantité invalide
Is Filterable?,Filtrable ?
Is Required?,Obligatoire ?
Item,Article
Items,Articles
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Les articles de cette expédition retourneront dans le pool non expédié de la commande. Cette action est irréversible.
Key,Clé
Key is required,La clé est requise
Label,Étiquette
Label voided,Étiquette annulée
Language,Langue
Last,Dernier
Lifetime Sales,Ventes totales
Light gray,Gris clair
Limit,Limite
Link,Lien
Loading,Chargement
Log in,Se connecter
Logging in...,Connexion en cours...
Logging out...,Déconnexion en cours...
Login failed,Échec de la connexion
Logout failed,Échec de la déconnexion
Look like you just started. No bestsellers yet.,On dirait que vous venez de commencer. Aucun best-seller pour l'instant.
"Lowercase letters, digits, underscore. Immutable.","Lettres minuscules, chiffres, trait de soulignement. Immuable."
Manage the general information of the attribute.,Gérer les informations générales de l'attribut.
Manage the setting of the attribute.,Gérer les paramètres de l'attribut.
Mark as shipped,Marquer comme expédié
Mark delivered,Marquer comme livré
Mark shipment as delivered?,Marquer l'expédition comme livrée ?
Max length,Longueur max
Max of Y,Max de Y
Max of Y is required,Le max de Y est requis
Max value,Valeur max
Min length,Longueur min
Min value,Valeur min
Minimum quantity,Quantité minimale
Mint,Vert menthe
Monthly,Mensuel
More,Plus
More pages,Plus de pages
Move down,Descendre
Move up,Monter
Multiselect,Sélection multiple
Must be at least ${n},Doit être au moins ${n}
Must be at least ${n} characters,Doit comporter au moins ${n} caractères
Must be at most ${n},Doit être au plus ${n}
Must be at most ${n} characters,Doit comporter au plus ${n} caractères
"Must start with a letter; lowercase letters, digits, underscore only","Doit commencer par une lettre ; lettres minuscules, chiffres et tiret bas uniquement"
Name is required,Le nom est requis
New Product,Nouveau produit
New Widget,Nouveau widget
New folder,Nouveau dossier
Next,Suivant
Next slide,Diapositive suivante
No,Non
No address data received,Aucune donnée d'adresse reçue
"No attribute groups found for query ""${query}""",Aucun groupe d'attributs trouvé pour la recherche « ${query} »
No carriers registered,Aucun transporteur enregistré
"No categories found for ""${term}""",Aucune catégorie trouvée pour « ${term} »
"No categories found for query ""${query}""",Aucune catégorie trouvée pour la recherche « ${query} »
"No collections found for query ""${query}""",Aucune collection trouvée pour la recherche « ${query} »
No coupon to remove,Aucun coupon à retirer
No custom fields yet.,Aucun champ personnalisé pour le moment.
No data available,Aucune donnée disponible
No free shipping,Pas de livraison gratuite
No limit,Aucune limite
No maximum,Aucun maximum
No minimum,Aucun minimum
No notes from customer,Aucune note du client
"No options found for ""${code}""",Aucune option trouvée pour « ${code} »
"No products found for query ""${query}""",Aucun produit trouvé pour la recherche « ${query} »
No shipments yet — your order is being prepared.,Aucune expédition pour le moment — votre commande est en cours de préparation.
No shipping is required for this order,Aucune livraison n'est requise pour cette commande
No shipping methods available,Aucun mode de livraison disponible
No shipping options are available for your location,Aucune option de livraison n'est disponible pour votre localisation
No shipping required,Aucune livraison requise
No widgets match your search.,Aucun widget ne correspond à votre recherche.
None,Aucun
Not set,Non défini
Not visible to customers,Non visible par les clients
Notify customer,Notifier le client
Open in new tab,Ouvrir dans un nouvel onglet
Operator,Opérateur
Option text,Texte de l'option
Optional help text shown to admins.,Texte d'aide facultatif affiché aux administrateurs.
Order Placed,Commande passée
Order detail,Détail de la commande
Order must contain products matching all conditions below,La commande doit contenir des produits correspondant à toutes les conditions ci-dessous
Order not found,Commande introuvable
Orders,Commandes
