Welcome Back!,Üdvözöljük újra!
Please sign in to your account ,"Kérjük, jelentkezzen be a fiókjába "
Join us for exclusive offers and order tracking,Csatlakozzon hozzánk exkluzív ajánlatokért és rendeléskövetésért
Sign Up,Regisztráció
Signing Up...,Regisztráció...
Signing In...,Bejelentkezés...
Recent Orders,Legutóbbi rendelések
Address Book,Címjegyzék
You have no addresses saved,Nincs mentett cím
Add new address,Új cím hozzáadása
Address 2,Cím 2
Set as default,Beállítás alapértelmezettként
Save,Mentés
Edit,Szerkesztés
Delete,Törlés
Edit Address,Cím szerkesztése
Product Filters,Termékszűrők
No products found,Nem található termék
${count} Products,${count} termék
Default,Alapértelmezett
Name,Név
No payment method available,Nincs elérhető fizetési mód
Contact Information,Kapcsolattartási adatok
Your Cart,Az Ön kosara
Your cart is empty,A kosara üres
Subtotal,Részösszeg
View Cart (${totalQty}),Kosár megtekintése (${totalQty})
Shopping Cart,Bevásárlókosár
Logged in as,Bejelentkezve mint
Payment Information,Fizetési adatok
Same as shipping address,Megegyezik a szállítási címmel
Use a different billing address,Eltérő számlázási cím használata
Pick a payment method,Válasszon fizetési módot
Select a payment method,Válasszon fizetési módot
Complete Order,Rendelés véglegesítése
Add to Cart,Kosárba
Search,Keresés
You will be redirected to PayPal,Át lesz irányítva a PayPal-ra
We are sorry. There was an error processing your payment. Your card was not charged. Please try again.,"Sajnáljuk. Hiba történt a fizetés feldolgozása során. Kártyáját nem terheltük meg. Kérjük, próbálja újra."
${count} orders,${count} rendelés
${field} is required,A(z) ${field} megadása kötelező
${pct}% of orders cancelled,A rendelések ${pct}%-a törölve
${pct}% of orders completed,A rendelések ${pct}%-a teljesítve
${qty} sold,${qty} eladva
${total} lifetime sale,${total} összes eladás
(Guest Checkout),(Vendég vásárlás)
(list),(lista)
(optional),(opcionális)
A coupon is already applied,Már alkalmazva van egy kupon
A group needs at least one sub-field,Egy csoporthoz legalább egy almező szükséges
A list of best selling products,A legkelendőbb termékek listája
A list of customers who have placed the most orders,A legtöbb rendelést leadó vásárlók listája
A regular expression the value must match.,"Reguláris kifejezés, amelyre az értéknek illeszkednie kell."
Accepted values,Elfogadott értékek
Active,Aktív
Active Filters,Aktív szűrők
Add address API not available,A cím hozzáadása API nem érhető el
Add custom field,Egyedi mező hozzáadása
Add field,Mező hozzáadása
Add item,Tétel hozzáadása
Add option,Lehetőség hozzáadása
Add product,Termék hozzáadása
Add some items to get started,Adjon hozzá néhány tételt a kezdéshez
Add sub-field,Almező hozzáadása
Adding...,Hozzáadás...
Address has been deleted successfully!,A cím sikeresen törölve!
Address has been saved successfully!,A cím sikeresen mentve!
Address has been updated successfully!,A cím sikeresen frissítve!
Adds target=_blank rel=noopener noreferrer.,Hozzáadja a target=_blank rel=noopener noreferrer attribútumokat.
All items fulfilled,Minden tétel teljesítve
All orders,Összes rendelés
All your past orders,Minden korábbi rendelése
Allow multiple,Több engedélyezése
An unexpected error occurred. Please try again.,"Váratlan hiba történt. Kérjük, próbálja újra."
Apply Filters,Szűrők alkalmazása
Are you sure you want to mark the selected orders as shipped?,Biztosan kiszállítottként szeretné megjelölni a kiválasztott rendeléseket?
Are you sure?,Biztos benne?
Attribute Group,Tulajdonságcsoport
Attribute code is used in API and must be unique,"A tulajdonságkód az API-ban használatos, és egyedinek kell lennie"
Attribute options,Tulajdonság lehetőségei
Attributes,Tulajdonságok
Available shipping methods will appear once you provide your address details,"Az elérhető szállítási módok megjelennek, miután megadta a címadatait"
Best Sellers,Legkelendőbb termékek
Best customers,Legjobb vásárlók
Billing address,Számlázási cím
Black,Fekete
Buy qty,Vásárolt mennyiség
Buy qty is required,A vásárolt mennyiség megadása kötelező
Can not process payment. Please try again later.,"A fizetés nem dolgozható fel. Kérjük, próbálja újra később."
Can't be undone,Nem vonható vissza
Cancel,Mégse
Cancel Order,Rendelés törlése
Cancel shipment,Szállítmány törlése
Cancel this shipment?,Törli ezt a szállítmányt?
Canceled,Törölve
Cancelled,Törölve
Cannot add billing address: cart not initialized,Nem adható hozzá számlázási cím: a kosár nincs inicializálva
Cannot add contact info: cart not initialized,Nem adhatók hozzá kapcsolattartási adatok: a kosár nincs inicializálva
Cannot add payment method: cart not initialized,Nem adható hozzá fizetési mód: a kosár nincs inicializálva
Cannot add shipping address: cart not initialized,Nem adható hozzá szállítási cím: a kosár nincs inicializálva
Cannot add shipping method: cart not initialized,Nem adható hozzá szállítási mód: a kosár nincs inicializálva
Cannot add shipping method: providerCode is required,Nem adható hozzá szállítási mód: a providerCode megadása kötelező
Cannot apply coupon: cart not initialized,Nem alkalmazható kupon: a kosár nincs inicializálva
Cannot remove coupon: cart not initialized,Nem távolítható el a kupon: a kosár nincs inicializálva
Carrier,Fuvarozó
Carrier is required,A fuvarozó megadása kötelező
Cart ID is required to checkout,A pénztárhoz a kosár azonosító megadása kötelező
Cart is not initialized,A kosár nincs inicializálva
Catalog,Katalógus
Categories,Kategóriák
Category,Kategória
Charcoal,Szénfekete
Checkout success,Sikeres fizetés
Choose Product SKU,Válasszon termék SKU-t
Choose SKU,Válasszon SKU-t
Clear All,Összes törlése
Clear Filters,Szűrők törlése
Clear all,Összes törlése
Clear categories,Kategóriák törlése
Close fullscreen view,Teljes képernyős nézet bezárása
Code,Kód
Collections,Kollekciók
Comma-separated; renders the value as a dropdown.,Vesszővel elválasztva; az értéket legördülő listaként jeleníti meg.
Completed,Teljesítve
Configurable,Konfigurálható
Configure tax classes and tax rates,Adóosztályok és adókulcsok beállítása
Confirm,Megerősítés
Contact for pricing,Árért vegye fel a kapcsolatot
Conveniently pay with cash at your doorstep when your order is delivered.,"Fizessen kényelmesen készpénzzel az ajtajánál, amikor a rendelését kézbesítik."
Coupon applied successfully!,A kupon sikeresen alkalmazva!
Coupon code is required,A kuponkód megadása kötelező
Coupon does not match,A kupon nem egyezik
Coupon removed successfully!,A kupon sikeresen eltávolítva!
Cream,Krémszín
Create,Létrehozás
Create a new attribute,Új tulajdonság létrehozása
Create a new group,Új csoport létrehozása
Create a new package,Új csomag létrehozása
Create shipment,Szállítmány létrehozása
Created,Létrehozva
Custom URL,Egyedi URL
Custom field created,Egyedi mező létrehozva
Custom field updated,Egyedi mező frissítve
Custom fields,Egyedi mezők
Custom fields (JSON),Egyedi mezők (JSON)
Custom fields saved,Egyedi mezők mentve
Customer Information,Vásárlói adatok
Customer does not have any order yet.,A vásárlónak még nincs rendelése.
Customer notes,Vásárlói megjegyzések
Daily,Naponta
Date and time must be after ${min},A dátumnak és időpontnak ${min} utáninak kell lennie
Date and time must be before ${max},A dátumnak és időpontnak ${max} előttinek kell lennie
Date must be after ${min},A dátumnak ${min} utáninak kell lennie
Date must be before ${max},A dátumnak ${max} előttinek kell lennie
Delete ${count} coupons,${count} kupon törlése
Delete ${count} products,${count} termék törlése
Delete address API not available,A cím törlési API nem érhető el
Delivered,Kézbesítve
Description,Leírás
Disable,Letiltás
Disable ${count} coupons,${count} kupon letiltása
Disable ${count} customers,${count} ügyfél letiltása
Disable ${count} products,${count} termék letiltása
Disabled,Letiltva
Discount percent,Kedvezmény százaléka
Discount percent is required,A kedvezmény százaléka kötelező
Display on Frontend?,Megjelenítés a felületen?
Displays the mobile sidebar.,Megjeleníti a mobil oldalsávot.
Done,Kész
Drag to reorder,Húzza az átrendezéshez
Duplicate,Másolat
Edit custom field,Egyéni mező szerkesztése
Edit field settings,Mezőbeállítások szerkesztése
Edit package,Csomag szerkesztése
Edit tracking info,Nyomkövetési adatok szerkesztése
Editing ${name},${name} szerkesztése
Email a shipment confirmation,Szállítási visszaigazolás küldése e-mailben
Email a shipment confirmation with tracking details,Szállítási visszaigazolás küldése e-mailben nyomkövetési adatokkal
Email is required,Az e-mail cím kötelező
Enable,Engedélyezés
Enable ${count} coupons,${count} kupon engedélyezése
Enable ${count} customers,${count} ügyfél engedélyezése
Enable ${count} products,${count} termék engedélyezése
Enabled,Engedélyezve
Enter attribute code,Adja meg a tulajdonság kódját
Enter attribute name,Adja meg a tulajdonság nevét
Enter text,Írjon be szöveget
Enter value for ${attribute},Adjon meg értéket ehhez: ${attribute}
Enter your email,Adja meg az e-mail címét
Enter your new password,Adja meg az új jelszavát
Enter your password,Adja meg a jelszavát
Error,Hiba
Failed to add address,Nem sikerült hozzáadni a címet
Failed to add billing address,Nem sikerült hozzáadni a számlázási címet
Failed to add billing address.,Nem sikerült hozzáadni a számlázási címet.
Failed to add contact info,Nem sikerült hozzáadni a kapcsolattartási adatokat
Failed to add contact info.,Nem sikerült hozzáadni a kapcsolattartási adatokat.
Failed to add item to cart,Nem sikerült a tételt a kosárhoz adni
Failed to add payment method,Nem sikerült hozzáadni a fizetési módot
Failed to add payment method.,Nem sikerült hozzáadni a fizetési módot.
Failed to add product to cart,Nem sikerült a terméket a kosárhoz adni
Failed to add shipping address,Nem sikerült hozzáadni a szállítási címet
Failed to add shipping address.,Nem sikerült hozzáadni a szállítási címet.
Failed to add shipping method,Nem sikerült hozzáadni a szállítási módot
Failed to add shipping method.,Nem sikerült hozzáadni a szállítási módot.
Failed to apply coupon,Nem sikerült alkalmazni a kupont
Failed to cancel shipment,Nem sikerült visszavonni a szállítmányt
Failed to checkout,Nem sikerült a fizetés
Failed to create field,Nem sikerült létrehozni a mezőt
Failed to create shipment,Nem sikerült létrehozni a szállítmányt
Failed to delete address,Nem sikerült törölni a címet
Failed to load custom fields,Nem sikerült betölteni az egyéni mezőket
Failed to mark delivered,Nem sikerült kézbesítettnek jelölni
Failed to place order,Nem sikerült leadni a rendelést
Failed to place order. Please try again.,"Nem sikerült leadni a rendelést. Kérjük, próbálja újra."
Failed to remove coupon,Nem sikerült eltávolítani a kupont
Failed to remove coupon.,Nem sikerült eltávolítani a kupont.
Failed to save custom fields,Nem sikerült menteni az egyéni mezőket
Failed to set shipping method,Nem sikerült beállítani a szállítási módot
Failed to set shipping note,Nem sikerült beállítani a szállítási megjegyzést
Failed to update address,Nem sikerült frissíteni a címet
Failed to update field,Nem sikerült frissíteni a mezőt
Failed to update shipment,Nem sikerült frissíteni a szállítmányt
Failed to update tracking info,Nem sikerült frissíteni a nyomkövetési adatokat
Failed to void label,Nem sikerült érvényteleníteni a címkét
Failed!,Sikertelen!
