Welcome Back!,Welkom terug!
Please sign in to your account ,Log in op je account 
Join us for exclusive offers and order tracking,Word lid voor exclusieve aanbiedingen en het volgen van bestellingen
Sign Up,Registreren
Signing Up...,Bezig met registreren...
Signing In...,Bezig met inloggen...
Recent Orders,Recente bestellingen
Address Book,Adresboek
You have no addresses saved,Je hebt geen adressen opgeslagen
Add new address,Nieuw adres toevoegen
Address 2,Adres 2
Set as default,Instellen als standaard
Save,Opslaan
Edit,Bewerken
Delete,Verwijderen
Edit Address,Adres bewerken
Product Filters,Productfilters
No products found,Geen producten gevonden
${count} Products,${count} producten
Default,Standaard
Name,Naam
Contact Information,Contactgegevens
Your Cart,Je winkelwagen
Your cart is empty,Je winkelwagen is leeg
Subtotal,Subtotaal
View Cart (${totalQty}),Winkelwagen bekijken (${totalQty})
Shopping Cart,Winkelwagen
Logged in as,Ingelogd als
Payment Information,Betaalgegevens
Same as shipping address,Hetzelfde als verzendadres
Use a different billing address,Een ander factuuradres gebruiken
Pick a payment method,Kies een betaalmethode
Select a payment method,Selecteer een betaalmethode
Complete Order,Bestelling afronden
Add to Cart,In winkelwagen
Search,Zoeken
${count} orders,${count} bestellingen
${field} is required,${field} is verplicht
${pct}% of orders cancelled,${pct}% van de bestellingen geannuleerd
${pct}% of orders completed,${pct}% van de bestellingen voltooid
${qty} sold,${qty} verkocht
${total} lifetime sale,${total} totale omzet
(Guest Checkout),(Afrekenen als gast)
(list),(lijst)
(optional),(optioneel)
A coupon is already applied,Er is al een kortingscode toegepast
A group needs at least one sub-field,Een groep heeft minstens één subveld nodig
A list of best selling products,Een lijst van best verkochte producten
A list of customers who have placed the most orders,Een lijst van klanten die de meeste bestellingen hebben geplaatst
A regular expression the value must match.,Een reguliere expressie waaraan de waarde moet voldoen.
Accepted values,Geaccepteerde waarden
Active,Actief
Active Filters,Actieve filters
Add address API not available,API voor adres toevoegen niet beschikbaar
Add custom field,Aangepast veld toevoegen
Add field,Veld toevoegen
Add item,Item toevoegen
Add option,Optie toevoegen
Add product,Product toevoegen
Add some items to get started,Voeg enkele items toe om te beginnen
Add sub-field,Subveld toevoegen
Adding...,Bezig met toevoegen...
Address has been deleted successfully!,Adres is succesvol verwijderd!
Address has been saved successfully!,Adres is succesvol opgeslagen!
Address has been updated successfully!,Adres is succesvol bijgewerkt!
Address is required,Adres is verplicht
Adds target=_blank rel=noopener noreferrer.,Voegt target=_blank rel=noopener noreferrer toe.
All items fulfilled,Alle items afgehandeld
All orders,Alle bestellingen
All your past orders,Al je vorige bestellingen
Allow multiple,Meerdere toestaan
An unexpected error occurred. Please try again.,Er is een onverwachte fout opgetreden. Probeer het opnieuw.
Apply Filters,Filters toepassen
Are you sure you want to mark the selected orders as shipped?,Weet je zeker dat je de geselecteerde bestellingen als verzonden wilt markeren?
Are you sure?,Weet je het zeker?
Attribute Group,Attribuutgroep
Attribute code is used in API and must be unique,De attribuutcode wordt gebruikt in de API en moet uniek zijn
Attribute options,Attribuutopties
Attributes,Attributen
Available shipping methods will appear once you provide your address details,Beschikbare verzendmethoden verschijnen zodra je je adresgegevens opgeeft
Best Sellers,Bestsellers
Best customers,Beste klanten
Billing address,Factuuradres
Black,Zwart
Buy qty,Aantal kopen
Buy qty is required,Aantal kopen is verplicht
Can not process payment. Please try again later.,Kan betaling niet verwerken. Probeer het later opnieuw.
Can't be undone,Kan niet ongedaan worden gemaakt
Cancel,Annuleren
Cancel Order,Bestelling annuleren
Cancel shipment,Zending annuleren
Cancel this shipment?,Deze zending annuleren?
Canceled,Geannuleerd
Cancelled,Geannuleerd
Cannot add billing address: cart not initialized,Kan factuuradres niet toevoegen: winkelwagen niet geïnitialiseerd
Cannot add contact info: cart not initialized,Kan contactgegevens niet toevoegen: winkelwagen niet geïnitialiseerd
Cannot add payment method: cart not initialized,Kan betaalmethode niet toevoegen: winkelwagen niet geïnitialiseerd
Cannot add shipping address: cart not initialized,Kan verzendadres niet toevoegen: winkelwagen niet geïnitialiseerd
Cannot add shipping method: cart not initialized,Kan verzendmethode niet toevoegen: winkelwagen niet geïnitialiseerd
Cannot add shipping method: providerCode is required,Kan verzendmethode niet toevoegen: providerCode is verplicht
Cannot apply coupon: cart not initialized,Kan kortingscode niet toepassen: winkelwagen niet geïnitialiseerd
Cannot remove coupon: cart not initialized,Kan kortingscode niet verwijderen: winkelwagen niet geïnitialiseerd
Carrier,Vervoerder
Carrier is required,Vervoerder is verplicht
Cart ID is required to checkout,Winkelwagen-ID is verplicht om af te rekenen
Cart is not initialized,Winkelwagen is niet geïnitialiseerd
Catalog,Catalogus
Categories,Categorieën
Category,Categorie
Charcoal,Antraciet
Checkout success,Afrekenen geslaagd
Choose Product SKU,Kies product-SKU
Choose SKU,Kies SKU
City is required,Plaats is verplicht
Clear All,Alles wissen
Clear Filters,Filters wissen
Clear all,Alles wissen
Clear categories,Categorieën wissen
Close fullscreen view,Volledig scherm sluiten
Code,Code
Collections,Collecties
Comma-separated; renders the value as a dropdown.,Door komma's gescheiden; geeft de waarde weer als een dropdown.
Completed,Voltooid
Configurable,Configureerbaar
Configure tax classes and tax rates,Belastingklassen en belastingtarieven configureren
Confirm,Bevestigen
Contact for pricing,Neem contact op voor prijzen
Conveniently pay with cash at your doorstep when your order is delivered.,Betaal eenvoudig contant aan de deur wanneer je bestelling wordt bezorgd.
Coupon applied successfully!,Kortingscode succesvol toegepast!
Coupon code is required,Kortingscode is verplicht
Coupon does not match,Kortingscode komt niet overeen
Coupon removed successfully!,Kortingscode succesvol verwijderd!
Cream,Crème
Create,Aanmaken
Create a new attribute,Een nieuw attribuut aanmaken
Create a new group,Een nieuwe groep aanmaken
Create a new package,Een nieuw pakket aanmaken
Create shipment,Zending aanmaken
Created,Aangemaakt
Custom URL,Aangepaste URL
Custom field created,Aangepast veld aangemaakt
Custom field updated,Aangepast veld bijgewerkt
Custom fields,Aangepaste velden
Custom fields (JSON),Aangepaste velden (JSON)
Custom fields saved,Aangepaste velden opgeslagen
Customer Information,Klantgegevens
Customer does not have any order yet.,Klant heeft nog geen bestelling.
