Welcome Back!,Καλώς ήρθατε ξανά!
Please sign in to your account ,Παρακαλούμε συνδεθείτε στον λογαριασμό σας 
Join us for exclusive offers and order tracking,Εγγραφείτε για αποκλειστικές προσφορές και παρακολούθηση παραγγελιών
Sign Up,Εγγραφή
Signing Up...,Εγγραφή...
Signing In...,Σύνδεση...
Recent Orders,Πρόσφατες παραγγελίες
Address Book,Βιβλίο διευθύνσεων
You have no addresses saved,Δεν έχετε αποθηκευμένες διευθύνσεις
Add new address,Προσθήκη νέας διεύθυνσης
Address 2,Διεύθυνση 2
Set as default,Ορισμός ως προεπιλογή
Save,Αποθήκευση
Edit,Επεξεργασία
Delete,Διαγραφή
Edit Address,Επεξεργασία διεύθυνσης
"Search results for ""${keyword}""","Αποτελέσματα αναζήτησης για ""${keyword}"""
Product Filters,Φίλτρα προϊόντων
No products found,Δεν βρέθηκαν προϊόντα
${count} Products,${count} προϊόντα
Default,Προεπιλογή
Name,Όνομα
"Sorry, there is no available method for your address","Δυστυχώς, δεν υπάρχει διαθέσιμη μέθοδος για τη διεύθυνσή σας"
Contact Information,Στοιχεία επικοινωνίας
Your Cart,Το καλάθι σας
Your cart is empty,Το καλάθι σας είναι άδειο
Subtotal,Μερικό σύνολο
View Cart (${totalQty}),Προβολή καλαθιού (${totalQty})
Shopping Cart,Καλάθι αγορών
Logged in as,Συνδεδεμένος ως
Payment Information,Στοιχεία πληρωμής
Same as shipping address,Ίδια με τη διεύθυνση αποστολής
Use a different billing address,Χρήση διαφορετικής διεύθυνσης χρέωσης
Pick a payment method,Επιλέξτε μέθοδο πληρωμής
Select a payment method,Επιλέξτε μέθοδο πληρωμής
Complete Order,Ολοκλήρωση παραγγελίας
Add to Cart,Προσθήκη στο καλάθι
Search,Αναζήτηση
${count} orders,${count} παραγγελίες
${field} is required,Το πεδίο ${field} είναι υποχρεωτικό
${pct}% of orders cancelled,${pct}% των παραγγελιών ακυρώθηκαν
${pct}% of orders completed,${pct}% των παραγγελιών ολοκληρώθηκαν
${qty} sold,${qty} πωλήθηκαν
${total} lifetime sale,${total} συνολικές πωλήσεις
(Guest Checkout),(Ολοκλήρωση ως επισκέπτης)
(list),(λίστα)
(optional),(προαιρετικό)
A coupon is already applied,Έχει ήδη εφαρμοστεί κουπόνι
A group needs at least one sub-field,Μια ομάδα χρειάζεται τουλάχιστον ένα υποπεδίο
A list of best selling products,Μια λίστα με τα προϊόντα με τις περισσότερες πωλήσεις
A list of customers who have placed the most orders,Μια λίστα με τους πελάτες που έχουν κάνει τις περισσότερες παραγγελίες
A regular expression the value must match.,Μια κανονική έκφραση με την οποία πρέπει να ταιριάζει η τιμή.
Accepted values,Αποδεκτές τιμές
Active,Ενεργό
Active Filters,Ενεργά φίλτρα
Add address API not available,Το API προσθήκης διεύθυνσης δεν είναι διαθέσιμο
Add custom field,Προσθήκη προσαρμοσμένου πεδίου
Add field,Προσθήκη πεδίου
Add item,Προσθήκη στοιχείου
Add option,Προσθήκη επιλογής
Add product,Προσθήκη προϊόντος
