A short description shown on the category page,Μια σύντομη περιγραφή που εμφανίζεται στη σελίδα της κατηγορίας
A short summary shown in listings,Μια σύντομη περίληψη που εμφανίζεται στις λίστες
Add a meta description to control the text shown here.,Προσθέστε μια μετα-περιγραφή για να ελέγξετε το κείμενο που εμφανίζεται εδώ.
All,Όλα
All categories,Όλες οι κατηγορίες
Applies to posts in this category.,Ισχύει για τις αναρτήσεις αυτής της κατηγορίας.
Approve,Έγκριση
Approved,Εγκρίθηκε
Author,Συγγραφέας
Blog,Ιστολόγιο
Blog Categories,Κατηγορίες ιστολογίου
Blog Comments,Σχόλια ιστολογίου
Blog Posts,Αναρτήσεις ιστολογίου
Blog Tags,Ετικέτες ιστολογίου
By,Από
Cancel reply,Ακύρωση απάντησης
"Category, author, tags and thumbnail.","Κατηγορία, συγγραφέας, ετικέτες και μικρογραφία."
Closed — no new comments,Κλειστό — χωρίς νέα σχόλια
Columns (1-4),Στήλες (1-4)
Comment,Σχόλιο
Comment Policy,Πολιτική σχολίων
Comments,Σχόλια
Configure URL key and meta information for this blog category.,Διαμορφώστε το κλειδί URL και τις μετα-πληροφορίες για αυτήν την κατηγορία ιστολογίου.
Copied!,Αντιγράφηκε!
Copy link,Αντιγραφή συνδέσμου
Create a new post,Δημιουργία νέας ανάρτησης
Create a new tag,Δημιουργία νέας ετικέτας
Delete ${count} comments,Διαγραφή ${count} σχολίων
Delete ${count} posts,Διαγραφή ${count} αναρτήσεων
Delete ${count} tags,Διαγραφή ${count} ετικετών
Disable ${count} categories,Απενεργοποίηση ${count} κατηγοριών
Email (not published),Email (δεν δημοσιεύεται)
Enable ${count} categories,Ενεργοποίηση ${count} κατηγοριών
Enter category name,Εισαγάγετε όνομα κατηγορίας
Enter post title,Εισαγάγετε τίτλο ανάρτησης
Enter tag name,Εισαγάγετε όνομα ετικέτας
Excerpt,Απόσπασμα
Featured posts,Προτεινόμενες αναρτήσεις
Leave a comment,Αφήστε ένα σχόλιο
Leave blank to auto-generate,Αφήστε κενό για αυτόματη δημιουργία
Mark spam,Επισήμανση ως ανεπιθύμητο
Max posts,Μέγ. αναρτήσεις
Moderated — hold for review,Σε εποπτεία — σε αναμονή για έλεγχο
Name and status for this blog category.,Όνομα και κατάσταση για αυτήν την κατηγορία ιστολογίου.
New post,Νέα ανάρτηση
New tag,Νέα ετικέτα
No comments yet. Be the first!,Δεν υπάρχουν ακόμα σχόλια. Γίνετε ο πρώτος!
No posts in this category yet.,Δεν υπάρχουν ακόμα αναρτήσεις σε αυτήν την κατηγορία.
No posts match,Δεν βρέθηκαν αντίστοιχες αναρτήσεις
No posts published yet.,Δεν έχουν δημοσιευτεί ακόμα αναρτήσεις.
No posts with this tag yet.,Δεν υπάρχουν ακόμα αναρτήσεις με αυτήν την ετικέτα.
No posts yet,Δεν υπάρχουν ακόμα αναρτήσεις
Open page in a new tab,Άνοιγμα σελίδας σε νέα καρτέλα
Open — auto-approve,Ανοιχτό — αυτόματη έγκριση
Organize,Οργάνωση
Pending,Σε εκκρεμότητα
Post Title,Τίτλος ανάρτησης
Post comment,Δημοσίευση σχολίου
Post created successfully!,Η ανάρτηση δημιουργήθηκε με επιτυχία!
Post title is required,Ο τίτλος της ανάρτησης είναι υποχρεωτικός
Posts,Αναρτήσεις
Publish ${count} posts,Δημοσίευση ${count} αναρτήσεων
Published,Δημοσιεύτηκε
Published posts are visible on the storefront.,Οι δημοσιευμένες αναρτήσεις είναι ορατές στο κατάστημα.
React,Αντίδραση
Related posts,Σχετικές αναρτήσεις
Reply,Απάντηση
Reply to ${name},Απάντηση στον/στην ${name}
Search Engine Optimization,Βελτιστοποίηση για μηχανές αναζήτησης
Search posts to feature,Αναζήτηση αναρτήσεων για προβολή
Search result preview,Προεπισκόπηση αποτελέσματος αναζήτησης
Select a category,Επιλέξτε κατηγορία
Select an author,Επιλέξτε συγγραφέα
Select tags,Επιλέξτε ετικέτες
Short Description,Σύντομη περιγραφή
Something went wrong. Please try again.,Κάτι πήγε στραβά. Παρακαλώ δοκιμάστε ξανά.
Spam,Ανεπιθύμητο
Submitting…,Υποβολή…
Tag,Ετικέτα
Tag Name,Όνομα ετικέτας
Tag created successfully!,Η ετικέτα δημιουργήθηκε με επιτυχία!
Tag name is required,Το όνομα της ετικέτας είναι υποχρεωτικό
Tags,Ετικέτες
Thanks! Your comment is awaiting moderation.,Ευχαριστούμε! Το σχόλιό σας αναμένει εποπτεία.
The URL path segment under /blog/.,Το τμήμα διαδρομής URL κάτω από /blog/.
The URL path segment under /blog/category/.,Το τμήμα διαδρομής URL κάτω από /blog/category/.
The URL path segment under /blog/tag/.,Το τμήμα διαδρομής URL κάτω από /blog/tag/.
"The post title, status and content.","Τίτλος, κατάσταση και περιεχόμενο της ανάρτησης."
The tag name.,Το όνομα της ετικέτας.
There is no comment to display,Δεν υπάρχει σχόλιο για εμφάνιση
There is no post to display,Δεν υπάρχει ανάρτηση για εμφάνιση
There is no tag to display,Δεν υπάρχει ετικέτα για εμφάνιση
URL key is auto-generated from the name if left blank.,Το κλειδί URL δημιουργείται αυτόματα από το όνομα αν μείνει κενό.
URL key is auto-generated from the title if left blank.,Το κλειδί URL δημιουργείται αυτόματα από τον τίτλο αν μείνει κενό.
Unpublish,Κατάργηση δημοσίευσης
Unpublish ${count} posts,Κατάργηση δημοσίευσης ${count} αναρτήσεων
Untitled page,Σελίδα χωρίς τίτλο
Your comment,Το σχόλιό σας
min read,λεπτά ανάγνωσης
