"Add a store email","Añadir correo de tienda"
"Consent","Consentimiento"
"Consent text","Texto de consentimiento"
"Contact messages","Mensajes de contacto"
"Customer","Cliente"
"Delete ${count} messages","Eliminar ${count} mensajes"
"Fields","Campos"
"From","De"
"How can we help?","¿Cómo podemos ayudarte?"
"I agree that my details may be used to respond to my enquiry.","Acepto que mis datos se utilicen para responder a mi consulta."
"Inbox","Bandeja de entrada"
"Mark read","Marcar como leído"
"Mark unread","Marcar como no leído"
"Message","Mensaje"
"Message is required","El mensaje es obligatorio"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Los mensajes se envían a ${email} y se guardan en CMS → Mensajes de contacto."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Los mensajes se seguirán guardando y serán visibles en CMS → Mensajes de contacto, pero no se enviará ningún correo de notificación."
"New contact form message","Nuevo mensaje del formulario de contacto"
"New contact form message from ${name}","Nuevo mensaje del formulario de contacto de ${name}"
"New message from ${name} via your contact form.","Nuevo mensaje de ${name} a través de tu formulario de contacto."
"Not emailed","No enviado por correo"
"Optional supporting copy.","Texto de apoyo opcional."
"Please accept before sending","Acepta antes de enviar"
"Read","Leído"
"Reply directly to this email to respond to ${name}.","Responde directamente a este correo para contestar a ${name}."
"Send message","Enviar mensaje"
"Show consent checkbox","Mostrar casilla de consentimiento"
"Show phone field","Mostrar campo de teléfono"
"Show subject field","Mostrar campo de asunto"
"Shown after the message is sent.","Se muestra después de enviar el mensaje."
"Someone sent a message through the contact form on your store.","Alguien envió un mensaje a través del formulario de contacto de tu tienda."
"Store email is not set","El correo de la tienda no está configurado"
"Subheading","Subtítulo"
"Subject","Asunto"
"Submit","Enviar"
"Success message","Mensaje de éxito"
"Thanks! Your message has been sent.","¡Gracias! Tu mensaje ha sido enviado."
"There is no message to display","No hay ningún mensaje para mostrar"
"Titles","Títulos"
"Unread","No leído"
"View customer account","Ver cuenta de cliente"
"What is this about?","¿Sobre qué es?"
"Your name","Tu nombre"
"Your phone number","Tu número de teléfono"
"e.g. Get in touch","p. ej. Ponte en contacto"
"e.g. I agree that my details may be used to respond to my enquiry.","p. ej. Acepto que mis datos se utilicen para responder a mi consulta."
"e.g. Send message","p. ej. Enviar mensaje"
"e.g. Thanks! Your message has been sent.","p. ej. ¡Gracias! Tu mensaje ha sido enviado."
"e.g. We usually reply within one business day.","p. ej. Normalmente respondemos en un día hábil."
"you@example.com","tu@ejemplo.com"
