"Your order is confirmed","Votre commande est confirmée"
"Your order #${number} is confirmed.","Votre commande #${number} est confirmée."
"Order #${number}","Commande #${number}"
"Shipping to","Livraison à"
"View your order","Voir votre commande"
"Start shopping","Commencer vos achats"
"Your order is on the way","Votre commande est en route"
"Your order #${number} is on the way.","Votre commande #${number} est en route."
"Items in this shipment","Articles de cet envoi"
"We'll send tracking details as soon as the carrier scans the package.","Nous vous enverrons les informations de suivi dès que le transporteur aura scanné le colis."
"Tracking","Suivi"
"Track shipment","Suivre l'envoi"
"Your order was delivered","Votre commande a été livrée"
"Your order #${number} has been delivered.","Votre commande #${number} a été livrée."
"Delivered items","Articles livrés"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Nous espérons qu'elle répond à vos attentes. Si quelque chose ne va pas, répondez simplement à cet e-mail."
"Your order has been refunded","Votre commande a été remboursée"
"A refund has been issued","Un remboursement a été effectué"
"A refund has been issued for your order","Un remboursement a été effectué pour votre commande"
"A refund of ${amount} was issued for order #${number}.","Un remboursement de ${amount} a été effectué pour la commande #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Nous avons remboursé ${amount} sur votre moyen de paiement d'origine. Selon votre banque, cela peut prendre quelques jours ouvrés avant d'apparaître sur votre relevé."
"Your order has been canceled","Votre commande a été annulée"
"Order #${number} has been canceled.","La commande #${number} a été annulée."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Cette commande a été annulée. Si un paiement avait été autorisé, il a été libéré et vous ne serez pas débité."
"Reason: ${reason}.","Motif : ${reason}."
"Order total","Total de la commande"
"Order number","Numéro de commande"
"Welcome, ${name}.","Bienvenue, ${name}."
"Welcome to ${store}.","Bienvenue chez ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Merci d'avoir créé un compte chez ${store}. Votre panier, vos commandes et vos adresses enregistrées sont désormais réunis au même endroit."
"Reset your ${store} password.","Réinitialisez le mot de passe de votre compte ${store}."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Nous avons reçu une demande de réinitialisation du mot de passe de votre compte ${store}. Choisissez-en un nouveau ci-dessous."
"If you didn't request this, you can safely ignore this email — your password won't change.","Si vous n'êtes pas à l'origine de cette demande, vous pouvez ignorer cet e-mail — votre mot de passe restera inchangé."
"Visit store","Visiter la boutique"
"Help","Aide"
