Total,जम्मा
Order,अर्डर
Sku,SKU
Continue to shipping,ढुवानी गर्न जारी राख्नुहोस्
Continue shopping,किनमेल जारी राख्नुहोस्
Continue Shopping,किनमेल जारी राख्नुहोस्
Shopping cart,खरिदी कार्ट
Product,सामान
Price,मूल्य
Quantity,मात्रा
Remove,हटाउनुहोस्
Qty,मात्रा
Sub total,उप-जम्मा
Discount(${coupon}),छुट(${coupon})
Order summary,अर्डर सारांश
Taxes and shipping calculated at checkout,चेकआउट मा कर र ढुवानी हिसाब
Checkout,चेकआउट
Change,परिवर्तन
Payment Method,भुक्तानी विधि
Shipping Method,ढुवानी विधि
No payment methods available,कुनै पनि भुक्तानी विधि उपलब्ध छैन
Place Order,अर्डर राख्नुहोस्
My billing address is same as shipping address,मेरो बिलिङ ठेगाना ढुवानी ठेगाना एउटै हो
${count} items,${count} वस्तुहरू
Discount,छुट
Shipping,ढुवानी
No tax,कुनै पनि कर छैन
Tax,कर
"Sorry, there is no available method for your address","माफ गर्नुहोस्, तपाईंको ठेगानाको लागि कुनै पनि उपलब्ध तरिका छैन"
Please enter a shipping address in order to see shipping quotes,ढुवानी उद्धरणहरू हेर्नको लागि कृपया ढुवानी ठेगाना प्रविष्ट गर्नुहोस्
Continue to payment,भुक्तानीमा जारी रहनुहोस्
No payment method available,कुनै पनि भुक्तानी विधि उपलब्ध छैन
Ship to,पठाउनुहोस्
Shipment,ढुवानी
Thank you ${name}!,"धन्यवाद, ${name}!"
Add to cart,कार्टमा थप्नुहोस्
Please select variant options,कृपया विविध विकल्पहरू चयन गर्नुहोस्
VIEW CART (${count}),कार्ट हेर्नुहोस् (${count})
JUST ADDED TO YOUR CART,तपाईंको कार्टमा मात्र थपिएको
Promotion code?,प्रवर्धन कोड？
Enter coupon code,कुपन कोड प्रविष्ट गर्नुहोस्
Apply,लागू गर्नुहोस्
Your cart is empty!,तपाईंको कार्ट खाली छ！
Proceed to checkout,चेकआउटमा जानुहोस्
Your cart,तपाईंको कार्ट
${count} items in your cart,तपाईंको कार्टमा ${count} वस्तुहरू
No payment required,भुक्तानी आवश्यक छैन
Your order total is 0 — no payment is needed to place this order.,तपाईंको अर्डरको कुल रकम ० छ — यो अर्डर गर्न कुनै भुक्तानी आवश्यक छैन।
Thank you for your order!,तपाईंको अर्डरको लागि धन्यवाद!
Order #${orderNumber} is confirmed. We’ve emailed a receipt to ${email}.,अर्डर #${orderNumber} पुष्टि भयो। हामीले ${email} मा रसिद पठाएका छौं।
