"Add a store email","Dodaj imejl prodavnice"
"Consent","Saglasnost"
"Consent text","Tekst saglasnosti"
"Contact messages","Kontakt poruke"
"Customer","Kupac"
"Delete ${count} messages","Obriši ${count} poruka"
"Fields","Polja"
"From","Od"
"How can we help?","Kako možemo da pomognemo?"
"I agree that my details may be used to respond to my enquiry.","Saglasan sam da se moji podaci koriste za odgovor na moj upit."
"Inbox","Prijemno sanduče"
"Mark read","Označi kao pročitano"
"Mark unread","Označi kao nepročitano"
"Message","Poruka"
"Message is required","Poruka je obavezna"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Poruke se šalju na ${email} i čuvaju se u CMS → Kontakt poruke."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Poruke će i dalje biti sačuvane i vidljive u CMS → Kontakt poruke, ali neće biti poslat imejl obaveštenja."
"New contact form message","Nova poruka sa kontakt forme"
"New contact form message from ${name}","Nova poruka sa kontakt forme od ${name}"
"New message from ${name} via your contact form.","Nova poruka od ${name} preko vaše kontakt forme."
"Not emailed","Imejl nije poslat"
"Optional supporting copy.","Opcioni prateći tekst."
"Please accept before sending","Prihvatite pre slanja"
"Read","Pročitano"
"Reply directly to this email to respond to ${name}.","Odgovorite direktno na ovaj imejl da biste kontaktirali ${name}."
"Send message","Pošalji poruku"
"Show consent checkbox","Prikaži polje saglasnosti"
"Show phone field","Prikaži polje za telefon"
"Show subject field","Prikaži polje za temu"
"Shown after the message is sent.","Prikazuje se nakon slanja poruke."
"Someone sent a message through the contact form on your store.","Neko je poslao poruku preko kontakt forme na vašoj prodavnici."
"Store email is not set","Imejl prodavnice nije podešen"
"Subheading","Podnaslov"
"Subject","Tema"
"Submit","Slanje"
"Success message","Poruka o uspehu"
"Thanks! Your message has been sent.","Hvala! Vaša poruka je poslata."
"There is no message to display","Nema poruka za prikaz"
"Titles","Naslovi"
"Unread","Nepročitano"
"View customer account","Prikaži nalog kupca"
"What is this about?","O čemu se radi?"
"Your name","Vaše ime"
"Your phone number","Vaš broj telefona"
"e.g. Get in touch","npr. Kontaktirajte nas"
"e.g. I agree that my details may be used to respond to my enquiry.","npr. Saglasan sam da se moji podaci koriste za odgovor na moj upit."
"e.g. Send message","npr. Pošalji poruku"
"e.g. Thanks! Your message has been sent.","npr. Hvala! Vaša poruka je poslata."
"e.g. We usually reply within one business day.","npr. Obično odgovaramo u roku od jednog radnog dana."
"you@example.com","vi@primer.com"
