"Your order is confirmed","Ваш заказ подтверждён"
"Your order #${number} is confirmed.","Ваш заказ #${number} подтверждён."
"Order #${number}","Заказ #${number}"
"Shipping to","Доставка по адресу"
"View your order","Посмотреть заказ"
"Start shopping","Начать покупки"
"Your order is on the way","Ваш заказ в пути"
"Your order #${number} is on the way.","Ваш заказ #${number} в пути."
"Items in this shipment","Товары в этой отправке"
"We'll send tracking details as soon as the carrier scans the package.","Мы отправим данные для отслеживания, как только перевозчик отсканирует посылку."
"Tracking","Отслеживание"
"Track shipment","Отследить отправление"
"Your order was delivered","Ваш заказ доставлен"
"Your order #${number} has been delivered.","Ваш заказ #${number} доставлен."
"Delivered items","Доставленные товары"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Надеемся, всё соответствует вашим ожиданиям. Если что-то не так, просто ответьте на это письмо."
"Your order has been refunded","Возврат средств по вашему заказу выполнен"
"A refund has been issued","Возврат средств оформлен"
"A refund has been issued for your order","По вашему заказу оформлен возврат средств"
"A refund of ${amount} was issued for order #${number}.","По заказу #${number} оформлён возврат ${amount}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Мы вернули ${amount} на ваш исходный способ оплаты. В зависимости от банка зачисление может занять несколько рабочих дней."
"Your order has been canceled","Ваш заказ отменён"
"Order #${number} has been canceled.","Заказ #${number} отменён."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Этот заказ отменён. Если платёж был авторизован, он отменён, и с вас не будет списана оплата."
"Reason: ${reason}.","Причина: ${reason}."
"Order total","Итого по заказу"
"Order number","Номер заказа"
"Welcome, ${name}.","Добро пожаловать, ${name}."
"Welcome to ${store}.","Добро пожаловать в ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Спасибо за создание аккаунта в ${store}. Ваша корзина, заказы и сохранённые адреса теперь собраны в одном месте."
"Reset your ${store} password.","Сбросьте пароль вашего аккаунта ${store}."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Мы получили запрос на сброс пароля вашего аккаунта ${store}. Выберите новый пароль ниже."
"If you didn't request this, you can safely ignore this email — your password won't change.","Если вы не запрашивали это, просто проигнорируйте письмо — ваш пароль не изменится."
"Visit store","Перейти в магазин"
"Help","Помощь"
