Login,Anmelden
Logout,Abmelden
Email,E-Mail
Password,Passwort
Forgot your password?,Passwort vergessen?
Create an account,Ein Konto erstellen
Register,Registrieren
Full Name,Vollständiger Name
Full name,Vollständiger Name
Sign In,ANMELDEN
Order History,Bestellverlauf
Account Details,Kontodetails
You have not placed any orders yet,Sie haben noch keine Bestellungen aufgegeben
My Account,Mein Konto
Already have an account?,Haben Sie bereits ein Konto?
Contact information,Kontaktinformationen
City,Stadt
Account Information,Kontoinformationen
Address,Adresse
Postcode,Postleitzahl
Postcode is required,Postleitzahl ist erforderlich
Telephone is required,Telefonnummer ist erforderlich
Telephone,Telefon
Full name is required,Vollständiger Name ist erforderlich
Country is required,Land ist erforderlich
Country,Land
Province is required,Provinz ist erforderlich
Province,Provinz
Billing Address,Rechnungsadresse
Shipping Address,Lieferadresse
Create A New Account,Ein neues Konto erstellen
Contact,Kontakt
Customer information,Kundeninformationen
Address book,Adressbuch
Account information,Kontoinformationen
Recent orders,Letzte Bestellungen
View all,Alle anzeigen
Sign in,Anmelden
Welcome back — sign in to your account.,Willkommen zurück — melden Sie sich bei Ihrem Konto an.
New here?,Neu hier?
Back to orders,Zurück zu den Bestellungen
Create account,Konto erstellen
You must be logged in to manage your addresses,"Sie müssen angemeldet sein, um Ihre Adressen zu verwalten"
You must be logged in to update your profile,"Sie müssen angemeldet sein, um Ihr Profil zu aktualisieren"
There is nothing to update,Es gibt nichts zu aktualisieren
Email is already used,Diese E-Mail-Adresse wird bereits verwendet
Order #${orderNumber},Bestellung Nr. ${orderNumber}
