"Add a store email","Ajouter un e-mail de boutique"
"Consent","Consentement"
"Consent text","Texte de consentement"
"Contact messages","Messages de contact"
"Customer","Client"
"Delete ${count} messages","Supprimer ${count} messages"
"Fields","Champs"
"From","De"
"How can we help?","Comment pouvons-nous vous aider ?"
"I agree that my details may be used to respond to my enquiry.","J'accepte que mes données soient utilisées pour répondre à ma demande."
"Inbox","Boîte de réception"
"Mark read","Marquer comme lu"
"Mark unread","Marquer comme non lu"
"Message","Message"
"Message is required","Le message est obligatoire"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Les messages sont envoyés à ${email} et enregistrés dans CMS → Messages de contact."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Les messages seront toujours enregistrés et visibles dans CMS → Messages de contact, mais aucun e-mail de notification ne sera envoyé."
"New contact form message","Nouveau message du formulaire de contact"
"New contact form message from ${name}","Nouveau message du formulaire de contact de ${name}"
"New message from ${name} via your contact form.","Nouveau message de ${name} via votre formulaire de contact."
"Not emailed","Non envoyé par e-mail"
"Optional supporting copy.","Texte d'accompagnement facultatif."
"Please accept before sending","Veuillez accepter avant d'envoyer"
"Read","Lu"
"Reply directly to this email to respond to ${name}.","Répondez directement à cet e-mail pour contacter ${name}."
"Send message","Envoyer le message"
"Show consent checkbox","Afficher la case de consentement"
"Show phone field","Afficher le champ téléphone"
"Show subject field","Afficher le champ objet"
"Shown after the message is sent.","Affiché après l'envoi du message."
"Someone sent a message through the contact form on your store.","Quelqu'un a envoyé un message via le formulaire de contact de votre boutique."
"Store email is not set","L'e-mail de la boutique n'est pas défini"
"Subheading","Sous-titre"
"Subject","Objet"
"Submit","Envoyer"
"Success message","Message de confirmation"
"Thanks! Your message has been sent.","Merci ! Votre message a été envoyé."
"There is no message to display","Aucun message à afficher"
"Titles","Titres"
"Unread","Non lu"
"View customer account","Voir le compte client"
"What is this about?","De quoi s'agit-il ?"
"Your name","Votre nom"
"Your phone number","Votre numéro de téléphone"
"e.g. Get in touch","ex. Contactez-nous"
"e.g. I agree that my details may be used to respond to my enquiry.","ex. J'accepte que mes données soient utilisées pour répondre à ma demande."
"e.g. Send message","ex. Envoyer le message"
"e.g. Thanks! Your message has been sent.","ex. Merci ! Votre message a été envoyé."
"e.g. We usually reply within one business day.","ex. Nous répondons généralement sous un jour ouvré."
"you@example.com","vous@exemple.com"
