"Add a store email","Προσθήκη email καταστήματος"
"Consent","Συγκατάθεση"
"Consent text","Κείμενο συγκατάθεσης"
"Contact messages","Μηνύματα επικοινωνίας"
"Customer","Πελάτης"
"Delete ${count} messages","Διαγραφή ${count} μηνυμάτων"
"Fields","Πεδία"
"From","Από"
"How can we help?","Πώς μπορούμε να βοηθήσουμε;"
"I agree that my details may be used to respond to my enquiry.","Συμφωνώ ότι τα στοιχεία μου μπορούν να χρησιμοποιηθούν για να απαντηθεί το αίτημά μου."
"Inbox","Εισερχόμενα"
"Mark read","Σήμανση ως αναγνωσμένο"
"Mark unread","Σήμανση ως μη αναγνωσμένο"
"Message","Μήνυμα"
"Message is required","Το μήνυμα είναι υποχρεωτικό"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Τα μηνύματα αποστέλλονται στο ${email} και αποθηκεύονται στο CMS → Μηνύματα επικοινωνίας."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Τα μηνύματα θα αποθηκεύονται και θα είναι ορατά στο CMS → Μηνύματα επικοινωνίας, αλλά δεν θα αποστέλλεται email ειδοποίησης."
"New contact form message","Νέο μήνυμα από τη φόρμα επικοινωνίας"
"New contact form message from ${name}","Νέο μήνυμα φόρμας επικοινωνίας από ${name}"
"New message from ${name} via your contact form.","Νέο μήνυμα από ${name} μέσω της φόρμας επικοινωνίας σας."
"Not emailed","Δεν στάλθηκε email"
"Optional supporting copy.","Προαιρετικό επεξηγηματικό κείμενο."
"Please accept before sending","Παρακαλώ αποδεχτείτε πριν την αποστολή"
"Read","Αναγνωσμένο"
"Reply directly to this email to respond to ${name}.","Απαντήστε απευθείας σε αυτό το email για να επικοινωνήσετε με τον/την ${name}."
"Send message","Αποστολή μηνύματος"
"Show consent checkbox","Εμφάνιση πλαισίου συγκατάθεσης"
"Show phone field","Εμφάνιση πεδίου τηλεφώνου"
"Show subject field","Εμφάνιση πεδίου θέματος"
"Shown after the message is sent.","Εμφανίζεται μετά την αποστολή του μηνύματος."
"Someone sent a message through the contact form on your store.","Κάποιος έστειλε μήνυμα μέσω της φόρμας επικοινωνίας του καταστήματός σας."
"Store email is not set","Δεν έχει οριστεί email καταστήματος"
"Subheading","Υπότιτλος"
"Subject","Θέμα"
"Submit","Υποβολή"
"Success message","Μήνυμα επιτυχίας"
"Thanks! Your message has been sent.","Ευχαριστούμε! Το μήνυμά σας στάλθηκε."
"There is no message to display","Δεν υπάρχει μήνυμα για εμφάνιση"
"Titles","Τίτλοι"
"Unread","Μη αναγνωσμένο"
"View customer account","Προβολή λογαριασμού πελάτη"
"What is this about?","Με τι σχετίζεται;"
"Your name","Το όνομά σας"
"Your phone number","Το τηλέφωνό σας"
"e.g. Get in touch","π.χ. Επικοινωνήστε μαζί μας"
"e.g. I agree that my details may be used to respond to my enquiry.","π.χ. Συμφωνώ ότι τα στοιχεία μου μπορούν να χρησιμοποιηθούν για να απαντηθεί το αίτημά μου."
"e.g. Send message","π.χ. Αποστολή μηνύματος"
"e.g. Thanks! Your message has been sent.","π.χ. Ευχαριστούμε! Το μήνυμά σας στάλθηκε."
"e.g. We usually reply within one business day.","π.χ. Συνήθως απαντάμε εντός μίας εργάσιμης ημέρας."
"you@example.com","you@example.com"
