"Add a store email","Thêm email cửa hàng"
"Consent","Đồng ý"
"Consent text","Nội dung đồng ý"
"Contact messages","Tin nhắn liên hệ"
"Customer","Khách hàng"
"Delete ${count} messages","Xóa ${count} tin nhắn"
"Fields","Trường"
"From","Từ"
"How can we help?","Chúng tôi có thể giúp gì cho bạn?"
"I agree that my details may be used to respond to my enquiry.","Tôi đồng ý cho phép sử dụng thông tin của tôi để phản hồi yêu cầu này."
"Inbox","Hộp thư đến"
"Mark read","Đánh dấu đã đọc"
"Mark unread","Đánh dấu chưa đọc"
"Message","Nội dung"
"Message is required","Nội dung là bắt buộc"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Tin nhắn được gửi tới ${email} và lưu tại CMS → Tin nhắn liên hệ."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Tin nhắn vẫn được lưu và hiển thị tại CMS → Tin nhắn liên hệ, nhưng sẽ không có email thông báo nào được gửi."
"New contact form message","Tin nhắn mới từ biểu mẫu liên hệ"
"New contact form message from ${name}","Tin nhắn liên hệ mới từ ${name}"
"New message from ${name} via your contact form.","Tin nhắn mới từ ${name} qua biểu mẫu liên hệ của bạn."
"Not emailed","Chưa gửi email"
"Optional supporting copy.","Nội dung phụ, không bắt buộc."
"Please accept before sending","Vui lòng đồng ý trước khi gửi"
"Read","Đã đọc"
"Reply directly to this email to respond to ${name}.","Trả lời trực tiếp email này để phản hồi ${name}."
"Send message","Gửi tin nhắn"
"Show consent checkbox","Hiển thị ô đồng ý"
"Show phone field","Hiển thị trường số điện thoại"
"Show subject field","Hiển thị trường tiêu đề"
"Shown after the message is sent.","Hiển thị sau khi tin nhắn được gửi."
"Someone sent a message through the contact form on your store.","Có người vừa gửi tin nhắn qua biểu mẫu liên hệ trên cửa hàng của bạn."
"Store email is not set","Chưa thiết lập email cửa hàng"
"Subheading","Tiêu đề phụ"
"Subject","Tiêu đề"
"Submit","Gửi"
"Success message","Thông báo thành công"
"Thanks! Your message has been sent.","Cảm ơn bạn! Tin nhắn của bạn đã được gửi."
"There is no message to display","Không có tin nhắn nào để hiển thị"
"Titles","Tiêu đề"
"Unread","Chưa đọc"
"View customer account","Xem tài khoản khách hàng"
"What is this about?","Bạn cần trao đổi về việc gì?"
"Your name","Tên của bạn"
"Your phone number","Số điện thoại của bạn"
"e.g. Get in touch","ví dụ: Liên hệ với chúng tôi"
"e.g. I agree that my details may be used to respond to my enquiry.","ví dụ: Tôi đồng ý cho phép sử dụng thông tin của tôi để phản hồi yêu cầu này."
"e.g. Send message","ví dụ: Gửi tin nhắn"
"e.g. Thanks! Your message has been sent.","ví dụ: Cảm ơn bạn! Tin nhắn của bạn đã được gửi."
"e.g. We usually reply within one business day.","ví dụ: Chúng tôi thường phản hồi trong vòng một ngày làm việc."
"you@example.com","ban@vidu.com"
