"Your order is confirmed","Η παραγγελία σας επιβεβαιώθηκε"
"Your order #${number} is confirmed.","Η παραγγελία σας #${number} επιβεβαιώθηκε."
"Order #${number}","Παραγγελία #${number}"
"Shipping to","Αποστολή σε"
"View your order","Δείτε την παραγγελία σας"
"Start shopping","Ξεκινήστε τις αγορές"
"Your order is on the way","Η παραγγελία σας είναι καθ οδόν"
"Your order #${number} is on the way.","Η παραγγελία σας #${number} είναι καθ οδόν."
"Items in this shipment","Είδη σε αυτή την αποστολή"
"We'll send tracking details as soon as the carrier scans the package.","Θα σας στείλουμε στοιχεία παρακολούθησης μόλις ο μεταφορέας σαρώσει το δέμα."
"Tracking","Παρακολούθηση"
"Track shipment","Παρακολούθηση αποστολής"
"Your order was delivered","Η παραγγελία σας παραδόθηκε"
"Your order #${number} has been delivered.","Η παραγγελία σας #${number} παραδόθηκε."
"Delivered items","Παραδοθέντα είδη"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Ελπίζουμε να είναι ό,τι περιμένατε. Αν κάτι δεν είναι σωστό, απλώς απαντήστε σε αυτό το email."
"Your order has been refunded","Η παραγγελία σας επιστράφηκε"
"A refund has been issued","Εκδόθηκε επιστροφή χρημάτων"
"A refund has been issued for your order","Εκδόθηκε επιστροφή χρημάτων για την παραγγελία σας"
"A refund of ${amount} was issued for order #${number}.","Εκδόθηκε επιστροφή ${amount} για την παραγγελία #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Επιστρέψαμε ${amount} στην αρχική σας μέθοδο πληρωμής. Ανάλογα με την τράπεζά σας, μπορεί να χρειαστούν μερικές εργάσιμες ημέρες για να εμφανιστεί στο αντίγραφο κίνησής σας."
"Your order has been canceled","Η παραγγελία σας ακυρώθηκε"
"Order #${number} has been canceled.","Η παραγγελία #${number} ακυρώθηκε."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Αυτή η παραγγελία ακυρώθηκε. Αν είχε εγκριθεί κάποια πληρωμή, έχει αποδεσμευτεί και δεν θα χρεωθείτε."
"Reason: ${reason}.","Αιτία: ${reason}."
"Order total","Σύνολο παραγγελίας"
"Order number","Αριθμός παραγγελίας"
"Welcome, ${name}.","Καλώς ήρθατε, ${name}."
"Welcome to ${store}.","Καλώς ήρθατε στο ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Σας ευχαριστούμε που δημιουργήσατε λογαριασμό στο ${store}. Το καλάθι, οι παραγγελίες και οι αποθηκευμένες διευθύνσεις σας βρίσκονται πλέον σε ένα μέρος."
"Reset your ${store} password.","Επαναφέρετε τον κωδικό του λογαριασμού σας ${store}."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Λάβαμε αίτημα επαναφοράς του κωδικού για τον λογαριασμό σας ${store}. Επιλέξτε νέο κωδικό παρακάτω."
"If you didn't request this, you can safely ignore this email — your password won't change.","Αν δεν το ζητήσατε εσείς, μπορείτε να αγνοήσετε αυτό το email — ο κωδικός σας δεν θα αλλάξει."
"Visit store","Επίσκεψη καταστήματος"
"Help","Βοήθεια"
