A short description shown on the category page,Une brève description affichée sur la page de la catégorie
A short summary shown in listings,Un bref résumé affiché dans les listes
Add a meta description to control the text shown here.,Ajoutez une méta-description pour contrôler le texte affiché ici.
All,Tout
All categories,Toutes les catégories
Applies to posts in this category.,S'applique aux articles de cette catégorie.
Approve,Approuver
Approved,Approuvé
Author,Auteur
Blog,Blog
Blog Categories,Catégories du blog
Blog Comments,Commentaires du blog
Blog Posts,Articles du blog
Blog Tags,Étiquettes du blog
By,Par
Cancel reply,Annuler la réponse
"Category, author, tags and thumbnail.","Catégorie, auteur, étiquettes et vignette."
Closed — no new comments,Fermé — aucun nouveau commentaire
Columns (1-4),Colonnes (1-4)
Comment,Commentaire
Comment Policy,Politique de commentaires
Comments,Commentaires
Configure URL key and meta information for this blog category.,Configurez la clé URL et les méta-informations de cette catégorie du blog.
Copied!,Copié !
Copy link,Copier le lien
Create a new post,Créer un nouvel article
Create a new tag,Créer une nouvelle étiquette
Delete ${count} comments,Supprimer ${count} commentaires
Delete ${count} posts,Supprimer ${count} articles
Delete ${count} tags,Supprimer ${count} étiquettes
Disable ${count} categories,Désactiver ${count} catégories
Email (not published),E-mail (non publié)
Enable ${count} categories,Activer ${count} catégories
Enter category name,Saisissez le nom de la catégorie
Enter post title,Saisissez le titre de l'article
Enter tag name,Saisissez le nom de l'étiquette
Excerpt,Extrait
Featured posts,Articles à la une
Leave a comment,Laisser un commentaire
Leave blank to auto-generate,Laisser vide pour générer automatiquement
Mark spam,Marquer comme spam
Max posts,Articles max.
Moderated — hold for review,Modéré — en attente de révision
Name and status for this blog category.,Nom et statut de cette catégorie du blog.
New post,Nouvel article
New tag,Nouvelle étiquette
No comments yet. Be the first!,Aucun commentaire pour l'instant. Soyez le premier !
No posts in this category yet.,Aucun article dans cette catégorie pour l'instant.
No posts match,Aucun article correspondant
No posts published yet.,Aucun article publié pour l'instant.
No posts with this tag yet.,Aucun article avec cette étiquette pour l'instant.
No posts yet,Aucun article pour l'instant
Open page in a new tab,Ouvrir la page dans un nouvel onglet
Open — auto-approve,Ouvert — approbation automatique
Organize,Organiser
Pending,En attente
Post Title,Titre de l'article
Post comment,Publier le commentaire
Post created successfully!,Article créé avec succès !
Post title is required,Le titre de l'article est obligatoire
Posts,Articles
Publish ${count} posts,Publier ${count} articles
Published,Publié
Published posts are visible on the storefront.,Les articles publiés sont visibles sur la boutique.
React,Réagir
Related posts,Articles similaires
Reply,Répondre
Reply to ${name},Répondre à ${name}
Search Engine Optimization,Optimisation pour les moteurs de recherche
Search posts to feature,Rechercher des articles à mettre en avant
Search result preview,Aperçu du résultat de recherche
Select a category,Sélectionnez une catégorie
Select an author,Sélectionnez un auteur
Select tags,Sélectionnez des étiquettes
Short Description,Description courte
Something went wrong. Please try again.,Une erreur s'est produite. Veuillez réessayer.
Spam,Spam
Submitting…,Envoi…
Tag,Étiquette
Tag Name,Nom de l'étiquette
Tag created successfully!,Étiquette créée avec succès !
Tag name is required,Le nom de l'étiquette est obligatoire
Tags,Étiquettes
Thanks! Your comment is awaiting moderation.,Merci ! Votre commentaire est en attente de modération.
The URL path segment under /blog/.,Le segment de chemin URL sous /blog/.
The URL path segment under /blog/category/.,Le segment de chemin URL sous /blog/category/.
The URL path segment under /blog/tag/.,Le segment de chemin URL sous /blog/tag/.
"The post title, status and content.","Titre, statut et contenu de l'article."
The tag name.,Le nom de l'étiquette.
There is no comment to display,Il n'y a aucun commentaire à afficher
There is no post to display,Il n'y a aucun article à afficher
There is no tag to display,Il n'y a aucune étiquette à afficher
URL key is auto-generated from the name if left blank.,La clé URL est générée automatiquement à partir du nom si laissée vide.
URL key is auto-generated from the title if left blank.,La clé URL est générée automatiquement à partir du titre si laissée vide.
Unpublish,Dépublier
Unpublish ${count} posts,Dépublier ${count} articles
Untitled page,Page sans titre
Your comment,Votre commentaire
min read,min de lecture
