A short description shown on the category page,Una breve descrizione mostrata nella pagina della categoria
A short summary shown in listings,Un breve riassunto mostrato negli elenchi
Add a meta description to control the text shown here.,Aggiungi una meta descrizione per controllare il testo mostrato qui.
All,Tutti
All categories,Tutte le categorie
Applies to posts in this category.,Si applica agli articoli di questa categoria.
Approve,Approva
Approved,Approvato
Author,Autore
Blog,Blog
Blog Categories,Categorie del blog
Blog Comments,Commenti del blog
Blog Posts,Articoli del blog
Blog Tags,Tag del blog
By,Di
Cancel reply,Annulla risposta
"Category, author, tags and thumbnail.","Categoria, autore, tag e miniatura."
Closed — no new comments,Chiuso — nessun nuovo commento
Columns (1-4),Colonne (1-4)
Comment,Commento
Comment Policy,Politica dei commenti
Comments,Commenti
Configure URL key and meta information for this blog category.,Configura la chiave URL e le meta informazioni per questa categoria del blog.
Copied!,Copiato!
Copy link,Copia link
Create a new post,Crea un nuovo articolo
Create a new tag,Crea un nuovo tag
Delete ${count} comments,Elimina ${count} commenti
Delete ${count} posts,Elimina ${count} articoli
Delete ${count} tags,Elimina ${count} tag
Disable ${count} categories,Disattiva ${count} categorie
Email (not published),Email (non pubblicata)
Enable ${count} categories,Attiva ${count} categorie
Enter category name,Inserisci il nome della categoria
Enter post title,Inserisci il titolo dell'articolo
Enter tag name,Inserisci il nome del tag
Excerpt,Estratto
Featured posts,Articoli in evidenza
Leave a comment,Lascia un commento
Leave blank to auto-generate,Lascia vuoto per generare automaticamente
Mark spam,Segna come spam
Max posts,Max articoli
Moderated — hold for review,Moderato — in attesa di revisione
Name and status for this blog category.,Nome e stato per questa categoria del blog.
New post,Nuovo articolo
New tag,Nuovo tag
No comments yet. Be the first!,Ancora nessun commento. Sii il primo!
No posts in this category yet.,Ancora nessun articolo in questa categoria.
No posts match,Nessun articolo corrispondente
No posts published yet.,Ancora nessun articolo pubblicato.
No posts with this tag yet.,Ancora nessun articolo con questo tag.
No posts yet,Ancora nessun articolo
Open page in a new tab,Apri la pagina in una nuova scheda
Open — auto-approve,Aperto — approvazione automatica
Organize,Organizza
Pending,In attesa
Post Title,Titolo dell'articolo
Post comment,Pubblica commento
Post created successfully!,Articolo creato con successo!
Post title is required,Il titolo dell'articolo è obbligatorio
Posts,Articoli
Publish ${count} posts,Pubblica ${count} articoli
Published,Pubblicato
Published posts are visible on the storefront.,Gli articoli pubblicati sono visibili nel negozio.
React,Reagisci
Related posts,Articoli correlati
Reply,Rispondi
Reply to ${name},Rispondi a ${name}
Search Engine Optimization,Ottimizzazione per i motori di ricerca
Search posts to feature,Cerca articoli da mettere in evidenza
Search result preview,Anteprima del risultato di ricerca
Select a category,Seleziona una categoria
Select an author,Seleziona un autore
Select tags,Seleziona i tag
Short Description,Descrizione breve
Something went wrong. Please try again.,Qualcosa è andato storto. Riprova.
Spam,Spam
Submitting…,Invio in corso…
Tag,Tag
Tag Name,Nome del tag
Tag created successfully!,Tag creato con successo!
Tag name is required,Il nome del tag è obbligatorio
Tags,Tag
Thanks! Your comment is awaiting moderation.,Grazie! Il tuo commento è in attesa di moderazione.
The URL path segment under /blog/.,Il segmento di percorso URL sotto /blog/.
The URL path segment under /blog/category/.,Il segmento di percorso URL sotto /blog/category/.
The URL path segment under /blog/tag/.,Il segmento di percorso URL sotto /blog/tag/.
"The post title, status and content.","Titolo, stato e contenuto dell'articolo."
The tag name.,Il nome del tag.
There is no comment to display,Non c'è alcun commento da mostrare
There is no post to display,Non c'è alcun articolo da mostrare
There is no tag to display,Non c'è alcun tag da mostrare
URL key is auto-generated from the name if left blank.,La chiave URL viene generata automaticamente dal nome se lasciata vuota.
URL key is auto-generated from the title if left blank.,La chiave URL viene generata automaticamente dal titolo se lasciata vuota.
Unpublish,Annulla pubblicazione
Unpublish ${count} posts,Annulla pubblicazione di ${count} articoli
Untitled page,Pagina senza titolo
Your comment,Il tuo commento
min read,min di lettura
