"Your order is confirmed","سفارش شما تأیید شد"
"Your order #${number} is confirmed.","سفارش شما #${number} تأیید شد."
"Order #${number}","سفارش #${number}"
"Shipping to","ارسال به"
"View your order","مشاهده سفارش"
"Start shopping","شروع خرید"
"Your order is on the way","سفارش شما در راه است"
"Your order #${number} is on the way.","سفارش شما #${number} در راه است."
"Items in this shipment","اقلام این مرسوله"
"We'll send tracking details as soon as the carrier scans the package.","به‌محض اینکه شرکت حمل بسته را اسکن کند، اطلاعات رهگیری را برای شما ارسال می‌کنیم."
"Tracking","رهگیری"
"Track shipment","رهگیری مرسوله"
"Your order was delivered","سفارش شما تحویل داده شد"
"Your order #${number} has been delivered.","سفارش شما #${number} تحویل داده شد."
"Delivered items","اقلام تحویل‌شده"
"We hope it's everything you expected. If anything's not right, just reply to this email.","امیدواریم همان چیزی باشد که انتظار داشتید. اگر مشکلی بود، کافی است به همین ایمیل پاسخ دهید."
"Your order has been refunded","مبلغ سفارش شما بازپرداخت شد"
"A refund has been issued","بازپرداخت انجام شد"
"A refund has been issued for your order","برای سفارش شما بازپرداخت انجام شد"
"A refund of ${amount} was issued for order #${number}.","مبلغ ${amount} برای سفارش #${number} بازپرداخت شد."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","ما ${amount} را به روش پرداخت اصلی شما بازگرداندیم. بسته به بانک شما، ممکن است چند روز کاری طول بکشد تا در صورت‌حساب شما نمایش داده شود."
"Your order has been canceled","سفارش شما لغو شد"
"Order #${number} has been canceled.","سفارش #${number} لغو شد."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","این سفارش لغو شد. اگر پرداختی مجاز شده بود، آزاد شده است و مبلغی از شما کسر نخواهد شد."
"Reason: ${reason}.","دلیل: ${reason}."
"Order total","مجموع سفارش"
"Order number","شماره سفارش"
"Welcome, ${name}.","خوش آمدید، ${name}."
"Welcome to ${store}.","به ${store} خوش آمدید."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","از اینکه در ${store} حساب ساختید سپاسگزاریم. سبد خرید، سفارش‌ها و آدرس‌های ذخیره‌شده شما اکنون در یک مکان قرار دارند."
"Reset your ${store} password.","رمز عبور حساب ${store} خود را بازنشانی کنید."
"We received a request to reset the password for your ${store} account. Choose a new one below.","درخواستی برای بازنشانی رمز عبور حساب ${store} شما دریافت کردیم. در ادامه رمز جدیدی انتخاب کنید."
"If you didn't request this, you can safely ignore this email — your password won't change.","اگر شما این درخواست را نداده‌اید، می‌توانید این ایمیل را نادیده بگیرید — رمز عبور شما تغییر نخواهد کرد."
"Visit store","مشاهده فروشگاه"
"Help","راهنما"
