Discount ${discount} For All Orders Over ${price},Rabatt von ${discount} auf alle Bestellungen über ${price}
Please select,Bitte auswählen...
The page you requested does not exist.,Die von Ihnen angeforderte Seite existiert nicht.
404 Page Not Found,404 Seite nicht gefunden
Home,Startseite
Not found,Nicht gefunden
Search options,Optionen suchen
Show less,Weniger anzeigen
Sort by,Sortieren nach
Search products…,Produkte suchen…
Order Note,Bestellhinweis
Add a note to your order,Fügen Sie Ihrer Bestellung eine Nachricht hinzu
My account,Mein Konto
Log out,Abmelden
Your profile has been updated,Ihr Profil wurde aktualisiert
Update profile API not available,Die API zum Aktualisieren des Profils ist nicht verfügbar
Failed to update profile,Profil konnte nicht aktualisiert werden
Something went wrong. Please refresh the page.,Etwas ist schiefgelaufen. Bitte laden Sie die Seite neu.
${count} result for “${keyword}”,${count} Ergebnis für „${keyword}“
${count} results for “${keyword}”,${count} Ergebnisse für „${keyword}“
