Total,कुल 
Order,आर्डर 
Sku,SKU 
Continue to shipping,शिपिंग के लिए जारी रखें 
Continue shopping,खरीदारी जारी रखें 
Continue Shopping,खरीदारी जारी रखें 
CONTINUE SHOPPING,खरीदारी जारी रखें 
Shopping cart,शॉपिंग कार्ट 
Product,सामान 
Price,कीमत 
Quantity,मात्रा 
Remove,हटाना 
Qty,मात्रा 
Sub total,उपयोगी योग 
Discount(coupon),छूट 
Order summary,आर्डर सारांश 
Taxes and shipping calculated at checkout,कर और शिपिंग चेकआउट पर गणना की जाती है 
CHECKOUT,चेकआउट 
Change,बदलें 
Payment Method,भुगतान विधि 
Shipping Address,शिपिंग पता 
Shipping Method,शिपिंग विधि 
No payment methods available,कोई भुगतान विधि उपलब्ध नहीं है 
Place Order,आर्डर दें 
My billing address is same as shipping address,मेरा बिलिंग पता शिपिंग पते के समान है 
count items, आइटम गिनें
Discount,छूट 
Shipping,शिपिंग 
No tax,कोई कर नहीं 
Tax,कर 
"Sorry, there is no available method for your address" ,"क्षमा करें, आपके पते के लिए कोई उपलब्ध विधि नहीं है"
Please enter a shipping address in order to see shipping quotes,शिपिंग उद्धरण देखने के लिए कृपया एक शिपिंग पता दर्ज करें 
Continue to payment,भुगतान के लिए जारी रखें 
No payment method available,कोई भुगतान विधि उपलब्ध नहीं है 
Ship to,शिप टू
Shipment,शिपमेंट
Thank you name!,धन्यवाद name! 
Contact information,संपर्क जानकारी 
Order #orderNumber,आर्डर #orderNumber 
ADD TO CART,कार्ट में जोड़ें 
Please select variant options,कृपया वैरिएंट विकल्प चुनें 
VIEW CART (count),कार्ट देखें 
JUST ADDED TO YOUR CART,आपके कार्ट में अभी जोड़ा गया 
Promotion code?,प्रचार कोड? 
Enter coupon code,कूपन कोड दर्ज करें 
Apply,लागू करें 
Your cart is empty!,आपका कार्ट खाली है! 
Full name,पूरा नाम 
Telephone,टेलीफोन 
Address,पता 
City,शहर 
Country,देश 
Postcode,पोस्टकोड 
Inclusive of tax,सहित कर
"Sorry, there is no available method for your address", "क्षमा करें, आपके पते के लिए कोई उपलब्ध विधि नहीं है"
Full name is required,पूरा नाम आवश्यक है 
Telephone is required,टेलीफोन आवश्यक है 
