"Add a store email","Shop-E-Mail hinzufügen"
"Consent","Einwilligung"
"Consent text","Einwilligungstext"
"Contact messages","Kontaktnachrichten"
"Customer","Kunde"
"Delete ${count} messages","${count} Nachrichten löschen"
"Fields","Felder"
"From","Von"
"How can we help?","Wie können wir helfen?"
"I agree that my details may be used to respond to my enquiry.","Ich bin damit einverstanden, dass meine Daten zur Beantwortung meiner Anfrage verwendet werden."
"Inbox","Posteingang"
"Mark read","Als gelesen markieren"
"Mark unread","Als ungelesen markieren"
"Message","Nachricht"
"Message is required","Nachricht ist erforderlich"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Nachrichten werden an ${email} gesendet und unter CMS → Kontaktnachrichten gespeichert."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Nachrichten werden weiterhin gespeichert und sind unter CMS → Kontaktnachrichten sichtbar, es wird jedoch keine Benachrichtigungs-E-Mail gesendet."
"New contact form message","Neue Nachricht über das Kontaktformular"
"New contact form message from ${name}","Neue Kontaktformular-Nachricht von ${name}"
"New message from ${name} via your contact form.","Neue Nachricht von ${name} über dein Kontaktformular."
"Not emailed","Nicht per E-Mail gesendet"
"Optional supporting copy.","Optionaler Begleittext."
"Please accept before sending","Bitte stimmen Sie vor dem Senden zu"
"Read","Gelesen"
"Reply directly to this email to respond to ${name}.","Antworte direkt auf diese E-Mail, um ${name} zu erreichen."
"Send message","Nachricht senden"
"Show consent checkbox","Einwilligungs-Checkbox anzeigen"
"Show phone field","Telefonfeld anzeigen"
"Show subject field","Betrefffeld anzeigen"
"Shown after the message is sent.","Wird nach dem Senden der Nachricht angezeigt."
"Someone sent a message through the contact form on your store.","Jemand hat über das Kontaktformular in deinem Shop eine Nachricht gesendet."
"Store email is not set","Shop-E-Mail ist nicht festgelegt"
"Subheading","Unterüberschrift"
"Subject","Betreff"
"Submit","Senden"
"Success message","Erfolgsmeldung"
"Thanks! Your message has been sent.","Danke! Deine Nachricht wurde gesendet."
"There is no message to display","Es gibt keine Nachricht zum Anzeigen"
"Titles","Überschriften"
"Unread","Ungelesen"
"View customer account","Kundenkonto ansehen"
"What is this about?","Worum geht es?"
"Your name","Dein Name"
"Your phone number","Deine Telefonnummer"
"e.g. Get in touch","z. B. Kontakt aufnehmen"
"e.g. I agree that my details may be used to respond to my enquiry.","z. B. Ich bin damit einverstanden, dass meine Daten zur Beantwortung meiner Anfrage verwendet werden."
"e.g. Send message","z. B. Nachricht senden"
"e.g. Thanks! Your message has been sent.","z. B. Danke! Deine Nachricht wurde gesendet."
"e.g. We usually reply within one business day.","z. B. Wir antworten in der Regel innerhalb eines Werktags."
"you@example.com","du@beispiel.de"
