"Your order is confirmed","Bestillingen din er bekreftet"
"Your order #${number} is confirmed.","Bestillingen din #${number} er bekreftet."
"Order #${number}","Bestilling #${number}"
"Shipping to","Sendes til"
"View your order","Se bestillingen din"
"Start shopping","Begynn å handle"
"Your order is on the way","Bestillingen din er på vei"
"Your order #${number} is on the way.","Bestillingen din #${number} er på vei."
"Items in this shipment","Varer i denne forsendelsen"
"We'll send tracking details as soon as the carrier scans the package.","Vi sender sporingsinformasjon så snart transportøren skanner pakken."
"Tracking","Sporing"
"Track shipment","Spor forsendelsen"
"Your order was delivered","Bestillingen din ble levert"
"Your order #${number} has been delivered.","Bestillingen din #${number} er levert."
"Delivered items","Leverte varer"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Vi håper den er alt du forventet. Hvis noe ikke stemmer, bare svar på denne e-posten."
"Your order has been refunded","Bestillingen din er refundert"
"A refund has been issued","En refusjon er utført"
"A refund has been issued for your order","En refusjon er utført for bestillingen din"
"A refund of ${amount} was issued for order #${number}.","En refusjon på ${amount} er utført for bestilling #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Vi har refundert ${amount} til den opprinnelige betalingsmåten din. Avhengig av banken din kan det ta noen virkedager før det vises på kontoutskriften."
"Your order has been canceled","Bestillingen din er kansellert"
"Order #${number} has been canceled.","Bestilling #${number} er kansellert."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Denne bestillingen er kansellert. Hvis en betaling ble autorisert, er den frigitt, og du blir ikke belastet."
"Reason: ${reason}.","Årsak: ${reason}."
"Order total","Ordretotal"
"Order number","Ordrenummer"
"Welcome, ${name}.","Velkommen, ${name}."
"Welcome to ${store}.","Velkommen til ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Takk for at du opprettet en konto hos ${store}. Handlekurven, bestillingene og de lagrede adressene dine er nå samlet på ett sted."
"Reset your ${store} password.","Tilbakestill passordet for ${store}-kontoen din."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Vi mottok en forespørsel om å tilbakestille passordet for ${store}-kontoen din. Velg et nytt nedenfor."
"If you didn't request this, you can safely ignore this email — your password won't change.","Hvis du ikke ba om dette, kan du trygt se bort fra denne e-posten — passordet ditt endres ikke."
"Visit store","Gå til butikken"
"Help","Hjelp"
