"Add a store email","افزودن ایمیل فروشگاه"
"Consent","رضایت"
"Consent text","متن رضایت"
"Contact messages","پیام‌های تماس"
"Customer","مشتری"
"Delete ${count} messages","حذف ${count} پیام"
"Fields","فیلدها"
"From","از"
"How can we help?","چطور می‌توانیم کمک کنیم؟"
"I agree that my details may be used to respond to my enquiry.","موافقم که از اطلاعات من برای پاسخ به درخواستم استفاده شود."
"Inbox","صندوق ورودی"
"Mark read","علامت‌گذاری به عنوان خوانده‌شده"
"Mark unread","علامت‌گذاری به عنوان خوانده‌نشده"
"Message","پیام"
"Message is required","پیام الزامی است"
"Messages are sent to ${email} and saved under CMS → Contact messages.","پیام‌ها به ${email} ارسال و در CMS → پیام‌های تماس ذخیره می‌شوند."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","پیام‌ها همچنان ذخیره می‌شوند و در CMS → پیام‌های تماس قابل مشاهده‌اند، اما ایمیل اطلاع‌رسانی ارسال نخواهد شد."
"New contact form message","پیام جدید فرم تماس"
"New contact form message from ${name}","پیام جدید فرم تماس از ${name}"
"New message from ${name} via your contact form.","پیام جدید از ${name} از طریق فرم تماس شما."
"Not emailed","ایمیل ارسال نشد"
"Optional supporting copy.","متن توضیحی اختیاری."
"Please accept before sending","لطفاً پیش از ارسال بپذیرید"
"Read","خوانده‌شده"
"Reply directly to this email to respond to ${name}.","برای پاسخ به ${name} مستقیماً به این ایمیل پاسخ دهید."
"Send message","ارسال پیام"
"Show consent checkbox","نمایش کادر رضایت"
"Show phone field","نمایش فیلد تلفن"
"Show subject field","نمایش فیلد موضوع"
"Shown after the message is sent.","پس از ارسال پیام نمایش داده می‌شود."
"Someone sent a message through the contact form on your store.","شخصی از طریق فرم تماس فروشگاه شما پیامی ارسال کرد."
"Store email is not set","ایمیل فروشگاه تنظیم نشده است"
"Subheading","زیرعنوان"
"Subject","موضوع"
"Submit","ارسال"
"Success message","پیام موفقیت"
"Thanks! Your message has been sent.","سپاسگزاریم! پیام شما ارسال شد."
"There is no message to display","پیامی برای نمایش وجود ندارد"
"Titles","عنوان‌ها"
"Unread","خوانده‌نشده"
"View customer account","مشاهده حساب مشتری"
"What is this about?","موضوع درباره چیست؟"
"Your name","نام شما"
"Your phone number","شماره تلفن شما"
"e.g. Get in touch","مثلاً با ما در تماس باشید"
"e.g. I agree that my details may be used to respond to my enquiry.","مثلاً موافقم که از اطلاعات من برای پاسخ به درخواستم استفاده شود."
"e.g. Send message","مثلاً ارسال پیام"
"e.g. Thanks! Your message has been sent.","مثلاً سپاسگزاریم! پیام شما ارسال شد."
"e.g. We usually reply within one business day.","مثلاً معمولاً ظرف یک روز کاری پاسخ می‌دهیم."
"you@example.com","you@example.com"
