A short description shown on the category page,Кратак опис приказан на страници категорије
A short summary shown in listings,Кратак сажетак приказан у листама
Add a meta description to control the text shown here.,Додајте мета опис да бисте контролисали текст приказан овде.
All,Све
All categories,Све категорије
Applies to posts in this category.,Односи се на објаве у овој категорији.
Approve,Одобри
Approved,Одобрено
Author,Аутор
Blog,Блог
Blog Categories,Категорије блога
Blog Comments,Коментари блога
Blog Posts,Објаве блога
Blog Tags,Ознаке блога
By,Од
Cancel reply,Откажи одговор
"Category, author, tags and thumbnail.","Категорија, аутор, ознаке и сличица."
Closed — no new comments,Затворено — нема нових коментара
Columns (1-4),Колоне (1-4)
Comment,Коментар
Comment Policy,Правила коментарисања
Comments,Коментари
Configure URL key and meta information for this blog category.,Подесите URL кључ и мета информације за ову категорију блога.
Copied!,Копирано!
Copy link,Копирај везу
Create a new post,Креирај нову објаву
Create a new tag,Креирај нову ознаку
Delete ${count} comments,Обриши ${count} коментара
Delete ${count} posts,Обриши ${count} објава
Delete ${count} tags,Обриши ${count} ознака
Disable ${count} categories,Онемогући ${count} категорија
Email (not published),Имејл (није објављено)
Enable ${count} categories,Омогући ${count} категорија
Enter category name,Унесите назив категорије
Enter post title,Унесите наслов објаве
Enter tag name,Унесите назив ознаке
Excerpt,Извод
Featured posts,Истакнуте објаве
Leave a comment,Оставите коментар
Leave blank to auto-generate,Оставите празно за аутоматско генерисање
Mark spam,Означи као нежељено
Max posts,Макс. објава
Moderated — hold for review,Модерисано — задржано за преглед
Name and status for this blog category.,Назив и статус за ову категорију блога.
New post,Нова објава
New tag,Нова ознака
No comments yet. Be the first!,Још нема коментара. Будите први!
No posts in this category yet.,Још нема објава у овој категорији.
No posts match,Нема подударних објава
No posts published yet.,Још нема објављених објава.
No posts with this tag yet.,Још нема објава са овом ознаком.
No posts yet,Још нема објава
Open page in a new tab,Отвори страницу у новој картици
Open — auto-approve,Отворено — аутоматско одобравање
Organize,Организуј
Pending,На чекању
Post Title,Наслов објаве
Post comment,Објави коментар
Post created successfully!,Објава је успешно креирана!
Post title is required,Наслов објаве је обавезан
Posts,Објаве
Publish ${count} posts,Објави ${count} објава
Published,Објављено
Published posts are visible on the storefront.,Објављене објаве су видљиве у продавници.
React,Реагуј
Related posts,Сродне објаве
Reply,Одговори
Reply to ${name},Одговори кориснику ${name}
Search Engine Optimization,Оптимизација за претраживаче
Search posts to feature,Претражи објаве за истицање
Search result preview,Преглед резултата претраге
Select a category,Изаберите категорију
Select an author,Изаберите аутора
Select tags,Изаберите ознаке
Short Description,Кратак опис
Something went wrong. Please try again.,Нешто је пошло наопако. Покушајте поново.
Spam,Нежељено
Submitting…,Слање…
Tag,Ознака
Tag Name,Назив ознаке
Tag created successfully!,Ознака је успешно креирана!
Tag name is required,Назив ознаке је обавезан
Tags,Ознаке
Thanks! Your comment is awaiting moderation.,Хвала! Ваш коментар чека на модерацију.
The URL path segment under /blog/.,Сегмент URL путање под /blog/.
The URL path segment under /blog/category/.,Сегмент URL путање под /blog/category/.
The URL path segment under /blog/tag/.,Сегмент URL путање под /blog/tag/.
"The post title, status and content.","Наслов, статус и садржај објаве."
The tag name.,Назив ознаке.
There is no comment to display,Нема коментара за приказ
There is no post to display,Нема објаве за приказ
There is no tag to display,Нема ознаке за приказ
URL key is auto-generated from the name if left blank.,URL кључ се аутоматски генерише из назива ако је празно.
URL key is auto-generated from the title if left blank.,URL кључ се аутоматски генерише из наслова ако је празно.
Unpublish,Поништи објављивање
Unpublish ${count} posts,Поништи објављивање ${count} објава
Untitled page,Страница без наслова
Your comment,Ваш коментар
min read,мин читања
