A short description shown on the category page,Uma breve descrição exibida na página da categoria
A short summary shown in listings,Um breve resumo exibido nas listagens
Add a meta description to control the text shown here.,Adicione uma meta descrição para controlar o texto exibido aqui.
All,Todos
All categories,Todas as categorias
Applies to posts in this category.,Aplica-se às publicações desta categoria.
Approve,Aprovar
Approved,Aprovado
Author,Autor
Blog,Blog
Blog Categories,Categorias do blog
Blog Comments,Comentários do blog
Blog Posts,Publicações do blog
Blog Tags,Tags do blog
By,Por
Cancel reply,Cancelar resposta
"Category, author, tags and thumbnail.","Categoria, autor, tags e miniatura."
Closed — no new comments,Fechado — sem novos comentários
Columns (1-4),Colunas (1-4)
Comment,Comentário
Comment Policy,Política de comentários
Comments,Comentários
Configure URL key and meta information for this blog category.,Configure a chave URL e as meta informações desta categoria do blog.
Copied!,Copiado!
Copy link,Copiar link
Create a new post,Criar uma nova publicação
Create a new tag,Criar uma nova tag
Delete ${count} comments,Excluir ${count} comentários
Delete ${count} posts,Excluir ${count} publicações
Delete ${count} tags,Excluir ${count} tags
Disable ${count} categories,Desativar ${count} categorias
Email (not published),E-mail (não publicado)
Enable ${count} categories,Ativar ${count} categorias
Enter category name,Insira o nome da categoria
Enter post title,Insira o título da publicação
Enter tag name,Insira o nome da tag
Excerpt,Resumo
Featured posts,Publicações em destaque
Leave a comment,Deixe um comentário
Leave blank to auto-generate,Deixe em branco para gerar automaticamente
Mark spam,Marcar como spam
Max posts,Máx. de publicações
Moderated — hold for review,Moderado — reter para revisão
Name and status for this blog category.,Nome e status desta categoria do blog.
New post,Nova publicação
New tag,Nova tag
No comments yet. Be the first!,Ainda não há comentários. Seja o primeiro!
No posts in this category yet.,Ainda não há publicações nesta categoria.
No posts match,Nenhuma publicação corresponde
No posts published yet.,Ainda não há publicações publicadas.
No posts with this tag yet.,Ainda não há publicações com esta tag.
No posts yet,Ainda não há publicações
Open page in a new tab,Abrir página em uma nova aba
Open — auto-approve,Aberto — aprovação automática
Organize,Organizar
Pending,Pendente
Post Title,Título da publicação
Post comment,Publicar comentário
Post created successfully!,Publicação criada com sucesso!
Post title is required,O título da publicação é obrigatório
Posts,Publicações
Publish ${count} posts,Publicar ${count} publicações
Published,Publicado
Published posts are visible on the storefront.,As publicações publicadas ficam visíveis na loja.
React,Reagir
Related posts,Publicações relacionadas
Reply,Responder
Reply to ${name},Responder a ${name}
Search Engine Optimization,Otimização para motores de busca
Search posts to feature,Pesquisar publicações para destacar
Search result preview,Pré-visualização do resultado de pesquisa
Select a category,Selecione uma categoria
Select an author,Selecione um autor
Select tags,Selecione tags
Short Description,Descrição curta
Something went wrong. Please try again.,Algo deu errado. Tente novamente.
Spam,Spam
Submitting…,Enviando…
Tag,Tag
Tag Name,Nome da tag
Tag created successfully!,Tag criada com sucesso!
Tag name is required,O nome da tag é obrigatório
Tags,Tags
Thanks! Your comment is awaiting moderation.,Obrigado! Seu comentário está aguardando moderação.
The URL path segment under /blog/.,O segmento de caminho URL em /blog/.
The URL path segment under /blog/category/.,O segmento de caminho URL em /blog/category/.
The URL path segment under /blog/tag/.,O segmento de caminho URL em /blog/tag/.
"The post title, status and content.","Título, status e conteúdo da publicação."
The tag name.,O nome da tag.
There is no comment to display,Não há nenhum comentário para exibir
There is no post to display,Não há nenhuma publicação para exibir
There is no tag to display,Não há nenhuma tag para exibir
URL key is auto-generated from the name if left blank.,A chave URL é gerada automaticamente a partir do nome se deixada em branco.
URL key is auto-generated from the title if left blank.,A chave URL é gerada automaticamente a partir do título se deixada em branco.
Unpublish,Despublicar
Unpublish ${count} posts,Despublicar ${count} publicações
Untitled page,Página sem título
Your comment,Seu comentário
min read,min de leitura
