"Your order is confirmed","Таны захиалга баталгаажлаа"
"Your order #${number} is confirmed.","Таны #${number} захиалга баталгаажлаа."
"Order #${number}","Захиалга #${number}"
"Shipping to","Хүргэх хаяг"
"View your order","Захиалгаа харах"
"Start shopping","Худалдан авалт эхлүүлэх"
"Your order is on the way","Таны захиалга замдаа явж байна"
"Your order #${number} is on the way.","Таны #${number} захиалга замдаа явж байна."
"Items in this shipment","Энэ илгээмжийн бараанууд"
"We'll send tracking details as soon as the carrier scans the package.","Тээвэрлэгч илгээмжийг уншмагц бид танд хянах мэдээллийг илгээх болно."
"Tracking","Хянах"
"Track shipment","Илгээмж хянах"
"Your order was delivered","Таны захиалга хүргэгдлээ"
"Your order #${number} has been delivered.","Таны #${number} захиалга хүргэгдлээ."
"Delivered items","Хүргэгдсэн бараанууд"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Таны хүлээж байсан шиг байхыг найдаж байна. Хэрэв ямар нэг зүйл буруу байвал энэ имэйлд хариу бичнэ үү."
"Your order has been refunded","Таны захиалгын төлбөрийг буцаалаа"
"A refund has been issued","Төлбөр буцаалт хийгдлээ"
"A refund has been issued for your order","Таны захиалгад төлбөр буцаалт хийгдлээ"
"A refund of ${amount} was issued for order #${number}.","#${number} захиалгад ${amount}-ийн буцаалт хийгдлээ."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Бид ${amount}-ийг таны анхны төлбөрийн хэрэгсэл рүү буцаалаа. Таны банкнаас хамааран энэ нь таны хуулга дээр гарахад хэдэн ажлын өдөр шаардагдаж болзошгүй."
"Your order has been canceled","Таны захиалга цуцлагдлаа"
"Order #${number} has been canceled.","#${number} захиалга цуцлагдлаа."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Энэ захиалга цуцлагдлаа. Хэрэв төлбөр зөвшөөрөгдсөн байсан бол суларгасан бөгөөд танаас төлбөр авахгүй."
"Reason: ${reason}.","Шалтгаан: ${reason}."
"Order total","Захиалгын нийт дүн"
"Order number","Захиалгын дугаар"
"Welcome, ${name}.","Тавтай морил, ${name}."
"Welcome to ${store}.","${store}-д тавтай морил."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","${store}-д бүртгэл үүсгэсэнд баярлалаа. Таны сагс, захиалга, хадгалсан хаягууд одоо нэг дор байрлана."
"Reset your ${store} password.","${store} бүртгэлийнхээ нууц үгийг шинэчилнэ үү."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Таны ${store} бүртгэлийн нууц үгийг шинэчлэх хүсэлт хүлээн авлаа. Доор шинэ нууц үг сонгоно уу."
"If you didn't request this, you can safely ignore this email — your password won't change.","Хэрэв та үүнийг хүсээгүй бол энэ имэйлийг үл тоомсорлож болно — таны нууц үг өөрчлөгдөхгүй."
"Visit store","Дэлгүүр рүү очих"
"Help","Тусламж"
