A short description shown on the category page,Een korte beschrijving die op de categoriepagina wordt getoond
A short summary shown in listings,Een korte samenvatting die in lijsten wordt getoond
Add a meta description to control the text shown here.,Voeg een metabeschrijving toe om de hier getoonde tekst te bepalen.
All,Alles
All categories,Alle categorieën
Applies to posts in this category.,Van toepassing op berichten in deze categorie.
Approve,Goedkeuren
Approved,Goedgekeurd
Author,Auteur
Blog,Blog
Blog Categories,Blogcategorieën
Blog Comments,Blogreacties
Blog Posts,Blogberichten
Blog Tags,Blogtags
By,Door
Cancel reply,Antwoord annuleren
"Category, author, tags and thumbnail.","Categorie, auteur, tags en miniatuur."
Closed — no new comments,Gesloten — geen nieuwe reacties
Columns (1-4),Kolommen (1-4)
Comment,Reactie
Comment Policy,Reactiebeleid
Comments,Reacties
Configure URL key and meta information for this blog category.,Configureer de URL-sleutel en meta-informatie voor deze blogcategorie.
Copied!,Gekopieerd!
Copy link,Link kopiëren
Create a new post,Een nieuw bericht maken
Create a new tag,Een nieuwe tag maken
Delete ${count} comments,${count} reacties verwijderen
Delete ${count} posts,${count} berichten verwijderen
Delete ${count} tags,${count} tags verwijderen
Disable ${count} categories,${count} categorieën uitschakelen
Email (not published),E-mail (niet gepubliceerd)
Enable ${count} categories,${count} categorieën inschakelen
Enter category name,Voer categorienaam in
Enter post title,Voer berichttitel in
Enter tag name,Voer tagnaam in
Excerpt,Samenvatting
Featured posts,Uitgelichte berichten
Leave a comment,Laat een reactie achter
Leave blank to auto-generate,Laat leeg om automatisch te genereren
Mark spam,Markeren als spam
Max posts,Max. berichten
Moderated — hold for review,Gemodereerd — vasthouden voor beoordeling
Name and status for this blog category.,Naam en status voor deze blogcategorie.
New post,Nieuw bericht
New tag,Nieuwe tag
No comments yet. Be the first!,Nog geen reacties. Wees de eerste!
No posts in this category yet.,Nog geen berichten in deze categorie.
No posts match,Geen overeenkomende berichten
No posts published yet.,Nog geen berichten gepubliceerd.
No posts with this tag yet.,Nog geen berichten met deze tag.
No posts yet,Nog geen berichten
Open page in a new tab,Pagina in een nieuw tabblad openen
Open — auto-approve,Open — automatisch goedkeuren
Organize,Organiseren
Pending,In behandeling
Post Title,Berichttitel
Post comment,Reactie plaatsen
Post created successfully!,Bericht succesvol aangemaakt!
Post title is required,Berichttitel is verplicht
Posts,Berichten
Publish ${count} posts,${count} berichten publiceren
Published,Gepubliceerd
Published posts are visible on the storefront.,Gepubliceerde berichten zijn zichtbaar in de winkel.
React,Reageren
Related posts,Gerelateerde berichten
Reply,Antwoorden
Reply to ${name},Antwoorden op ${name}
Search Engine Optimization,Zoekmachineoptimalisatie
Search posts to feature,Berichten zoeken om uit te lichten
Search result preview,Voorbeeld van zoekresultaat
Select a category,Selecteer een categorie
Select an author,Selecteer een auteur
Select tags,Selecteer tags
Short Description,Korte beschrijving
Something went wrong. Please try again.,Er is iets misgegaan. Probeer het opnieuw.
Spam,Spam
Submitting…,Verzenden…
Tag,Tag
Tag Name,Tagnaam
Tag created successfully!,Tag succesvol aangemaakt!
Tag name is required,Tagnaam is verplicht
Tags,Tags
Thanks! Your comment is awaiting moderation.,Bedankt! Je reactie wacht op moderatie.
The URL path segment under /blog/.,Het URL-padsegment onder /blog/.
The URL path segment under /blog/category/.,Het URL-padsegment onder /blog/category/.
The URL path segment under /blog/tag/.,Het URL-padsegment onder /blog/tag/.
"The post title, status and content.","Titel, status en inhoud van het bericht."
The tag name.,De tagnaam.
There is no comment to display,Er is geen reactie om weer te geven
There is no post to display,Er is geen bericht om weer te geven
There is no tag to display,Er is geen tag om weer te geven
URL key is auto-generated from the name if left blank.,URL-sleutel wordt automatisch gegenereerd uit de naam indien leeg gelaten.
URL key is auto-generated from the title if left blank.,URL-sleutel wordt automatisch gegenereerd uit de titel indien leeg gelaten.
Unpublish,Publicatie ongedaan maken
Unpublish ${count} posts,Publicatie van ${count} berichten ongedaan maken
Untitled page,Naamloze pagina
Your comment,Je reactie
min read,min leestijd
