"Blog category","Categoria del blog"
"Blog post","Articolo del blog"
"Blog tag","Tag del blog"
"Build in page builder","Crea nel page builder"
"Change edit scope","Cambia ambito di modifica"
"Control when this landing page is published. Leave empty for no limit.","Controlla quando questa landing page viene pubblicata. Lascia vuoto per nessun limite."
"Create a new landing page","Crea una nuova landing page"
"Current link: ${url}","Link attuale: ${url}"
"Delete ${count} landing pages","Elimina ${count} landing page"
"Disable ${count} landing pages","Disattiva ${count} landing page"
"Editing","In modifica"
"Enable ${count} landing pages","Attiva ${count} landing page"
"Enable this landing page to make it visible on the storefront.","Attiva questa landing page per renderla visibile nel negozio online."
"Enter landing page name","Inserisci il nome della landing page"
"Landing Pages","Landing page"
"Landing page","Landing page"
"Landing page created successfully!","Landing page creata con successo!"
"Loading pages…","Caricamento pagine…"
"New Landing Page","Nuova landing page"
"No ${kind}s match ""${query}"".","Nessun ${kind}s corrisponde a ""${query}""."
"No ${kind}s yet.","Ancora nessun ${kind}s."
"No categories match ""${query}"".","Nessuna categoria corrisponde a ""${query}""."
"No categories yet.","Ancora nessuna categoria."
"No collections match ""${query}"".","Nessuna collezione corrisponde a ""${query}""."
"No collections yet.","Ancora nessuna collezione."
"No landing pages match ""${query}"".","Nessuna landing page corrisponde a ""${query}""."
"No landing pages yet.","Ancora nessuna landing page."
"No pages found.","Nessuna pagina trovata."
"No pages match ""${query}"".","Nessuna pagina corrisponde a ""${query}""."
"No pages yet.","Ancora nessuna pagina."
"No products match ""${query}"".","Nessun prodotto corrisponde a ""${query}""."
"No products yet.","Ancora nessun prodotto."
Paste a URL or a relative path starting with ,Incolla un URL o un percorso relativo che inizia con 
"Pick a CMS page to link to.","Scegli una pagina CMS a cui collegarti."
"Pick a blog ${kind} to link to.","Scegli un ${kind} del blog a cui collegarti."
"Pick a category to link to.","Scegli una categoria a cui collegarti."
"Pick a collection.","Scegli una collezione."
"Pick a landing page to link to.","Scegli una landing page a cui collegarti."
"Pick a product to link to.","Scegli un prodotto a cui collegarti."
"Provide the SEO details for the landing page.","Fornisci i dettagli SEO per la landing page."
"Provide the basic information for the landing page.","Fornisci le informazioni di base per la landing page."
"Publish end","Fine pubblicazione"
"Publish start","Inizio pubblicazione"
"Schedule","Pianificazione"
"The internal name of the landing page shown in the admin panel.","Il nome interno della landing page mostrato nel pannello di amministrazione."
"There is no landing page to display","Non c'è nessuna landing page da mostrare"
"This is the URL path for the landing page.","Questo è il percorso URL della landing page."
"This page","Questa pagina"
"Duplicating ${name}","Duplicazione di ${name}"
"The duplicate is created from the last saved version of this product. Your unsaved edits will not be included and will be lost when you leave this page.","Il duplicato viene creato dall'ultima versione salvata di questo prodotto. Le modifiche non salvate non saranno incluse e andranno perse lasciando questa pagina."
"Continue without saving","Continua senza salvare"
"You are creating a copy of ${name}","Stai creando una copia di ${name}"
"The copy is created as a standalone product — it does not join the source's variant group. Add it from the copy's edit page if needed.","La copia viene creata come prodotto autonomo — non entra nel gruppo varianti del prodotto di origine. Aggiungila dalla pagina di modifica della copia se necessario."
"Nothing is duplicated yet — hit Save to complete the duplication. Leaving this page without saving discards the copy.","Non è stato ancora duplicato nulla — premi Salva per completare la duplicazione. Se lasci questa pagina senza salvare, la copia verrà scartata."
"Replace homepage with this page","Sostituisci la homepage con questa pagina"
"The homepage will show the widgets of ""${name}"".","La homepage mostrerà i widget di ""${name}""."
"Checking the homepage…","Controllo della homepage in corso…"
"Something changed since the preview. Please review again.","Qualcosa è cambiato dall'anteprima. Ricontrolla."
"These rollout plans change the homepage. Cancel them or wait until they end, then try again.","Questi piani di rollout modificano la homepage. Annullali o attendi che terminino, poi riprova."
"The homepage has page-specific widget placements. Remove them in the page builder first.","La homepage ha posizionamenti di widget specifici per pagina. Rimuovili prima nel page builder."
"active","attivo"
"upcoming","in arrivo"
