"Add a store email","Winkel-e-mailadres toevoegen"
"Consent","Toestemming"
"Consent text","Toestemmingstekst"
"Contact messages","Contactberichten"
"Customer","Klant"
"Delete ${count} messages","${count} berichten verwijderen"
"Fields","Velden"
"From","Van"
"How can we help?","Hoe kunnen we helpen?"
"I agree that my details may be used to respond to my enquiry.","Ik ga ermee akkoord dat mijn gegevens worden gebruikt om op mijn vraag te reageren."
"Inbox","Postvak IN"
"Mark read","Markeren als gelezen"
"Mark unread","Markeren als ongelezen"
"Message","Bericht"
"Message is required","Bericht is verplicht"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Berichten worden verstuurd naar ${email} en opgeslagen onder CMS → Contactberichten."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Berichten worden nog steeds opgeslagen en zijn zichtbaar onder CMS → Contactberichten, maar er wordt geen notificatie-e-mail verstuurd."
"New contact form message","Nieuw bericht via het contactformulier"
"New contact form message from ${name}","Nieuw contactformulierbericht van ${name}"
"New message from ${name} via your contact form.","Nieuw bericht van ${name} via je contactformulier."
"Not emailed","Niet gemaild"
"Optional supporting copy.","Optionele ondersteunende tekst."
"Please accept before sending","Ga akkoord voordat je verzendt"
"Read","Gelezen"
"Reply directly to this email to respond to ${name}.","Beantwoord deze e-mail rechtstreeks om ${name} te bereiken."
"Send message","Bericht versturen"
"Show consent checkbox","Toestemmingsvinkje tonen"
"Show phone field","Telefoonveld tonen"
"Show subject field","Onderwerpveld tonen"
"Shown after the message is sent.","Wordt getoond nadat het bericht is verzonden."
"Someone sent a message through the contact form on your store.","Iemand heeft een bericht verstuurd via het contactformulier van je winkel."
"Store email is not set","E-mailadres van de winkel is niet ingesteld"
"Subheading","Subkop"
"Subject","Onderwerp"
"Submit","Versturen"
"Success message","Bevestigingsbericht"
"Thanks! Your message has been sent.","Bedankt! Je bericht is verzonden."
"There is no message to display","Er is geen bericht om weer te geven"
"Titles","Titels"
"Unread","Ongelezen"
"View customer account","Klantaccount bekijken"
"What is this about?","Waar gaat het over?"
"Your name","Je naam"
"Your phone number","Je telefoonnummer"
"e.g. Get in touch","bijv. Neem contact op"
"e.g. I agree that my details may be used to respond to my enquiry.","bijv. Ik ga ermee akkoord dat mijn gegevens worden gebruikt om op mijn vraag te reageren."
"e.g. Send message","bijv. Bericht versturen"
"e.g. Thanks! Your message has been sent.","bijv. Bedankt! Je bericht is verzonden."
"e.g. We usually reply within one business day.","bijv. We reageren meestal binnen één werkdag."
"you@example.com","jij@voorbeeld.nl"
