"Add a store email","Bolti e-mail hozzáadása"
"Consent","Hozzájárulás"
"Consent text","Hozzájárulási szöveg"
"Contact messages","Kapcsolatfelvételi üzenetek"
"Customer","Vásárló"
"Delete ${count} messages","${count} üzenet törlése"
"Fields","Mezők"
"From","Feladó"
"How can we help?","Miben segíthetünk?"
"I agree that my details may be used to respond to my enquiry.","Hozzájárulok, hogy adataimat a megkeresésem megválaszolásához felhasználják."
"Inbox","Beérkezett üzenetek"
"Mark read","Megjelölés olvasottként"
"Mark unread","Megjelölés olvasatlanként"
"Message","Üzenet"
"Message is required","Az üzenet megadása kötelező"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Az üzenetek a következő címre mennek: ${email}, és a CMS → Kapcsolatfelvételi üzenetek alatt kerülnek mentésre."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Az üzenetek továbbra is mentésre kerülnek és láthatók a CMS → Kapcsolatfelvételi üzenetek alatt, de nem kerül kiküldésre értesítő e-mail."
"New contact form message","Új kapcsolatfelvételi üzenet"
"New contact form message from ${name}","Új kapcsolatfelvételi üzenet tőle: ${name}"
"New message from ${name} via your contact form.","Új üzenet ${name} részéről a kapcsolatfelvételi űrlapon keresztül."
"Not emailed","Nem lett elküldve e-mailben"
"Optional supporting copy.","Opcionális kiegészítő szöveg."
"Please accept before sending","Kérjük, fogadja el a küldés előtt"
"Read","Olvasott"
"Reply directly to this email to respond to ${name}.","Válaszoljon közvetlenül erre az e-mailre, hogy elérje ${name} címzettet."
"Send message","Üzenet küldése"
"Show consent checkbox","Hozzájárulási jelölőnégyzet megjelenítése"
"Show phone field","Telefon mező megjelenítése"
"Show subject field","Tárgy mező megjelenítése"
"Shown after the message is sent.","Az üzenet elküldése után jelenik meg."
"Someone sent a message through the contact form on your store.","Valaki üzenetet küldött a boltja kapcsolatfelvételi űrlapján keresztül."
"Store email is not set","A bolt e-mail címe nincs beállítva"
"Subheading","Alcím"
"Subject","Tárgy"
"Submit","Küldés"
"Success message","Sikerüzenet"
"Thanks! Your message has been sent.","Köszönjük! Az üzenetét elküldtük."
"There is no message to display","Nincs megjeleníthető üzenet"
"Titles","Címek"
"Unread","Olvasatlan"
"View customer account","Vásárlói fiók megtekintése"
"What is this about?","Miről szeretne írni?"
"Your name","Az Ön neve"
"Your phone number","Az Ön telefonszáma"
"e.g. Get in touch","pl. Lépjen kapcsolatba velünk"
"e.g. I agree that my details may be used to respond to my enquiry.","pl. Hozzájárulok, hogy adataimat a megkeresésem megválaszolásához felhasználják."
"e.g. Send message","pl. Üzenet küldése"
"e.g. Thanks! Your message has been sent.","pl. Köszönjük! Az üzenetét elküldtük."
"e.g. We usually reply within one business day.","pl. Általában egy munkanapon belül válaszolunk."
"you@example.com","on@pelda.hu"
