"Blog category","دسته‌بندی وبلاگ"
"Blog post","نوشته وبلاگ"
"Blog tag","برچسب وبلاگ"
"Build in page builder","ساخت در صفحه‌ساز"
"Change edit scope","تغییر محدوده ویرایش"
"Control when this landing page is published. Leave empty for no limit.","زمان انتشار این صفحه فرود را کنترل کنید. برای عدم محدودیت خالی بگذارید."
"Create a new landing page","ایجاد یک صفحه فرود جدید"
"Current link: ${url}","پیوند فعلی: ${url}"
"Delete ${count} landing pages","حذف ${count} صفحه فرود"
"Disable ${count} landing pages","غیرفعال کردن ${count} صفحه فرود"
"Editing","در حال ویرایش"
"Enable ${count} landing pages","فعال کردن ${count} صفحه فرود"
"Enable this landing page to make it visible on the storefront.","این صفحه فرود را فعال کنید تا در فروشگاه نمایش داده شود."
"Enter landing page name","نام صفحه فرود را وارد کنید"
"Landing Pages","صفحات فرود"
"Landing page","صفحه فرود"
"Landing page created successfully!","صفحه فرود با موفقیت ایجاد شد!"
"Loading pages…","در حال بارگذاری صفحات…"
"New Landing Page","صفحه فرود جدید"
"No ${kind}s match ""${query}"".","هیچ ${kind}s با ""${query}"" مطابقت ندارد."
"No ${kind}s yet.","هنوز هیچ ${kind}s وجود ندارد."
"No categories match ""${query}"".","هیچ دسته‌بندی‌ای با ""${query}"" مطابقت ندارد."
"No categories yet.","هنوز هیچ دسته‌بندی‌ای وجود ندارد."
"No collections match ""${query}"".","هیچ مجموعه‌ای با ""${query}"" مطابقت ندارد."
"No collections yet.","هنوز هیچ مجموعه‌ای وجود ندارد."
"No landing pages match ""${query}"".","هیچ صفحه فرودی با ""${query}"" مطابقت ندارد."
"No landing pages yet.","هنوز هیچ صفحه فرودی وجود ندارد."
"No pages found.","هیچ صفحه‌ای یافت نشد."
"No pages match ""${query}"".","هیچ صفحه‌ای با ""${query}"" مطابقت ندارد."
"No pages yet.","هنوز هیچ صفحه‌ای وجود ندارد."
"No products match ""${query}"".","هیچ محصولی با ""${query}"" مطابقت ندارد."
"No products yet.","هنوز هیچ محصولی وجود ندارد."
Paste a URL or a relative path starting with ,یک URL یا یک مسیر نسبی را جای‌گذاری کنید که آغاز شود با 
"Pick a CMS page to link to.","یک صفحه CMS برای پیوند دادن انتخاب کنید."
"Pick a blog ${kind} to link to.","یک ${kind} وبلاگ برای پیوند دادن انتخاب کنید."
"Pick a category to link to.","یک دسته‌بندی برای پیوند دادن انتخاب کنید."
"Pick a collection.","یک مجموعه انتخاب کنید."
"Pick a landing page to link to.","یک صفحه فرود برای پیوند دادن انتخاب کنید."
"Pick a product to link to.","یک محصول برای پیوند دادن انتخاب کنید."
"Provide the SEO details for the landing page.","جزئیات سئو را برای صفحه فرود وارد کنید."
"Provide the basic information for the landing page.","اطلاعات پایه را برای صفحه فرود وارد کنید."
"Publish end","پایان انتشار"
"Publish start","شروع انتشار"
