"Add a store email","स्टोर इमेल थप्नुहोस्"
"Consent","सहमति"
"Consent text","सहमति पाठ"
"Contact messages","सम्पर्क सन्देशहरू"
"Customer","ग्राहक"
"Delete ${count} messages","${count} सन्देश मेट्नुहोस्"
"Fields","फिल्डहरू"
"From","बाट"
"How can we help?","हामी कसरी मद्दत गर्न सक्छौं?"
"I agree that my details may be used to respond to my enquiry.","मेरो सोधपुछको जवाफ दिन मेरो विवरण प्रयोग गर्न म सहमत छु।"
"Inbox","इनबक्स"
"Mark read","पढिएको चिन्ह लगाउनुहोस्"
"Mark unread","नपढिएको चिन्ह लगाउनुहोस्"
"Message","सन्देश"
"Message is required","सन्देश आवश्यक छ"
"Messages are sent to ${email} and saved under CMS → Contact messages.","सन्देशहरू ${email} मा पठाइन्छन् र CMS → सम्पर्क सन्देशहरू अन्तर्गत सुरक्षित गरिन्छन्।"
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","सन्देशहरू अझै सुरक्षित हुनेछन् र CMS → सम्पर्क सन्देशहरू अन्तर्गत देखिनेछन्, तर कुनै सूचना इमेल पठाइने छैन।"
"New contact form message","नयाँ सम्पर्क फारम सन्देश"
"New contact form message from ${name}","${name} बाट नयाँ सम्पर्क फारम सन्देश"
"New message from ${name} via your contact form.","तपाईंको सम्पर्क फारम मार्फत ${name} बाट नयाँ सन्देश।"
"Not emailed","इमेल पठाइएको छैन"
"Optional supporting copy.","वैकल्पिक सहायक पाठ।"
"Please accept before sending","पठाउनु अघि स्वीकार गर्नुहोस्"
"Read","पढिएको"
"Reply directly to this email to respond to ${name}.","${name} लाई जवाफ दिन यो इमेलमा सिधै जवाफ दिनुहोस्।"
"Send message","सन्देश पठाउनुहोस्"
"Show consent checkbox","सहमति चेकबक्स देखाउनुहोस्"
"Show phone field","फोन फिल्ड देखाउनुहोस्"
"Show subject field","विषय फिल्ड देखाउनुहोस्"
"Shown after the message is sent.","सन्देश पठाएपछि देखाइन्छ।"
"Someone sent a message through the contact form on your store.","कसैले तपाईंको स्टोरको सम्पर्क फारमबाट सन्देश पठायो।"
"Store email is not set","स्टोर इमेल सेट गरिएको छैन"
"Subheading","उपशीर्षक"
"Subject","विषय"
"Submit","पठाउनुहोस्"
"Success message","सफलता सन्देश"
"Thanks! Your message has been sent.","धन्यवाद! तपाईंको सन्देश पठाइयो।"
"There is no message to display","देखाउनको लागि कुनै सन्देश छैन"
"Titles","शीर्षकहरू"
"Unread","नपढिएको"
"View customer account","ग्राहक खाता हेर्नुहोस्"
"What is this about?","यो केको बारेमा हो?"
"Your name","तपाईंको नाम"
"Your phone number","तपाईंको फोन नम्बर"
"e.g. Get in touch","जस्तै: सम्पर्क गर्नुहोस्"
"e.g. I agree that my details may be used to respond to my enquiry.","जस्तै: मेरो सोधपुछको जवाफ दिन मेरो विवरण प्रयोग गर्न म सहमत छु।"
"e.g. Send message","जस्तै: सन्देश पठाउनुहोस्"
"e.g. Thanks! Your message has been sent.","जस्तै: धन्यवाद! तपाईंको सन्देश पठाइयो।"
"e.g. We usually reply within one business day.","जस्तै: हामी सामान्यतया एक कार्य दिनभित्र जवाफ दिन्छौं।"
"you@example.com","you@example.com"
