"Add a store email","添加店铺邮箱"
"Consent","同意声明"
"Consent text","同意声明文字"
"Contact messages","联系消息"
"Customer","客户"
"Delete ${count} messages","删除 ${count} 条消息"
"Fields","字段"
"From","发件人"
"How can we help?","我们能帮您什么?"
"I agree that my details may be used to respond to my enquiry.","我同意我的信息被用于回复我的咨询。"
"Inbox","收件箱"
"Mark read","标记为已读"
"Mark unread","标记为未读"
"Message","留言"
"Message is required","留言为必填项"
"Messages are sent to ${email} and saved under CMS → Contact messages.","留言会发送到 ${email} 并保存在 CMS → 联系消息中。"
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","留言仍会保存并显示在 CMS → 联系消息中，但不会发送通知邮件。"
"New contact form message","新的联系表单留言"
"New contact form message from ${name}","来自 ${name} 的新联系表单留言"
"New message from ${name} via your contact form.","来自 ${name} 通过联系表单发送的新留言。"
"Not emailed","未发送邮件"
"Optional supporting copy.","可选的辅助说明文字。"
"Please accept before sending","请先同意再发送"
"Read","已读"
"Reply directly to this email to respond to ${name}.","直接回复此邮件即可联系 ${name}。"
"Send message","发送留言"
"Show consent checkbox","显示同意勾选框"
"Show phone field","显示电话字段"
"Show subject field","显示主题字段"
"Shown after the message is sent.","留言发送后显示。"
"Someone sent a message through the contact form on your store.","有人通过您店铺的联系表单发送了留言。"
"Store email is not set","尚未设置店铺邮箱"
"Subheading","副标题"
"Subject","主题"
"Submit","提交"
"Success message","成功提示"
"Thanks! Your message has been sent.","谢谢!您的留言已发送。"
"There is no message to display","没有可显示的消息"
"Titles","标题"
"Unread","未读"
"View customer account","查看客户账户"
"What is this about?","想咨询什么?"
"Your name","您的姓名"
"Your phone number","您的电话号码"
"e.g. Get in touch","例如:联系我们"
"e.g. I agree that my details may be used to respond to my enquiry.","例如:我同意我的信息被用于回复我的咨询。"
"e.g. Send message","例如:发送留言"
"e.g. Thanks! Your message has been sent.","例如:谢谢!您的留言已发送。"
"e.g. We usually reply within one business day.","例如:我们通常在一个工作日内回复。"
"you@example.com","you@example.com"
