Welcome Back!,Тавтай морилно уу!
Please sign in to your account ,Бүртгэлдээ нэвтэрнэ үү 
Join us for exclusive offers and order tracking,Онцгой санал болон захиалгын хяналтад бидэнтэй нэгдээрэй
Sign Up,Бүртгүүлэх
Signing Up...,Бүртгэж байна...
Signing In...,Нэвтэрч байна...
Recent Orders,Сүүлийн захиалгууд
Address Book,Хаягийн дэвтэр
You have no addresses saved,Танд хадгалсан хаяг алга
Add new address,Шинэ хаяг нэмэх
Address 2,Хаяг 2
Set as default,Үндсэн болгох
Save,Хадгалах
Edit,Засах
Delete,Устгах
Edit Address,Хаяг засах
Product Filters,Бүтээгдэхүүний шүүлтүүр
No products found,Бүтээгдэхүүн олдсонгүй
${count} Products,${count} бүтээгдэхүүн
Default,Үндсэн
Name,Нэр
Contact Information,Холбоо барих мэдээлэл
Your Cart,Таны сагс
Your cart is empty,Таны сагс хоосон байна
Subtotal,Дэд дүн
View Cart (${totalQty}),Сагс үзэх (${totalQty})
Shopping Cart,Худалдан авалтын сагс
Logged in as,Дараах хэлбэрээр нэвтэрсэн
Payment Information,Төлбөрийн мэдээлэл
Same as shipping address,Хүргэлтийн хаягтай ижил
Use a different billing address,Өөр төлбөрийн хаяг ашиглах
Pick a payment method,Төлбөрийн арга сонгох
Select a payment method,Төлбөрийн арга сонгоно уу
Complete Order,Захиалга дуусгах
Add to Cart,Сагсанд нэмэх
Search,Хайх
${count} orders,${count} захиалга
${field} is required,${field} шаардлагатай
${pct}% of orders cancelled,Захиалгын ${pct}% цуцлагдсан
${pct}% of orders completed,Захиалгын ${pct}% гүйцэтгэгдсэн
${qty} sold,${qty} зарагдсан
${total} lifetime sale,${total} нийт борлуулалт
(Guest Checkout),(Зочин төлбөр төлөх)
(list),(жагсаалт)
(optional),(заавал биш)
A coupon is already applied,Купон аль хэдийн хэрэглэгдсэн
A group needs at least one sub-field,Бүлэгт дор хаяж нэг дэд талбар хэрэгтэй
A list of best selling products,Хамгийн их борлуулдаг бүтээгдэхүүний жагсаалт
A list of customers who have placed the most orders,Хамгийн их захиалга өгсөн үйлчлүүлэгчдийн жагсаалт
A regular expression the value must match.,Утга нь тохирох ёстой энгийн илэрхийлэл.
Accepted values,Хүлээн зөвшөөрөгдөх утгууд
Active,Идэвхтэй
Active Filters,Идэвхтэй шүүлтүүрүүд
Add address API not available,Хаяг нэмэх API боломжгүй байна
Add custom field,Захиалгат талбар нэмэх
Add field,Талбар нэмэх
Add item,Зүйл нэмэх
Add option,Сонголт нэмэх
Add product,Бүтээгдэхүүн нэмэх
Add some items to get started,Эхлэхийн тулд зарим зүйл нэмнэ үү
Add sub-field,Дэд талбар нэмэх
Adding...,Нэмж байна...
Address has been deleted successfully!,Хаяг амжилттай устгагдлаа!
Address has been saved successfully!,Хаяг амжилттай хадгалагдлаа!
Address has been updated successfully!,Хаяг амжилттай шинэчлэгдлээ!
Address is required,Хаяг шаардлагатай
Adds target=_blank rel=noopener noreferrer.,target=_blank rel=noopener noreferrer нэмнэ.
All items fulfilled,Бүх зүйл биелэгдсэн
All orders,Бүх захиалга
All your past orders,Таны бүх өмнөх захиалгууд
Allow multiple,Олныг зөвшөөрөх
An unexpected error occurred. Please try again.,Гэнэтийн алдаа гарлаа. Дахин оролдоно уу.
Apply Filters,Шүүлтүүр хэрэглэх
Are you sure you want to mark the selected orders as shipped?,Сонгосон захиалгуудыг хүргэгдсэн гэж тэмдэглэхдээ итгэлтэй байна уу?
Are you sure?,Та итгэлтэй байна уу?
Attribute Group,Шинж чанарын бүлэг
Attribute code is used in API and must be unique,Шинж чанарын код нь API-д ашиглагддаг бөгөөд давтагдашгүй байх ёстой
Attribute options,Шинж чанарын сонголтууд
Attributes,Шинж чанарууд
Available shipping methods will appear once you provide your address details,Та хаягийнхаа дэлгэрэнгүйг оруулмагц боломжтой хүргэлтийн аргууд гарч ирнэ
Best Sellers,Шилдэг борлуулалттай
Best customers,Шилдэг үйлчлүүлэгчид
Billing address,Төлбөрийн хаяг
Black,Хар
Buy qty,Худалдан авах тоо
Buy qty is required,Худалдан авах тоо шаардлагатай
Can not process payment. Please try again later.,Төлбөрийг боловсруулж чадсангүй. Дараа дахин оролдоно уу.
Can't be undone,Буцаах боломжгүй
Cancel,Цуцлах
Cancel Order,Захиалга цуцлах
Cancel shipment,Хүргэлт цуцлах
Cancel this shipment?,Энэ хүргэлтийг цуцлах уу?
Canceled,Цуцлагдсан
Cancelled,Цуцлагдсан
Cannot add billing address: cart not initialized,Төлбөрийн хаяг нэмж чадсангүй: сагс эхлүүлэгдээгүй байна
Cannot add contact info: cart not initialized,Холбоо барих мэдээлэл нэмж чадсангүй: сагс эхлүүлэгдээгүй байна
Cannot add payment method: cart not initialized,Төлбөрийн арга нэмж чадсангүй: сагс эхлүүлэгдээгүй байна
Cannot add shipping address: cart not initialized,Хүргэлтийн хаяг нэмж чадсангүй: сагс эхлүүлэгдээгүй байна
Cannot add shipping method: cart not initialized,Хүргэлтийн арга нэмж чадсангүй: сагс эхлүүлэгдээгүй байна
Cannot add shipping method: providerCode is required,Хүргэлтийн арга нэмж чадсангүй: providerCode шаардлагатай
Cannot apply coupon: cart not initialized,Купон хэрэглэж чадсангүй: сагс эхлүүлэгдээгүй байна
Cannot remove coupon: cart not initialized,Купон хасаж чадсангүй: сагс эхлүүлэгдээгүй байна
Carrier,Тээвэрлэгч
Carrier is required,Тээвэрлэгч шаардлагатай
Cart ID is required to checkout,Төлбөр төлөхөд сагсны ID шаардлагатай
Cart is not initialized,Сагс эхлүүлэгдээгүй байна
Catalog,Каталог
Categories,Ангилалууд
Category,Ангилал
Charcoal,Нүүрсэн саарал
Checkout success,Төлбөр амжилттай
Choose Product SKU,Бүтээгдэхүүний SKU сонгох
Choose SKU,SKU сонгох
City is required,Хот шаардлагатай
Clear All,Бүгдийг арилгах
Clear Filters,Шүүлтүүр арилгах
Clear all,Бүгдийг арилгах
Clear categories,Ангилал арилгах
Close fullscreen view,Бүтэн дэлгэцийн харагдацыг хаах
Code,Код
Collections,Цуглуулгууд
Comma-separated; renders the value as a dropdown.,Таслалаар тусгаарласан; утгыг унждаг цэс хэлбэрээр харуулна.
Completed,Гүйцэтгэгдсэн
Configurable,Тохируулж болох
Configure tax classes and tax rates,Татварын ангилал болон татварын хувь хэмжээг тохируулах
Confirm,Баталгаажуулах
Contact for pricing,Үнийн талаар холбогдоно уу
Conveniently pay with cash at your doorstep when your order is delivered.,Захиалга хүргэгдэхэд хаалган дээрээ бэлэн мөнгөөр тав тухтай төлнө.
Coupon applied successfully!,Купон амжилттай хэрэглэгдлээ!
Coupon code is required,Купоны код шаардлагатай
Coupon does not match,Купон тохирохгүй байна
Coupon removed successfully!,Купон амжилттай хасагдлаа!
Cream,Цайвар шар
Create,Үүсгэх
Create a new attribute,Шинэ шинж чанар үүсгэх
Create a new group,Шинэ бүлэг үүсгэх
Create a new package,Шинэ багц үүсгэх
Create shipment,Хүргэлт үүсгэх
Created,Үүсгэгдсэн
Custom URL,Захиалгат URL
Custom field created,Захиалгат талбар үүсгэгдлээ
Custom field updated,Захиалгат талбар шинэчлэгдлээ
Custom fields,Захиалгат талбарууд
Custom fields (JSON),Захиалгат талбарууд (JSON)
Custom fields saved,Захиалгат талбарууд хадгалагдлаа
Customer Information,Үйлчлүүлэгчийн мэдээлэл
Customer does not have any order yet.,Үйлчлүүлэгч одоогоор ямар ч захиалгагүй байна.
Customer notes,Үйлчлүүлэгчийн тэмдэглэл
Daily,Өдөр бүр
Date and time must be after ${min},Огноо болон цаг нь ${min}-ээс хойш байх ёстой
Date and time must be before ${max},Огноо болон цаг ${max}-аас өмнө байх ёстой
Date must be after ${min},Огноо ${min}-аас хойш байх ёстой
Date must be before ${max},Огноо ${max}-аас өмнө байх ёстой
Delete ${count} coupons,${count} купоныг устгах
Delete ${count} products,${count} бүтээгдэхүүнийг устгах
Delete address API not available,Хаяг устгах API боломжгүй байна
Delivered,Хүргэгдсэн
Description,Тайлбар
Disable,Идэвхгүй болгох
Disable ${count} coupons,${count} купоныг идэвхгүй болгох
Disable ${count} customers,${count} харилцагчийг идэвхгүй болгох
Disable ${count} products,${count} бүтээгдэхүүнийг идэвхгүй болгох
Disabled,Идэвхгүй
Discount percent,Хөнгөлөлтийн хувь
Discount percent is required,Хөнгөлөлтийн хувь шаардлагатай
Display on Frontend?,Дэлгүүрт харуулах уу?
Displays the mobile sidebar.,Гар утасны хажуугийн самбарыг харуулна.
Done,Дууссан
Drag to reorder,Чирж дараалал өөрчлөх
Duplicate,Хувилах
Edit custom field,Тусгай талбар засах
Edit field settings,Талбарын тохиргоог засах
Edit package,Багц засах
Edit tracking info,Хүргэлтийн мэдээлэл засах
Editing ${name},${name}-г засаж байна
Email a shipment confirmation,Хүргэлтийн баталгаажуулалтыг имэйлээр илгээх
Email a shipment confirmation with tracking details,Хүргэлтийн дугаар бүхий баталгаажуулалтыг имэйлээр илгээх
Email is required,Имэйл шаардлагатай
