Welcome Back!,С возвращением!
Please sign in to your account ,"Пожалуйста, войдите в свой аккаунт "
Join us for exclusive offers and order tracking,"Присоединяйтесь к нам, чтобы получать эксклюзивные предложения и отслеживать заказы"
Sign Up,Регистрация
Signing Up...,Регистрация...
Signing In...,Вход...
Recent Orders,Недавние заказы
Address Book,Адресная книга
You have no addresses saved,У вас нет сохранённых адресов
Add new address,Добавить новый адрес
Address 2,Адрес 2
Set as default,Сделать основным
Save,Сохранить
Edit,Изменить
Delete,Удалить
Edit Address,Изменить адрес
Product Filters,Фильтры товаров
No products found,Товары не найдены
${count} Products,${count} товаров
Contact Information,Контактная информация
Your Cart,Ваша корзина
Your cart is empty,Ваша корзина пуста
Subtotal,Промежуточный итог
View Cart (${totalQty}),Посмотреть корзину (${totalQty})
Shopping Cart,Корзина покупок
Logged in as,Вы вошли как
Payment Information,Платёжная информация
Same as shipping address,Совпадает с адресом доставки
Use a different billing address,Использовать другой платёжный адрес
Pick a payment method,Выберите способ оплаты
Select a payment method,Выберите способ оплаты
Complete Order,Оформить заказ
Add to Cart,В корзину
${count} orders,${count} заказов
${field} is required,${field} обязательно для заполнения
${pct}% of orders cancelled,${pct}% заказов отменено
${pct}% of orders completed,${pct}% заказов выполнено
${qty} sold,продано ${qty}
${total} lifetime sale,${total} продаж за всё время
(Guest Checkout),(Гостевое оформление)
(list),(список)
(optional),(необязательно)
A coupon is already applied,Купон уже применён
A group needs at least one sub-field,Группа должна содержать хотя бы одно подполе
A list of best selling products,Список самых продаваемых товаров
A list of customers who have placed the most orders,"Список клиентов, оформивших больше всего заказов"
A regular expression the value must match.,"Регулярное выражение, которому должно соответствовать значение."
Accepted values,Допустимые значения
Active,Активно
Active Filters,Активные фильтры
Add address API not available,API добавления адреса недоступно
Add custom field,Добавить пользовательское поле
Add field,Добавить поле
Add item,Добавить элемент
Add option,Добавить вариант
Add product,Добавить товар
Add some items to get started,"Добавьте товары, чтобы начать"
Add sub-field,Добавить подполе
Adding...,Добавление...
Address has been deleted successfully!,Адрес успешно удалён!
Address has been saved successfully!,Адрес успешно сохранён!
Address has been updated successfully!,Адрес успешно обновлён!
Adds target=_blank rel=noopener noreferrer.,Добавляет target=_blank rel=noopener noreferrer.
All items fulfilled,Все позиции выполнены
All orders,Все заказы
All your past orders,Все ваши прошлые заказы
Allow multiple,Разрешить несколько
An unexpected error occurred. Please try again.,"Произошла непредвиденная ошибка. Пожалуйста, попробуйте снова."
Apply Filters,Применить фильтры
Are you sure you want to mark the selected orders as shipped?,"Вы уверены, что хотите отметить выбранные заказы как отправленные?"
Are you sure?,Вы уверены?
Attribute Group,Группа атрибутов
Attribute code is used in API and must be unique,Код атрибута используется в API и должен быть уникальным
Attribute options,Варианты атрибута
Attributes,Атрибуты
Available shipping methods will appear once you provide your address details,Доступные способы доставки появятся после ввода данных вашего адреса
Best Sellers,Хиты продаж
Best customers,Лучшие клиенты
Billing address,Платёжный адрес
Black,Чёрный
Buy qty,Кол-во для покупки
Buy qty is required,Кол-во для покупки обязательно
Can not process payment. Please try again later.,"Не удалось обработать платёж. Пожалуйста, попробуйте позже."
Can't be undone,Невозможно отменить
Cancel,Отмена
Cancel Order,Отменить заказ
Cancel shipment,Отменить отправление
Cancel this shipment?,Отменить это отправление?
Canceled,Отменено
Cancelled,Отменено
Cannot add billing address: cart not initialized,Невозможно добавить платёжный адрес: корзина не инициализирована
Cannot add contact info: cart not initialized,Невозможно добавить контактные данные: корзина не инициализирована
Cannot add payment method: cart not initialized,Невозможно добавить способ оплаты: корзина не инициализирована
Cannot add shipping address: cart not initialized,Невозможно добавить адрес доставки: корзина не инициализирована
Cannot add shipping method: cart not initialized,Невозможно добавить способ доставки: корзина не инициализирована
Cannot add shipping method: providerCode is required,Невозможно добавить способ доставки: требуется providerCode
Cannot apply coupon: cart not initialized,Невозможно применить купон: корзина не инициализирована
Cannot remove coupon: cart not initialized,Невозможно удалить купон: корзина не инициализирована
Carrier,Перевозчик
Carrier is required,Перевозчик обязателен
Cart ID is required to checkout,Для оформления заказа требуется ID корзины
Cart is not initialized,Корзина не инициализирована
Catalog,Каталог
Categories,Категории
Charcoal,Угольный
Checkout success,Оформление заказа выполнено
Choose Product SKU,Выберите SKU товара
Choose SKU,Выберите SKU
Clear All,Очистить всё
Clear Filters,Сбросить фильтры
Clear all,Очистить всё
Clear categories,Очистить категории
Close fullscreen view,Закрыть полноэкранный режим
Code,Код
Collections,Коллекции
Comma-separated; renders the value as a dropdown.,Через запятую; отображает значение в виде раскрывающегося списка.
Completed,Выполнено
Configurable,Конфигурируемый
Configure tax classes and tax rates,Настройте налоговые классы и налоговые ставки
Confirm,Подтвердить
Contact for pricing,Свяжитесь для уточнения цены
Conveniently pay with cash at your doorstep when your order is delivered.,Удобно оплатить наличными у двери при доставке заказа.
Coupon applied successfully!,Купон успешно применён!
Coupon code is required,Код купона обязателен
Coupon does not match,Купон не подходит
Coupon removed successfully!,Купон успешно удалён!
Cream,Кремовый
Create,Создать
Create a new attribute,Создать новый атрибут
Create a new group,Создать новую группу
Create a new package,Создать новую упаковку
Create shipment,Создать отправление
Created,Создано
Custom URL,Произвольный URL
Custom field created,Пользовательское поле создано
Custom field updated,Пользовательское поле обновлено
Custom fields,Пользовательские поля
Custom fields (JSON),Пользовательские поля (JSON)
Custom fields saved,Пользовательские поля сохранены
Customer Information,Информация о клиенте
Customer does not have any order yet.,У клиента пока нет ни одного заказа.
Customer notes,Заметки клиента
Daily,Ежедневно
Date and time must be after ${min},Дата и время должны быть позже ${min}
Date and time must be before ${max},Дата и время должны быть раньше ${max}
Date must be after ${min},Дата должна быть позже ${min}
Date must be before ${max},Дата должна быть раньше ${max}
Delete ${count} coupons,Удалить ${count} купонов
Delete ${count} products,Удалить ${count} товаров
Delete address API not available,API удаления адреса недоступно
Delivered,Доставлено
Description,Описание
Disable,Отключить
Disable ${count} coupons,Отключить ${count} купонов
Disable ${count} customers,Отключить ${count} клиентов
Disable ${count} products,Отключить ${count} товаров
Disabled,Отключено
Discount percent,Процент скидки
Discount percent is required,Процент скидки обязателен
Display on Frontend?,Показывать на витрине?
Displays the mobile sidebar.,Отображает мобильную боковую панель.
Done,Готово
Drag to reorder,Перетащите для изменения порядка
Duplicate,Дублировать
Edit custom field,Изменить пользовательское поле
Edit field settings,Изменить настройки поля
Edit package,Изменить упаковку
Edit tracking info,Изменить данные отслеживания
Editing ${name},Редактирование ${name}
Email a shipment confirmation,Отправить подтверждение отгрузки по email
Email a shipment confirmation with tracking details,Отправить подтверждение отгрузки с данными отслеживания по email
Email is required,Email обязателен
Enable,Включить
Enable ${count} coupons,Включить ${count} купонов
Enable ${count} customers,Включить ${count} клиентов
Enable ${count} products,Включить ${count} товаров
Enabled,Включено
Enter attribute code,Введите код атрибута
Enter attribute name,Введите имя атрибута
Enter text,Введите текст
Enter value for ${attribute},Введите значение для ${attribute}
Enter your email,Введите ваш email
Enter your new password,Введите новый пароль
Enter your password,Введите ваш пароль
Error,Ошибка
Failed to add address,Не удалось добавить адрес
Failed to add billing address,Не удалось добавить адрес оплаты
Failed to add billing address.,Не удалось добавить адрес оплаты.
Failed to add contact info,Не удалось добавить контактную информацию
Failed to add contact info.,Не удалось добавить контактную информацию.
Failed to add item to cart,Не удалось добавить товар в корзину
Failed to add payment method,Не удалось добавить способ оплаты
Failed to add payment method.,Не удалось добавить способ оплаты.
Failed to add product to cart,Не удалось добавить товар в корзину
Failed to add shipping address,Не удалось добавить адрес доставки
Failed to add shipping address.,Не удалось добавить адрес доставки.
Failed to add shipping method,Не удалось добавить способ доставки
