"Blog category","Categoría de blog"
"Blog post","Entrada de blog"
"Blog tag","Etiqueta de blog"
"Build in page builder","Crear en el generador de páginas"
"Change edit scope","Cambiar el ámbito de edición"
"Control when this landing page is published. Leave empty for no limit.","Controla cuándo se publica esta página de destino. Deja vacío para sin límite."
"Create a new landing page","Crear una nueva página de destino"
"Current link: ${url}","Enlace actual: ${url}"
"Delete ${count} landing pages","Eliminar ${count} páginas de destino"
"Disable ${count} landing pages","Desactivar ${count} páginas de destino"
"Editing","Editando"
"Enable ${count} landing pages","Activar ${count} páginas de destino"
"Enable this landing page to make it visible on the storefront.","Activa esta página de destino para hacerla visible en la tienda."
"Enter landing page name","Introduce el nombre de la página de destino"
"Landing Pages","Páginas de destino"
"Landing page","Página de destino"
"Landing page created successfully!","¡Página de destino creada correctamente!"
"Loading pages…","Cargando páginas…"
"New Landing Page","Nueva página de destino"
"No ${kind}s match ""${query}"".","No hay ${kind}s que coincidan con ""${query}""."
"No ${kind}s yet.","Aún no hay ${kind}s."
"No categories match ""${query}"".","No hay categorías que coincidan con ""${query}""."
"No categories yet.","Aún no hay categorías."
"No collections match ""${query}"".","No hay colecciones que coincidan con ""${query}""."
"No collections yet.","Aún no hay colecciones."
"No landing pages match ""${query}"".","No hay páginas de destino que coincidan con ""${query}""."
"No landing pages yet.","Aún no hay páginas de destino."
"No pages found.","No se encontraron páginas."
"No pages match ""${query}"".","No hay páginas que coincidan con ""${query}""."
"No pages yet.","Aún no hay páginas."
"No products match ""${query}"".","No hay productos que coincidan con ""${query}""."
"No products yet.","Aún no hay productos."
Paste a URL or a relative path starting with ,Pega una URL o una ruta relativa que empiece por 
"Pick a CMS page to link to.","Elige una página del CMS para enlazar."
"Pick a blog ${kind} to link to.","Elige un ${kind} de blog para enlazar."
"Pick a category to link to.","Elige una categoría para enlazar."
"Pick a collection.","Elige una colección."
"Pick a landing page to link to.","Elige una página de destino para enlazar."
"Pick a product to link to.","Elige un producto para enlazar."
"Provide the SEO details for the landing page.","Proporciona los detalles de SEO para la página de destino."
