"Your order is confirmed","Vaša porudžbina je potvrđena"
"Your order #${number} is confirmed.","Vaša porudžbina #${number} je potvrđena."
"Order #${number}","Porudžbina #${number}"
"Shipping to","Dostava na"
"View your order","Pogledajte porudžbinu"
"Start shopping","Započnite kupovinu"
"Your order is on the way","Vaša porudžbina je na putu"
"Your order #${number} is on the way.","Vaša porudžbina #${number} je na putu."
"Items in this shipment","Artikli u ovoj pošiljci"
"We'll send tracking details as soon as the carrier scans the package.","Poslaćemo vam podatke za praćenje čim kurir skenira paket."
"Tracking","Praćenje"
"Track shipment","Pratite pošiljku"
"Your order was delivered","Vaša porudžbina je isporučena"
"Your order #${number} has been delivered.","Vaša porudžbina #${number} je isporučena."
"Delivered items","Isporučeni artikli"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Nadamo se da je sve onako kako ste očekivali. Ako nešto nije u redu, samo odgovorite na ovaj imejl."
"Your order has been refunded","Novac za vašu porudžbinu je vraćen"
"A refund has been issued","Povraćaj novca je izvršen"
"A refund has been issued for your order","Izvršen je povraćaj novca za vašu porudžbinu"
"A refund of ${amount} was issued for order #${number}.","Izvršen je povraćaj od ${amount} za porudžbinu #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Vratili smo ${amount} na vaš originalni način plaćanja. U zavisnosti od banke, može proći nekoliko radnih dana dok se ne pojavi na izvodu."
"Your order has been canceled","Vaša porudžbina je otkazana"
"Order #${number} has been canceled.","Porudžbina #${number} je otkazana."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Ova porudžbina je otkazana. Ako je plaćanje bilo autorizovano, oslobođeno je i nećete biti naplaćeni."
"Reason: ${reason}.","Razlog: ${reason}."
"Order total","Ukupno za porudžbinu"
"Order number","Broj porudžbine"
"Welcome, ${name}.","Dobro došli, ${name}."
"Welcome to ${store}.","Dobro došli u ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Hvala što ste kreirali nalog u ${store}. Vaša korpa, porudžbine i sačuvane adrese sada su na jednom mestu."
"Reset your ${store} password.","Resetujte lozinku za svoj ${store} nalog."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Primili smo zahtev za resetovanje lozinke za vaš ${store} nalog. Izaberite novu ispod."
"If you didn't request this, you can safely ignore this email — your password won't change.","Ako niste vi to zatražili, slobodno zanemarite ovaj imejl — vaša lozinka se neće promeniti."
"Visit store","Posetite prodavnicu"
"Help","Pomoć"
