Welcome Back!,Willkommen zurück!
Please sign in to your account ,Bitte melden Sie sich bei Ihrem Konto an 
Join us for exclusive offers and order tracking,Werden Sie Mitglied für exklusive Angebote und Bestellverfolgung
Sign Up,Registrieren
Signing Up...,Registrierung läuft...
Signing In...,Anmeldung läuft...
Recent Orders,Letzte Bestellungen
Address Book,Adressbuch
You have no addresses saved,Sie haben keine Adressen gespeichert
Add new address,Neue Adresse hinzufügen
Address 2,Adresszusatz
Set as default,Als Standard festlegen
Save,Speichern
Edit,Bearbeiten
Delete,Löschen
Edit Address,Adresse bearbeiten
Product Filters,Produktfilter
No products found,Keine Produkte gefunden
${count} Products,${count} Produkte
Default,Standard
Name,Name
Contact Information,Kontaktinformationen
Your Cart,Ihr Warenkorb
Your cart is empty,Ihr Warenkorb ist leer
Subtotal,Zwischensumme
View Cart (${totalQty}),Warenkorb ansehen (${totalQty})
Shopping Cart,Warenkorb
Logged in as,Angemeldet als
Payment Information,Zahlungsinformationen
Same as shipping address,Identisch mit Lieferadresse
Use a different billing address,Abweichende Rechnungsadresse verwenden
Pick a payment method,Zahlungsmethode wählen
Select a payment method,Zahlungsmethode auswählen
Complete Order,Bestellung abschließen
Add to Cart,In den Warenkorb
Search,Suche
${count} orders,${count} Bestellungen
${field} is required,${field} ist erforderlich
${pct}% of orders cancelled,${pct}% der Bestellungen storniert
${pct}% of orders completed,${pct}% der Bestellungen abgeschlossen
${qty} sold,${qty} verkauft
${total} lifetime sale,${total} Gesamtumsatz
(Guest Checkout),(Gastbestellung)
(list),(Liste)
(optional),(optional)
A coupon is already applied,Es wurde bereits ein Gutschein angewendet
A group needs at least one sub-field,Eine Gruppe benötigt mindestens ein Unterfeld
A list of best selling products,Eine Liste der meistverkauften Produkte
A list of customers who have placed the most orders,Eine Liste der Kunden mit den meisten Bestellungen
A regular expression the value must match.,"Ein regulärer Ausdruck, dem der Wert entsprechen muss."
Accepted values,Akzeptierte Werte
Active,Aktiv
Active Filters,Aktive Filter
Add address API not available,API zum Hinzufügen von Adressen nicht verfügbar
Add custom field,Benutzerdefiniertes Feld hinzufügen
Add field,Feld hinzufügen
Add item,Artikel hinzufügen
Add option,Option hinzufügen
Add product,Produkt hinzufügen
Add some items to get started,"Fügen Sie Artikel hinzu, um zu beginnen"
Add sub-field,Unterfeld hinzufügen
Adding...,Wird hinzugefügt...
Address has been deleted successfully!,Adresse wurde erfolgreich gelöscht!
Address has been saved successfully!,Adresse wurde erfolgreich gespeichert!
Address has been updated successfully!,Adresse wurde erfolgreich aktualisiert!
Adds target=_blank rel=noopener noreferrer.,Fügt target=_blank rel=noopener noreferrer hinzu.
All items fulfilled,Alle Artikel abgewickelt
All orders,Alle Bestellungen
All your past orders,Alle Ihre bisherigen Bestellungen
Allow multiple,Mehrere zulassen
