"Add a store email","Дэлгүүрийн имэйл нэмэх"
"Consent","Зөвшөөрөл"
"Consent text","Зөвшөөрлийн текст"
"Contact messages","Холбоо барих мессежүүд"
"Customer","Худалдан авагч"
"Delete ${count} messages","${count} мессеж устгах"
"Fields","Талбарууд"
"From","Илгээгч"
"How can we help?","Бид танд хэрхэн туслах вэ?"
"I agree that my details may be used to respond to my enquiry.","Миний мэдээллийг хүсэлтэд минь хариулахад ашиглахыг зөвшөөрч байна."
"Inbox","Ирсэн"
"Mark read","Уншсан гэж тэмдэглэх"
"Mark unread","Уншаагүй гэж тэмдэглэх"
"Message","Мессеж"
"Message is required","Мессеж оруулах шаардлагатай"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Мессежүүд ${email} рүү илгээгдэж, CMS → Холбоо барих мессежүүд хэсэгт хадгалагдана."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Мессежүүд хадгалагдаж, CMS → Холбоо барих мессежүүд хэсэгт харагдсаар байх боловч мэдэгдлийн имэйл илгээгдэхгүй."
"New contact form message","Холбоо барих маягтын шинэ мессеж"
"New contact form message from ${name}","${name}-с ирсэн холбоо барих маягтын шинэ мессеж"
"New message from ${name} via your contact form.","Таны холбоо барих маягтаар ${name}-с ирсэн шинэ мессеж."
"Not emailed","Имэйл илгээгээгүй"
"Optional supporting copy.","Нэмэлт тайлбар текст."
"Please accept before sending","Илгээхийн өмнө зөвшөөрнө үү"
"Read","Уншсан"
"Reply directly to this email to respond to ${name}.","${name}-д хариулахын тулд энэ имэйлд шууд хариу бичнэ үү."
"Send message","Мессеж илгээх"
"Show consent checkbox","Зөвшөөрлийн нүд харуулах"
"Show phone field","Утасны талбар харуулах"
"Show subject field","Сэдвийн талбар харуулах"
"Shown after the message is sent.","Мессеж илгээсний дараа харагдана."
"Someone sent a message through the contact form on your store.","Хэн нэгэн таны дэлгүүрийн холбоо барих маягтаар мессеж илгээлээ."
"Store email is not set","Дэлгүүрийн имэйл тохируулаагүй байна"
"Subheading","Дэд гарчиг"
"Subject","Сэдэв"
"Submit","Илгээх"
"Success message","Амжилтын мессеж"
"Thanks! Your message has been sent.","Баярлалаа! Таны мессеж илгээгдлээ."
"There is no message to display","Харуулах мессеж алга"
"Titles","Гарчгууд"
"Unread","Уншаагүй"
"View customer account","Худалдан авагчийн бүртгэл харах"
"What is this about?","Юуны тухай вэ?"
"Your name","Таны нэр"
"Your phone number","Таны утасны дугаар"
"e.g. Get in touch","жишээ нь: Бидэнтэй холбогдоно уу"
"e.g. I agree that my details may be used to respond to my enquiry.","жишээ нь: Миний мэдээллийг хүсэлтэд минь хариулахад ашиглахыг зөвшөөрч байна."
"e.g. Send message","жишээ нь: Мессеж илгээх"
"e.g. Thanks! Your message has been sent.","жишээ нь: Баярлалаа! Таны мессеж илгээгдлээ."
"e.g. We usually reply within one business day.","жишээ нь: Бид ихэвчлэн нэг ажлын өдрийн дотор хариу өгдөг."
"you@example.com","you@example.com"
