"Add a store email","Adicionar e-mail da loja"
"Consent","Consentimento"
"Consent text","Texto de consentimento"
"Contact messages","Mensagens de contacto"
"Customer","Cliente"
"Delete ${count} messages","Eliminar ${count} mensagens"
"Fields","Campos"
"From","De"
"How can we help?","Como podemos ajudar?"
"I agree that my details may be used to respond to my enquiry.","Concordo que os meus dados sejam utilizados para responder ao meu pedido."
"Inbox","Caixa de entrada"
"Mark read","Marcar como lida"
"Mark unread","Marcar como não lida"
"Message","Mensagem"
"Message is required","A mensagem é obrigatória"
"Messages are sent to ${email} and saved under CMS → Contact messages.","As mensagens são enviadas para ${email} e guardadas em CMS → Mensagens de contacto."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","As mensagens continuarão a ser guardadas e visíveis em CMS → Mensagens de contacto, mas não será enviado qualquer e-mail de notificação."
"New contact form message","Nova mensagem do formulário de contacto"
"New contact form message from ${name}","Nova mensagem do formulário de contacto de ${name}"
"New message from ${name} via your contact form.","Nova mensagem de ${name} através do seu formulário de contacto."
"Not emailed","E-mail não enviado"
"Optional supporting copy.","Texto de apoio opcional."
"Please accept before sending","Aceite antes de enviar"
"Read","Lida"
"Reply directly to this email to respond to ${name}.","Responda diretamente a este e-mail para contactar ${name}."
"Send message","Enviar mensagem"
"Show consent checkbox","Mostrar caixa de consentimento"
"Show phone field","Mostrar campo de telefone"
"Show subject field","Mostrar campo de assunto"
"Shown after the message is sent.","Apresentado depois de a mensagem ser enviada."
"Someone sent a message through the contact form on your store.","Alguém enviou uma mensagem através do formulário de contacto da sua loja."
"Store email is not set","O e-mail da loja não está definido"
"Subheading","Subtítulo"
"Subject","Assunto"
"Submit","Enviar"
"Success message","Mensagem de sucesso"
"Thanks! Your message has been sent.","Obrigado! A sua mensagem foi enviada."
"There is no message to display","Não há nenhuma mensagem para mostrar"
"Titles","Títulos"
"Unread","Não lida"
"View customer account","Ver conta de cliente"
"What is this about?","Sobre o que se trata?"
"Your name","O seu nome"
"Your phone number","O seu número de telefone"
"e.g. Get in touch","ex. Fale connosco"
"e.g. I agree that my details may be used to respond to my enquiry.","ex. Concordo que os meus dados sejam utilizados para responder ao meu pedido."
"e.g. Send message","ex. Enviar mensagem"
"e.g. Thanks! Your message has been sent.","ex. Obrigado! A sua mensagem foi enviada."
"e.g. We usually reply within one business day.","ex. Normalmente respondemos no prazo de um dia útil."
"you@example.com","voce@exemplo.com"
