Total, Totalt
Order, Beställning
Sku, SKU
Continue to shipping, Fortsätt till leverans
Continue shopping, Fortsätt handla
Continue Shopping, Fortsätt handla
CONTINUE SHOPPING, Fortsätt handla
Shopping cart, Varukorg
Product, Produkt
Price, Pris
Quantity, Antal
Remove, Ta bort
Qty, Antal
Sub total, Delsumma
Discount(${coupon}), Rabatt (${coupon})
Order summary, Orderöversikt
Taxes and shipping calculated at checkout, Skatter och frakt beräknas i kassan
CHECKOUT, Till kassan
Change, Ändra
Payment Method, Betalningsmetod
Shipping Method, Leveransmetod
No payment methods available, Inga betalningsmetoder tillgängliga
Place Order, Slutför beställning
My billing address is same as shipping address, Min fakturaadress är samma som leveransadressen
${count} items, ${count} artiklar
Discount, Rabatt
Shipping, Frakt
No tax, Ingen moms
Tax, Moms
"Sorry, there is no available method for your address", "Tyvärr finns det ingen tillgänglig metod för din adress"
Please enter a shipping address in order to see shipping quotes, Ange en leveransadress för att se fraktalternativ
Continue to payment, Fortsätt till betalning
No payment method available, Ingen betalningsmetod tillgänglig
Ship to, Skicka till
Shipment, Leverans
Thank you ${name}!, Tack ${name}!
Contact information, Kontaktinformation
Order #${orderNumber}, Beställning #${orderNumber}
ADD TO CART, Lägg i varukorg
Please select variant options, Välj alternativ
VIEW CART (${count}), Visa varukorg (${count})
JUST ADDED TO YOUR CART, Lades just till i din varukorg
Promotion code?, Rabattkod?
Enter coupon code, Ange rabattkod
Apply, Använd
Your cart is empty!, Din varukorg är tom!
