Welcome Back!,Bentornato!
Please sign in to your account ,Accedi al tuo account 
Join us for exclusive offers and order tracking,Unisciti a noi per offerte esclusive e il tracciamento degli ordini
Sign Up,Registrati
Signing Up...,Registrazione in corso...
Signing In...,Accesso in corso...
Recent Orders,Ordini recenti
Address Book,Rubrica indirizzi
You have no addresses saved,Non hai indirizzi salvati
Add new address,Aggiungi nuovo indirizzo
Address 2,Indirizzo 2
Set as default,Imposta come predefinito
Save,Salva
Edit,Modifica
Delete,Elimina
Edit Address,Modifica indirizzo
Product Filters,Filtri prodotto
No products found,Nessun prodotto trovato
${count} Products,${count} prodotti
Default,Predefinito
Name,Nome
My billing address is same as shipping address,Il mio indirizzo di fatturazione è uguale all'indirizzo di spedizione
"Sorry, there is no available method for your address","Spiacenti, non è disponibile alcun metodo per il tuo indirizzo"
Contact Information,Informazioni di contatto
Your Cart,Il tuo carrello
Your cart is empty,Il tuo carrello è vuoto
Subtotal,Subtotale
View Cart (${totalQty}),Vedi carrello (${totalQty})
Shopping Cart,Carrello
Logged in as,Connesso come
Payment Information,Informazioni di pagamento
Same as shipping address,Uguale all'indirizzo di spedizione
Use a different billing address,Usa un indirizzo di fatturazione diverso
Pick a payment method,Scegli un metodo di pagamento
Select a payment method,Seleziona un metodo di pagamento
Complete Order,Completa l'ordine
Add to Cart,Aggiungi al carrello
Search,Cerca
${count} orders,${count} ordini
${field} is required,${field} è obbligatorio
${pct}% of orders cancelled,${pct}% degli ordini annullati
${pct}% of orders completed,${pct}% degli ordini completati
${qty} sold,${qty} venduti
${total} lifetime sale,${total} di vendite totali
(Guest Checkout),(Acquisto come ospite)
(list),(elenco)
(optional),(opzionale)
A coupon is already applied,Un coupon è già applicato
A group needs at least one sub-field,Un gruppo richiede almeno un campo secondario
A list of best selling products,Un elenco dei prodotti più venduti
A list of customers who have placed the most orders,Un elenco dei clienti che hanno effettuato più ordini
A regular expression the value must match.,Un'espressione regolare a cui il valore deve corrispondere.
Accepted values,Valori accettati
Active,Attivo
Active Filters,Filtri attivi
Add address API not available,API di aggiunta indirizzo non disponibile
Add custom field,Aggiungi campo personalizzato
Add field,Aggiungi campo
Add item,Aggiungi elemento
Add option,Aggiungi opzione
Add product,Aggiungi prodotto
Add some items to get started,Aggiungi alcuni articoli per iniziare
Add sub-field,Aggiungi campo secondario
Adding...,Aggiunta in corso...
Address has been deleted successfully!,Indirizzo eliminato con successo!
Address has been saved successfully!,Indirizzo salvato con successo!
Address has been updated successfully!,Indirizzo aggiornato con successo!
Address is required,L'indirizzo è obbligatorio
Adds target=_blank rel=noopener noreferrer.,Aggiunge target=_blank rel=noopener noreferrer.
All items fulfilled,Tutti gli articoli evasi
All orders,Tutti gli ordini
All your past orders,Tutti i tuoi ordini passati
Allow multiple,Consenti selezione multipla
An unexpected error occurred. Please try again.,Si è verificato un errore imprevisto. Riprova.
Apply Filters,Applica filtri
Are you sure you want to mark the selected orders as shipped?,Sei sicuro di voler contrassegnare gli ordini selezionati come spediti?
Are you sure?,Sei sicuro?
Attribute Group,Gruppo di attributi
Attribute code is used in API and must be unique,Il codice dell'attributo è usato nelle API e deve essere univoco
Attribute options,Opzioni attributo
Attributes,Attributi
Available shipping methods will appear once you provide your address details,I metodi di spedizione disponibili appariranno dopo aver fornito i dettagli del tuo indirizzo
Best Sellers,Più venduti
Best customers,Migliori clienti
Billing address,Indirizzo di fatturazione
Black,Nero
Buy qty,Quantità da acquistare
Buy qty is required,La quantità da acquistare è obbligatoria
Can not process payment. Please try again later.,Impossibile elaborare il pagamento. Riprova più tardi.
Can't be undone,Non può essere annullato
Cancel,Annulla
Cancel Order,Annulla ordine
Cancel shipment,Annulla spedizione
Cancel this shipment?,Annullare questa spedizione?
Canceled,Annullato
Cancelled,Annullato
Cannot add billing address: cart not initialized,Impossibile aggiungere l'indirizzo di fatturazione: carrello non inizializzato
Cannot add contact info: cart not initialized,Impossibile aggiungere le informazioni di contatto: carrello non inizializzato
Cannot add payment method: cart not initialized,Impossibile aggiungere il metodo di pagamento: carrello non inizializzato
Cannot add shipping address: cart not initialized,Impossibile aggiungere l'indirizzo di spedizione: carrello non inizializzato
Cannot add shipping method: cart not initialized,Impossibile aggiungere il metodo di spedizione: carrello non inizializzato
