"Add a store email","Указать email магазина"
"Consent","Согласие"
"Consent text","Текст согласия"
"Contact messages","Сообщения с формы обратной связи"
"Customer","Клиент"
"Delete ${count} messages","Удалить сообщений: ${count}"
"Fields","Поля"
"From","От"
"How can we help?","Чем мы можем помочь?"
"I agree that my details may be used to respond to my enquiry.","Я согласен, что мои данные могут быть использованы для ответа на мой запрос."
"Inbox","Входящие"
"Mark read","Отметить как прочитанное"
"Mark unread","Отметить как непрочитанное"
"Message","Сообщение"
"Message is required","Сообщение обязательно"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Сообщения отправляются на ${email} и сохраняются в CMS → Сообщения с формы обратной связи."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Сообщения по-прежнему будут сохраняться и отображаться в CMS → Сообщения с формы обратной связи, но уведомление по email отправлено не будет."
"New contact form message","Новое сообщение из формы обратной связи"
"New contact form message from ${name}","Новое сообщение из формы обратной связи от ${name}"
"New message from ${name} via your contact form.","Новое сообщение от ${name} через вашу форму обратной связи."
"Not emailed","Письмо не отправлено"
"Optional supporting copy.","Необязательный поясняющий текст."
"Please accept before sending","Подтвердите согласие перед отправкой"
"Read","Прочитано"
"Reply directly to this email to respond to ${name}.","Ответьте прямо на это письмо, чтобы связаться с ${name}."
"Send message","Отправить сообщение"
"Show consent checkbox","Показывать флажок согласия"
"Show phone field","Показывать поле телефона"
"Show subject field","Показывать поле темы"
"Shown after the message is sent.","Показывается после отправки сообщения."
"Someone sent a message through the contact form on your store.","Кто-то отправил сообщение через форму обратной связи вашего магазина."
"Store email is not set","Email магазина не указан"
"Subheading","Подзаголовок"
"Subject","Тема"
"Submit","Отправка"
"Success message","Сообщение об успехе"
"Thanks! Your message has been sent.","Спасибо! Ваше сообщение отправлено."
"There is no message to display","Нет сообщений для отображения"
"Titles","Заголовки"
"Unread","Непрочитано"
"View customer account","Открыть аккаунт клиента"
"What is this about?","О чём ваш вопрос?"
"Your name","Ваше имя"
"Your phone number","Ваш номер телефона"
"e.g. Get in touch","напр. Свяжитесь с нами"
"e.g. I agree that my details may be used to respond to my enquiry.","напр. Я согласен, что мои данные могут быть использованы для ответа на мой запрос."
"e.g. Send message","напр. Отправить сообщение"
"e.g. Thanks! Your message has been sent.","напр. Спасибо! Ваше сообщение отправлено."
"e.g. We usually reply within one business day.","напр. Обычно мы отвечаем в течение одного рабочего дня."
"you@example.com","you@example.com"
