"Blog category","Блогийн ангилал"
"Blog post","Блогийн нийтлэл"
"Blog tag","Блогийн шошго"
"Build in page builder","Хуудас бүтээгчид үүсгэх"
"Change edit scope","Засварын хүрээг өөрчлөх"
"Control when this landing page is published. Leave empty for no limit.","Энэ буух хуудсыг хэзээ нийтлэхийг удирдана. Хязгааргүй бол хоосон орхино уу."
"Create a new landing page","Шинэ буух хуудас үүсгэх"
"Current link: ${url}","Одоогийн холбоос: ${url}"
"Delete ${count} landing pages","${count} буух хуудас устгах"
"Disable ${count} landing pages","${count} буух хуудсыг идэвхгүй болгох"
"Editing","Засварлаж байна"
"Enable ${count} landing pages","${count} буух хуудсыг идэвхжүүлэх"
"Enable this landing page to make it visible on the storefront.","Энэ буух хуудсыг дэлгүүрт харагдуулахын тулд идэвхжүүлнэ үү."
"Enter landing page name","Буух хуудасны нэрийг оруулна уу"
"Landing Pages","Буух хуудсууд"
"Landing page","Буух хуудас"
"Landing page created successfully!","Буух хуудас амжилттай үүслээ!"
"Loading pages…","Хуудсуудыг ачааллаж байна…"
"New Landing Page","Шинэ буух хуудас"
"No ${kind}s match ""${query}"".","""${query}""-тай тохирох ${kind}s олдсонгүй."
"No ${kind}s yet.","Одоогоор ${kind}s алга байна."
"No categories match ""${query}"".","""${query}""-тай тохирох ангилал олдсонгүй."
"No categories yet.","Одоогоор ангилал алга байна."
"No collections match ""${query}"".","""${query}""-тай тохирох цуглуулга олдсонгүй."
"No collections yet.","Одоогоор цуглуулга алга байна."
"No landing pages match ""${query}"".","""${query}""-тай тохирох буух хуудас олдсонгүй."
"No landing pages yet.","Одоогоор буух хуудас алга байна."
"No pages found.","Хуудас олдсонгүй."
"No pages match ""${query}"".","""${query}""-тай тохирох хуудас олдсонгүй."
"No pages yet.","Одоогоор хуудас алга байна."
"No products match ""${query}"".","""${query}""-тай тохирох бүтээгдэхүүн олдсонгүй."
"No products yet.","Одоогоор бүтээгдэхүүн алга байна."
Paste a URL or a relative path starting with ,URL эсвэл дараахаар эхлэх харьцангуй замыг буулгана уу: 
"Pick a CMS page to link to.","Холбох CMS хуудсыг сонгоно уу."
"Pick a blog ${kind} to link to.","Холбох блогийн ${kind} сонгоно уу."
"Pick a category to link to.","Холбох ангиллыг сонгоно уу."
"Pick a collection.","Цуглуулга сонгоно уу."
"Pick a landing page to link to.","Холбох буух хуудсыг сонгоно уу."
"Pick a product to link to.","Холбох бүтээгдэхүүнийг сонгоно уу."
"Provide the SEO details for the landing page.","Буух хуудасны SEO мэдээллийг оруулна уу."
"Provide the basic information for the landing page.","Буух хуудасны үндсэн мэдээллийг оруулна уу."
"Publish end","Нийтлэлийн төгсгөл"
"Publish start","Нийтлэлийн эхлэл"
"Schedule","Хуваарь"
"The internal name of the landing page shown in the admin panel.","Админ самбарт харагдах буух хуудасны дотоод нэр."
"There is no landing page to display","Харуулах буух хуудас алга байна"
"This is the URL path for the landing page.","Энэ бол буух хуудасны URL зам юм."
"This page","Энэ хуудас"
"Duplicating ${name}","${name}-г хувилж байна"
"The duplicate is created from the last saved version of this product. Your unsaved edits will not be included and will be lost when you leave this page.","Хуулбар нь энэ бүтээгдэхүүний хамгийн сүүлд хадгалагдсан хувилбараас үүснэ. Таны хадгалаагүй өөрчлөлтүүд орохгүй бөгөөд энэ хуудаснаас гарахад устана."
"Continue without saving","Хадгалахгүйгээр үргэлжлүүлэх"
"You are creating a copy of ${name}","Та ${name}-н хуулбарыг үүсгэж байна"
"The copy is created as a standalone product — it does not join the source's variant group. Add it from the copy's edit page if needed.","Хуулбар нь бие даасан бүтээгдэхүүн болж үүснэ — эх бүтээгдэхүүний хувилбарын бүлэгт нэгдэхгүй. Шаардлагатай бол хуулбарын засварлах хуудаснаас нэмнэ үү."
"Nothing is duplicated yet — hit Save to complete the duplication. Leaving this page without saving discards the copy.","Одоогоор юу ч хувилагдаагүй байна — хувилалтыг дуусгахын тулд Хадгалах товчийг дарна уу. Хадгалахгүйгээр энэ хуудаснаас гарвал хуулбар устана."
"Replace homepage with this page","Нүүр хуудсыг энэ хуудсаар солих"
"The homepage will show the widgets of ""${name}"".","Нүүр хуудас ""${name}""-ийн виджетүүдийг харуулна."
"Checking the homepage…","Нүүр хуудсыг шалгаж байна…"
"Something changed since the preview. Please review again.","Урьдчилан харснаас хойш ямар нэг зүйл өөрчлөгдсөн. Дахин шалгана уу."
"These rollout plans change the homepage. Cancel them or wait until they end, then try again.","Эдгээр нэвтрүүлэх төлөвлөгөө нүүр хуудсыг өөрчилдөг. Тэдгээрийг цуцлах эсвэл дуусахыг хүлээгээд дахин оролдоно уу."
"The homepage has page-specific widget placements. Remove them in the page builder first.","Нүүр хуудсанд тодорхой хуудсанд зориулсан виджетийн байршил байна. Эхлээд тэдгээрийг хуудас бүтээгчид устгана уу."
"active","идэвхтэй"
"upcoming","удахгүй"
"The current homepage widgets will be moved to a new disabled landing page named ""${name}"". You can restore it later with this same action.","Нүүр хуудасны одоогийн виджетүүд ""${name}"" нэртэй шинэ идэвхгүй буух хуудас руу шилжинэ. Дараа нь яг энэ үйлдлээр сэргээж болно."
"${count} unpublished homepage change(s) by you will be discarded.","Таны хийсэн нүүр хуудасны нийтлэгдээгүй ${count} өөрчлөлт хаягдана."
"${count} unpublished homepage change(s) by ${admins} other admin(s) will be discarded.","${admins} өөр админы хийсэн нүүр хуудасны нийтлэгдээгүй ${count} өөрчлөлт хаягдана."
"${count} change(s) left over from cancelled rollout plans will be discarded.","Цуцлагдсан нэвтрүүлэх төлөвлөгөөнөөс үлдсэн ${count} өөрчлөлт хаягдана."
"${count} ended rollout plan(s) that changed the homepage will be cancelled so they cannot be re-scheduled.","Нүүр хуудсыг өөрчилж байсан дууссан ${count} нэвтрүүлэх төлөвлөгөө дахин төлөвлөгдөхгүйн тулд цуцлагдана."
"This landing page is not live (unpublished, scheduled, or expired). The homepage does not use its schedule; the copy goes live as soon as you confirm.","Энэ буух хуудас идэвхтэй биш (нийтлэгдээгүй, төлөвлөгдсөн эсвэл хугацаа дууссан). Нүүр хуудас түүний хуваарийг ашигладаггүй; баталгаажуулмагц хуулбар шууд нийтлэгдэнэ."
"This landing page has ${count} unpublished change(s) in the page builder. Only published content is copied. Publish it first if the editor canvas is what you want.","Энэ буух хуудсанд хуудас бүтээгч дээр нийтлэгдээгүй ${count} өөрчлөлт байна. Зөвхөн нийтлэгдсэн агуулга хуулагдана. Засварлагч дээр харагдаж буйг хүсвэл эхлээд нийтлэнэ үү."
"A rollout plan is changing this landing page. Only its published content is copied.","Нэвтрүүлэх төлөвлөгөө энэ буух хуудсыг өөрчилж байна. Зөвхөн нийтлэгдсэн агуулга нь хуулагдана."
"${count} widget(s) shown on every landing page are not part of this page and will not be copied.","Бүх буух хуудсанд харагддаг ${count} виджет энэ хуудасны хэсэг биш тул хуулагдахгүй."
"${count} hidden widget(s) in this page's ""content"" area will not be copied.","Энэ хуудасны ""content"" хэсэг дэх нуугдсан ${count} виджет хуулагдахгүй."
"${count} link(s) in this page point at the page itself. They will still point there from the homepage.","Энэ хуудасны ${count} холбоос хуудас руугаа өөрөө заадаг. Нүүр хуудаснаас ч тэнд заасан хэвээр байна."
"This landing page has no visible widgets in the current theme. The homepage will be empty.","Энэ буух хуудсанд одоогийн загварт харагдах виджет байхгүй. Нүүр хуудас хоосон байна."
"${count} site-wide widget(s) sit in the homepage content area and will appear mixed into the copied layout.","Нүүр хуудасны агуулгын хэсэгт сайт даяарх ${count} виджет байгаа бөгөөд хуулсан бүтэцтэй холилдон харагдана."
"Done. ""${name}"" is still published at its own URL. You now have ${count} homepage backup(s).","Дууслаа. ""${name}"" өөрийн URL дээрээ нийтлэгдсэн хэвээр байна. Танд одоо нүүр хуудасны ${count} нөөц хуулбар байна."
"View backup","Нөөц хуулбарыг харах"
"Open homepage in page builder","Нүүр хуудсыг хуудас бүтээгчид нээх"
Close,Хаах
Cancel,Цуцлах
"Replace homepage","Нүүр хуудсыг солих"
"Could not check the homepage.","Нүүр хуудсыг шалгаж чадсангүй."
"The homepage could not be replaced.","Нүүр хуудсыг сольж чадсангүй."
"Include unpublished pages","Нийтлэгдээгүй хуудсуудыг оруулах"
"This widget is also placed on ${count} specific page(s), managed in the page builder. Those placements are not listed here and are not changed when you save.","Энэ виджет мөн хуудас бүтээгчид удирдагддаг ${count} тодорхой хуудсанд байршсан. Тэдгээр байршил энд харагдахгүй бөгөөд хадгалахад өөрчлөгдөхгүй."
Blog Home,Блогийн нүүр
All posts,Бүх нийтлэл
"Only http(s), mailto, tel or relative links are allowed — this link will be ignored on the storefront.","Зөвхөн http(s), mailto, tel эсвэл харьцангуй холбоос зөвшөөрөгдөнө — энэ холбоосыг дэлгүүр дээр үл тооно."
Link target,Холбоосын очих газар
"Where the ""View all"" link goes — a category, page, or custom URL. Collections have no page of their own, so leave this empty to hide the link.","“Бүгдийг харах” холбоос хаашаа очих вэ — ангилал, хуудас эсвэл өөрийн URL. Цуглуулгад өөрийн хуудас байхгүй тул холбоосыг нуухын тулд хоосон орхино уу."
"Optional. Defaults to ""View all N →"".",Заавал биш. Анхдагч нь “Бүгдийг харах N →”.
Whole country,Бүх улс
${count} selected,${count} сонгогдсон
Select provinces,Аймгуудыг сонгох
Used below 640 px. Falls back to the main image.,640 px-ээс бага өргөнд ашиглагдана. Байхгүй бол үндсэн зургийг ашиглана.
mobile,гар утас
Webhook ID,Webhook ID
"The ID of a webhook created in the PayPal developer dashboard, pointing at /api/paypal/webhook. Enables server-side payment confirmation.","PayPal хөгжүүлэгчийн хяналтын самбарт үүсгэсэн, /api/paypal/webhook руу чиглэсэн webhook-ийн ID. Сервер талын төлбөрийн баталгаажуулалтыг идэвхжүүлнэ."
System Setting,Системийн тохиргоо
File storage and service credentials,Файл хадгалалт болон үйлчилгээний нэвтрэх мэдээлэл
