Login, 登录
Logout, 登出
Email, 邮箱
Password, 密码
Forgot your password?, 忘记密码？
Create an account, 创建账户
Register, 注册
Full Name, 全名
Full name, 全名
SIGN IN, 登录
Order History, 订单历史
Account Details, 账户详情
You have not placed any orders yet, 您还没有下过订单
My Account, 我的账户
Already have an account?, 已经有账户了？
Contact information, 联系信息
City, 城市
Account Information, 账户信息
Address, 地址
Postcode, 邮编
Postcode is required, 邮编是必填项
Telephone is required, 电话是必填项
Telephone, 电话
Full name is required, 全名是必填项
Country is required, 国家是必填项
Country, 国家
Province is required, 省份是必填项
Province, 省份
Billing Address, 账单地址
Shipping Address, 配送地址
Create A New Account, 创建新账户
Contact, 联系
Customer information, 客户信息
