"Your order is confirmed","Tu pedido está confirmado"
"Your order #${number} is confirmed.","Tu pedido #${number} está confirmado."
"Order #${number}","Pedido #${number}"
"Shipping to","Envío a"
"View your order","Ver tu pedido"
"Start shopping","Empezar a comprar"
"Your order is on the way","Tu pedido está en camino"
"Your order #${number} is on the way.","Tu pedido #${number} está en camino."
"Items in this shipment","Artículos de este envío"
"We'll send tracking details as soon as the carrier scans the package.","Te enviaremos los datos de seguimiento en cuanto el transportista escanee el paquete."
"Tracking","Seguimiento"
"Track shipment","Seguir el envío"
"Your order was delivered","Tu pedido fue entregado"
"Your order #${number} has been delivered.","Tu pedido #${number} ha sido entregado."
"Delivered items","Artículos entregados"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Esperamos que sea todo lo que esperabas. Si algo no está bien, solo responde a este correo."
"Your order has been refunded","Tu pedido ha sido reembolsado"
"A refund has been issued","Se ha emitido un reembolso"
"A refund has been issued for your order","Se ha emitido un reembolso para tu pedido"
"A refund of ${amount} was issued for order #${number}.","Se emitió un reembolso de ${amount} para el pedido #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Hemos reembolsado ${amount} a tu método de pago original. Según tu banco, puede tardar unos días hábiles en aparecer en tu estado de cuenta."
"Your order has been canceled","Tu pedido ha sido cancelado"
"Order #${number} has been canceled.","El pedido #${number} ha sido cancelado."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Este pedido ha sido cancelado. Si se autorizó un pago, se ha liberado y no se te cobrará."
"Reason: ${reason}.","Motivo: ${reason}."
"Order total","Total del pedido"
"Order number","Número de pedido"
"Welcome, ${name}.","Bienvenido, ${name}."
"Welcome to ${store}.","Bienvenido a ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Gracias por crear una cuenta en ${store}. Tu carrito, tus pedidos y tus direcciones guardadas están ahora en un solo lugar."
"Reset your ${store} password.","Restablece la contraseña de tu cuenta de ${store}."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Recibimos una solicitud para restablecer la contraseña de tu cuenta de ${store}. Elige una nueva a continuación."
"If you didn't request this, you can safely ignore this email — your password won't change.","Si no solicitaste esto, puedes ignorar este correo con tranquilidad: tu contraseña no cambiará."
"Visit store","Visitar la tienda"
"Help","Ayuda"
