Login,Belépés
Logout,Kilépés
Email,E-Mail
Password,Jelszó
Forgot your password?,Elfelejtetted a jelszavad?
Create an account,Új fiók létrehozása
Register,Regisztráció
Full Name,Teljes Név
Full name,Teljes név
Sign In,LÉPJ BE
Order History,Rendeléseim
Account Details,Fiókadatok
You have not placed any orders yet,Még nincs feladott rendelésed
My Account,Fiókom
Already have an account?,Már van fiókod?
Contact information,Elérhetőségek
City,Város
Account Information,Fiókinformációk
Address,Cím
Postcode,IRSZ
Postcode is required,Az irányítószám megadása kötelező
Telephone is required,A telefonszám megadása kötelező
Telephone,Telefonszám
Country is required,Az ország megadása kötelező
Country,Ország
Province is required,A megye megadása kötelező
Province,Megye
Billing Address,Számlázási cím
Shipping Address,Szállítási cím
Create A New Account,Új fiók létrehozása
Contact,Elérhetőség
Customer information,Ügyfélinformációk
Address book,Címjegyzék
Account information,Fiókinformációk
Recent orders,Legutóbbi rendelések
View all,Összes megtekintése
Sign in,Bejelentkezés
Welcome back — sign in to your account.,Üdv újra itt — jelentkezzen be a fiókjába.
New here?,Új itt?
Back to orders,Vissza a rendelésekhez
Create account,Fiók létrehozása
You must be logged in to manage your addresses,A címei kezeléséhez be kell jelentkeznie
You must be logged in to update your profile,A profilja frissítéséhez be kell jelentkeznie
There is nothing to update,Nincs mit frissíteni
Email is already used,Ez az e-mail cím már használatban van
Order #${orderNumber},${orderNumber}. számú rendelés
