Login,Войти
Logout,Выйти
Email,Email
Password,Пароль
Forgot your password?,Забыли пароль?
Create an account,Создать аккаунт
Register,Зарегистрироваться
Full Name,Фамилия Имя
Full name,Фамилия Имя
Sign In,ВОЙТИ
SIGN UP,ЗАРЕГИСТРИРОВАТЬСЯ
Order History,История заказов
Account Details,Параметры Аккаунта
Account details,Параметры аккаунта
You have not placed any orders yet,Вы еще ничего не заказали
My Account,Мой аккаунт
Already have an account?,У вас уже есть аккаунт?
Contact information,Контактные данные
City,Город
Account Information,Информация об аккаунте
Address,Адрес
Postcode,Почтовый индекс
Postcode is required,Почтовый индекс обязателен для заполнения
Telephone is required,Телефон обязателен для заполнения
Telephone,Телефон
Full name is required,Фамилия и Имя обязательны для заполнения
Country is required,Страна обязательна для заполнения
Country,Страна
Province is required,Область обязательна для заполнения
Province,Область
Billing Address,Платежный адрес
Shipping Address,Адрес доставки
Create A New Account,Создать новый аккаунт
Contact,Контакт
Customer information,Информация о заказчике
Address book,Адресная книга
Account information,Информация об аккаунте
Recent orders,Недавние заказы
View all,Показать все
Sign in,Войти
Welcome back — sign in to your account.,С возвращением — войдите в свой аккаунт.
New here?,Впервые здесь?
Back to orders,Назад к заказам
Create account,Создать аккаунт
You must be logged in to manage your addresses,"Чтобы управлять адресами, необходимо войти в аккаунт"
You must be logged in to update your profile,"Чтобы обновить профиль, необходимо войти в аккаунт"
There is nothing to update,Нечего обновлять
Email is already used,Этот email уже используется
Order #${orderNumber},Заказ № ${orderNumber}
