Total,Σύνολο
Order,Παραγγελία
Sku,Κωδικός SKU
Continue to shipping,Συνέχεια στην αποστολή
Continue shopping,Συνέχιση αγορών
Continue Shopping,Συνέχιση Αγορών
Shopping cart,Καλάθι Αγορών
Product,Προϊόν
Price,Τιμή
Quantity,Ποσότητα
Remove,Αφαίρεση
Qty,Ποσότητα
Sub total,Μερικό σύνολο
Discount(${coupon}),Έκπτωση(${coupon})
Order summary,Περίληψη Παραγγελίας
Taxes and shipping calculated at checkout,Οι φόροι και τα έξοδα αποστολής υπολογίζονται κατά την ολοκλήρωση της παραγγελίας
Checkout,ΟΛΟΚΛΗΡΩΣΗ ΠΑΡΑΓΓΕΛΙΑΣ
Change,Αλλαγή
Payment Method,Μέθοδος Πληρωμής
Shipping Method,Μέθοδος Αποστολής
No payment methods available,Δεν υπάρχουν διαθέσιμες μέθοδοι πληρωμής
Place Order,Ολοκλήρωση Παραγγελίας
My billing address is same as shipping address,Η διεύθυνση χρέωσης μου είναι ίδια με τη διεύθυνση αποστολής
${count} items,${count} αντικείμενα
Discount,Έκπτωση
Shipping,Αποστολή
No tax,Χωρίς φόρο
Tax,Φόρος
Sorry,Λυπούμαστε
Please enter a shipping address in order to see shipping quotes,Παρακαλώ εισάγετε μια διεύθυνση αποστολής για να δείτε τα τελικά έξοδα αποστολής
Continue to payment,Συνέχεια στην πληρωμή
No payment method available,Δεν υπάρχει διαθέσιμη μέθοδος πληρωμής
Ship to,Αποστολή προς
Shipment,Αποστολή
Thank you ${name}!,Ευχαριστούμε ${name}!
Add to cart,ΠΡΟΣΘΗΚΗ ΣΤΟ ΚΑΛΑΘΙ
Please select variant options,Παρακαλώ επιλέξτε παραλλαγές
VIEW CART (${count}),ΠΡΟΒΟΛΗ ΚΑΛΑΘΙΟΥ (${count})
JUST ADDED TO YOUR CART,ΠΡΟΣΤΙΘΕΜΕΝΟ ΣΤΟ ΚΑΛΑΘΙ ΣΑΣ
Promotion code?,Κωδικός Προώθησης;
Enter coupon code,Εισαγωγή κωδικού κουπονιού
Apply,Εφαρμογή
Your cart is empty!,Το καλάθι αγορών σας είναι άδειο!
Inclusive of tax,Συμπεριλαμβανομένου του φόρου
Address is required,Απαιτείται διεύθυνση
City is required,Απαιτείται πόλη
Proceed to checkout,Ολοκλήρωση παραγγελίας
Your cart,Το καλάθι σας
${count} items in your cart,${count} προϊόντα στο καλάθι σας
No payment required,Δεν απαιτείται πληρωμή
Your order total is 0 — no payment is needed to place this order.,Το σύνολο της παραγγελίας σας είναι 0 — δεν απαιτείται πληρωμή για την υποβολή της.
Thank you for your order!,Ευχαριστούμε για την παραγγελία σας!
Order #${orderNumber} is confirmed. We’ve emailed a receipt to ${email}.,Η παραγγελία #${orderNumber} επιβεβαιώθηκε. Στείλαμε απόδειξη στο ${email}.
