"Your order is confirmed","您的订单已确认"
"Your order #${number} is confirmed.","您的订单 #${number} 已确认。"
"Order #${number}","订单 #${number}"
"Shipping to","配送至"
"View your order","查看您的订单"
"Start shopping","开始购物"
"Your order is on the way","您的订单正在配送中"
"Your order #${number} is on the way.","您的订单 #${number} 正在配送中。"
"Items in this shipment","本次发货的商品"
"We'll send tracking details as soon as the carrier scans the package.","承运商扫描包裹后，我们会立即向您发送物流跟踪信息。"
"Tracking","物流跟踪"
"Track shipment","跟踪物流"
"Your order was delivered","您的订单已送达"
"Your order #${number} has been delivered.","您的订单 #${number} 已送达。"
"Delivered items","已送达的商品"
"We hope it's everything you expected. If anything's not right, just reply to this email.","希望它完全符合您的期待。如有任何问题，直接回复此邮件即可。"
"Your order has been refunded","您的订单已退款"
"A refund has been issued","退款已处理"
"A refund has been issued for your order","已为您的订单处理退款"
"A refund of ${amount} was issued for order #${number}.","已为订单 #${number} 处理 ${amount} 的退款。"
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","我们已将 ${amount} 退回到您的原支付方式。根据您银行的处理速度，可能需要几个工作日才会显示在账单上。"
"Your order has been canceled","您的订单已取消"
"Order #${number} has been canceled.","订单 #${number} 已取消。"
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","此订单已取消。如果已授权付款，该授权已被释放，不会向您收费。"
"Reason: ${reason}.","原因：${reason}。"
"Order total","订单总计"
"Order number","订单编号"
"Welcome, ${name}.","欢迎，${name}。"
"Welcome to ${store}.","欢迎来到 ${store}。"
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","感谢您在 ${store} 创建账户。您的购物车、订单和已保存的地址现在都集中在一处。"
"Reset your ${store} password.","重置您的 ${store} 账户密码。"
"We received a request to reset the password for your ${store} account. Choose a new one below.","我们收到了重置您 ${store} 账户密码的请求。请在下方设置新密码。"
"If you didn't request this, you can safely ignore this email — your password won't change.","如果这不是您本人的操作，可以放心忽略此邮件——您的密码不会更改。"
"Visit store","访问商店"
"Help","帮助"
