"Add a store email","Aggiungi email del negozio"
"Consent","Consenso"
"Consent text","Testo del consenso"
"Contact messages","Messaggi di contatto"
"Customer","Cliente"
"Delete ${count} messages","Elimina ${count} messaggi"
"Fields","Campi"
"From","Da"
"How can we help?","Come possiamo aiutarti?"
"I agree that my details may be used to respond to my enquiry.","Acconsento all'uso dei miei dati per rispondere alla mia richiesta."
"Inbox","Posta in arrivo"
"Mark read","Segna come letto"
"Mark unread","Segna come non letto"
"Message","Messaggio"
"Message is required","Il messaggio è obbligatorio"
"Messages are sent to ${email} and saved under CMS → Contact messages.","I messaggi vengono inviati a ${email} e salvati in CMS → Messaggi di contatto."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","I messaggi continueranno a essere salvati e visibili in CMS → Messaggi di contatto, ma non verrà inviata alcuna email di notifica."
"New contact form message","Nuovo messaggio dal modulo di contatto"
"New contact form message from ${name}","Nuovo messaggio dal modulo di contatto da ${name}"
"New message from ${name} via your contact form.","Nuovo messaggio da ${name} tramite il tuo modulo di contatto."
"Not emailed","Email non inviata"
"Optional supporting copy.","Testo di supporto facoltativo."
"Please accept before sending","Accetta prima di inviare"
"Read","Letto"
"Reply directly to this email to respond to ${name}.","Rispondi direttamente a questa email per contattare ${name}."
"Send message","Invia messaggio"
"Show consent checkbox","Mostra casella di consenso"
"Show phone field","Mostra campo telefono"
"Show subject field","Mostra campo oggetto"
"Shown after the message is sent.","Mostrato dopo l'invio del messaggio."
"Someone sent a message through the contact form on your store.","Qualcuno ha inviato un messaggio tramite il modulo di contatto del tuo negozio."
"Store email is not set","L'email del negozio non è impostata"
"Subheading","Sottotitolo"
"Subject","Oggetto"
"Submit","Invia"
"Success message","Messaggio di conferma"
"Thanks! Your message has been sent.","Grazie! Il tuo messaggio è stato inviato."
"There is no message to display","Non c'è alcun messaggio da mostrare"
"Titles","Titoli"
"Unread","Non letto"
"View customer account","Visualizza account cliente"
"What is this about?","Di cosa si tratta?"
"Your name","Il tuo nome"
"Your phone number","Il tuo numero di telefono"
"e.g. Get in touch","es. Contattaci"
"e.g. I agree that my details may be used to respond to my enquiry.","es. Acconsento all'uso dei miei dati per rispondere alla mia richiesta."
"e.g. Send message","es. Invia messaggio"
"e.g. Thanks! Your message has been sent.","es. Grazie! Il tuo messaggio è stato inviato."
"e.g. We usually reply within one business day.","es. Di solito rispondiamo entro un giorno lavorativo."
"you@example.com","tu@esempio.com"
