"Your order is confirmed","Seu pedido está confirmado"
"Your order #${number} is confirmed.","Seu pedido #${number} está confirmado."
"Order #${number}","Pedido #${number}"
"Shipping to","Enviar para"
"View your order","Ver seu pedido"
"Start shopping","Começar a comprar"
"Your order is on the way","Seu pedido está a caminho"
"Your order #${number} is on the way.","Seu pedido #${number} está a caminho."
"Items in this shipment","Itens nesta remessa"
"We'll send tracking details as soon as the carrier scans the package.","Enviaremos os detalhes de rastreamento assim que a transportadora escanear o pacote."
"Tracking","Rastreamento"
"Track shipment","Rastrear remessa"
"Your order was delivered","Seu pedido foi entregue"
"Your order #${number} has been delivered.","Seu pedido #${number} foi entregue."
"Delivered items","Itens entregues"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Esperamos que seja tudo o que você esperava. Se algo não estiver certo, basta responder a este e-mail."
"Your order has been refunded","Seu pedido foi reembolsado"
"A refund has been issued","Um reembolso foi emitido"
"A refund has been issued for your order","Um reembolso foi emitido para o seu pedido"
"A refund of ${amount} was issued for order #${number}.","Um reembolso de ${amount} foi emitido para o pedido #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Reembolsamos ${amount} para o seu método de pagamento original. Dependendo do seu banco, pode levar alguns dias úteis para aparecer no seu extrato."
"Your order has been canceled","Seu pedido foi cancelado"
"Order #${number} has been canceled.","O pedido #${number} foi cancelado."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Este pedido foi cancelado. Se um pagamento foi autorizado, ele foi liberado e você não será cobrado."
"Reason: ${reason}.","Motivo: ${reason}."
"Order total","Total do pedido"
"Order number","Número do pedido"
"Welcome, ${name}.","Bem-vindo, ${name}."
"Welcome to ${store}.","Bem-vindo à ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Obrigado por criar uma conta na ${store}. Seu carrinho, seus pedidos e endereços salvos agora ficam em um só lugar."
"Reset your ${store} password.","Redefina a senha da sua conta ${store}."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Recebemos uma solicitação para redefinir a senha da sua conta ${store}. Escolha uma nova abaixo."
"If you didn't request this, you can safely ignore this email — your password won't change.","Se você não solicitou isso, pode ignorar este e-mail com segurança — sua senha não será alterada."
"Visit store","Visitar loja"
"Help","Ajuda"
