A short description shown on the category page,Una breve descripción mostrada en la página de la categoría
A short summary shown in listings,Un breve resumen mostrado en los listados
Add a meta description to control the text shown here.,Añade una meta descripción para controlar el texto que se muestra aquí.
All,Todos
All categories,Todas las categorías
Applies to posts in this category.,Se aplica a las entradas de esta categoría.
Approve,Aprobar
Approved,Aprobado
Author,Autor
Blog,Blog
Blog Categories,Categorías del blog
Blog Comments,Comentarios del blog
Blog Posts,Entradas del blog
Blog Tags,Etiquetas del blog
By,Por
Cancel reply,Cancelar respuesta
"Category, author, tags and thumbnail.","Categoría, autor, etiquetas y miniatura."
Closed — no new comments,Cerrado — sin nuevos comentarios
Columns (1-4),Columnas (1-4)
Comment,Comentario
Comment Policy,Política de comentarios
Comments,Comentarios
Configure URL key and meta information for this blog category.,Configura la clave URL y la metainformación de esta categoría del blog.
Copied!,¡Copiado!
Copy link,Copiar enlace
Create a new post,Crear una nueva entrada
Create a new tag,Crear una nueva etiqueta
Delete ${count} comments,Eliminar ${count} comentarios
Delete ${count} posts,Eliminar ${count} entradas
Delete ${count} tags,Eliminar ${count} etiquetas
Disable ${count} categories,Desactivar ${count} categorías
Email (not published),Correo electrónico (no publicado)
Enable ${count} categories,Activar ${count} categorías
Enter category name,Introduce el nombre de la categoría
Enter post title,Introduce el título de la entrada
Enter tag name,Introduce el nombre de la etiqueta
Excerpt,Extracto
Featured posts,Entradas destacadas
Leave a comment,Deja un comentario
Leave blank to auto-generate,Déjalo en blanco para autogenerar
Mark spam,Marcar como spam
Max posts,Máx. entradas
Moderated — hold for review,Moderado — retener para revisión
Name and status for this blog category.,Nombre y estado de esta categoría del blog.
New post,Nueva entrada
New tag,Nueva etiqueta
No comments yet. Be the first!,Aún no hay comentarios. ¡Sé el primero!
No posts in this category yet.,Aún no hay entradas en esta categoría.
No posts match,No hay entradas que coincidan
No posts published yet.,Aún no se han publicado entradas.
No posts with this tag yet.,Aún no hay entradas con esta etiqueta.
No posts yet,Aún no hay entradas
Open page in a new tab,Abrir página en una nueva pestaña
Open — auto-approve,Abierto — aprobación automática
Organize,Organizar
Pending,Pendiente
Post Title,Título de la entrada
Post comment,Publicar comentario
Post created successfully!,¡Entrada creada con éxito!
Post title is required,El título de la entrada es obligatorio
Posts,Entradas
Publish ${count} posts,Publicar ${count} entradas
Published,Publicado
Published posts are visible on the storefront.,Las entradas publicadas son visibles en la tienda.
React,Reaccionar
Related posts,Entradas relacionadas
Reply,Responder
Reply to ${name},Responder a ${name}
Search Engine Optimization,Optimización para motores de búsqueda
Search posts to feature,Buscar entradas para destacar
Search result preview,Vista previa del resultado de búsqueda
Select a category,Selecciona una categoría
Select an author,Selecciona un autor
Select tags,Selecciona etiquetas
Short Description,Descripción corta
Something went wrong. Please try again.,Algo salió mal. Inténtalo de nuevo.
Spam,Spam
Submitting…,Enviando…
Tag,Etiqueta
Tag Name,Nombre de la etiqueta
Tag created successfully!,¡Etiqueta creada con éxito!
Tag name is required,El nombre de la etiqueta es obligatorio
Tags,Etiquetas
Thanks! Your comment is awaiting moderation.,¡Gracias! Tu comentario está pendiente de moderación.
The URL path segment under /blog/.,El segmento de ruta URL bajo /blog/.
The URL path segment under /blog/category/.,El segmento de ruta URL bajo /blog/category/.
The URL path segment under /blog/tag/.,El segmento de ruta URL bajo /blog/tag/.
"The post title, status and content.","Título, estado y contenido de la entrada."
The tag name.,El nombre de la etiqueta.
There is no comment to display,No hay ningún comentario para mostrar
There is no post to display,No hay ninguna entrada para mostrar
There is no tag to display,No hay ninguna etiqueta para mostrar
URL key is auto-generated from the name if left blank.,La clave URL se genera automáticamente a partir del nombre si se deja en blanco.
URL key is auto-generated from the title if left blank.,La clave URL se genera automáticamente a partir del título si se deja en blanco.
Unpublish,Despublicar
Unpublish ${count} posts,Despublicar ${count} entradas
Untitled page,Página sin título
Your comment,Tu comentario
min read,min de lectura
