"Your order is confirmed","Il tuo ordine è confermato"
"Your order #${number} is confirmed.","Il tuo ordine #${number} è confermato."
"Order #${number}","Ordine #${number}"
"Shipping to","Spedizione a"
"View your order","Vedi il tuo ordine"
"Start shopping","Inizia a fare acquisti"
"Your order is on the way","Il tuo ordine è in arrivo"
"Your order #${number} is on the way.","Il tuo ordine #${number} è in arrivo."
"Items in this shipment","Articoli in questa spedizione"
"We'll send tracking details as soon as the carrier scans the package.","Ti invieremo i dettagli di tracciamento non appena il corriere avrà scansionato il pacco."
"Tracking","Tracciamento"
"Track shipment","Traccia la spedizione"
"Your order was delivered","Il tuo ordine è stato consegnato"
"Your order #${number} has been delivered.","Il tuo ordine #${number} è stato consegnato."
"Delivered items","Articoli consegnati"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Speriamo sia tutto ciò che ti aspettavi. Se qualcosa non va, rispondi semplicemente a questa email."
"Your order has been refunded","Il tuo ordine è stato rimborsato"
"A refund has been issued","È stato emesso un rimborso"
"A refund has been issued for your order","È stato emesso un rimborso per il tuo ordine"
"A refund of ${amount} was issued for order #${number}.","È stato emesso un rimborso di ${amount} per l'ordine #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Abbiamo rimborsato ${amount} sul tuo metodo di pagamento originale. A seconda della tua banca, potrebbero volerci alcuni giorni lavorativi prima che compaia sull'estratto conto."
"Your order has been canceled","Il tuo ordine è stato annullato"
"Order #${number} has been canceled.","L'ordine #${number} è stato annullato."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Questo ordine è stato annullato. Se un pagamento era stato autorizzato, è stato rilasciato e non ti verrà addebitato nulla."
"Reason: ${reason}.","Motivo: ${reason}."
"Order total","Totale ordine"
"Order number","Numero ordine"
"Welcome, ${name}.","Benvenuto, ${name}."
"Welcome to ${store}.","Benvenuto su ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Grazie per aver creato un account su ${store}. Il tuo carrello, i tuoi ordini e gli indirizzi salvati sono ora in un unico posto."
"Reset your ${store} password.","Reimposta la password del tuo account ${store}."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Abbiamo ricevuto una richiesta di reimpostazione della password del tuo account ${store}. Scegline una nuova qui sotto."
"If you didn't request this, you can safely ignore this email — your password won't change.","Se non hai richiesto questa operazione, puoi ignorare questa email — la tua password non verrà modificata."
"Visit store","Visita il negozio"
"Help","Aiuto"
