Welcome Back!,फेरि स्वागत छ!
Please sign in to your account ,कृपया आफ्नो खातामा साइन इन गर्नुहोस् 
Join us for exclusive offers and order tracking,विशेष अफर र अर्डर ट्र्याकिङका लागि हामीसँग जोडिनुहोस्
Sign Up,साइन अप
Signing Up...,साइन अप गर्दै...
Signing In...,साइन इन गर्दै...
Recent Orders,भर्खरका अर्डरहरू
Address Book,ठेगाना पुस्तिका
You have no addresses saved,तपाईंसँग कुनै ठेगाना सुरक्षित गरिएको छैन
Add new address,नयाँ ठेगाना थप्नुहोस्
Address 2,ठेगाना २
Set as default,पूर्वनिर्धारित रूपमा सेट गर्नुहोस्
Save,सुरक्षित गर्नुहोस्
Edit,सम्पादन गर्नुहोस्
Delete,मेटाउनुहोस्
Edit Address,ठेगाना सम्पादन गर्नुहोस्
Product Filters,उत्पादन फिल्टरहरू
No products found,कुनै उत्पादन फेला परेन
${count} Products,${count} उत्पादनहरू
Default,पूर्वनिर्धारित
Name,नाम
Contact Information,सम्पर्क जानकारी
Your Cart,तपाईंको कार्ट
Your cart is empty,तपाईंको कार्ट खाली छ
Subtotal,उप-जम्मा
View Cart (${totalQty}),कार्ट हेर्नुहोस् (${totalQty})
Shopping Cart,किनमेल कार्ट
Logged in as,यसरूपमा लग इन गरिएको
Payment Information,भुक्तानी जानकारी
Same as shipping address,ढुवानी ठेगाना जस्तै
Use a different billing address,फरक बिलिङ ठेगाना प्रयोग गर्नुहोस्
Pick a payment method,भुक्तानी विधि छान्नुहोस्
Select a payment method,भुक्तानी विधि चयन गर्नुहोस्
Complete Order,अर्डर पूरा गर्नुहोस्
Add to Cart,कार्टमा थप्नुहोस्
Search,खोज्नुहोस्
${count} orders,${count} अर्डरहरू
${field} is required,${field} आवश्यक छ
${pct}% of orders cancelled,${pct}% अर्डरहरू रद्द गरियो
${pct}% of orders completed,${pct}% अर्डरहरू पूरा भयो
${qty} sold,${qty} बिक्री भयो
${total} lifetime sale,${total} आजीवन बिक्री
(Guest Checkout),(अतिथि चेकआउट)
(list),(सूची)
(optional),(वैकल्पिक)
A coupon is already applied,एउटा कुपन पहिल्यै लागू गरिएको छ
A group needs at least one sub-field,समूहलाई कम्तीमा एउटा उप-फिल्ड आवश्यक हुन्छ
A list of best selling products,उत्कृष्ट बिक्री हुने उत्पादनहरूको सूची
A list of customers who have placed the most orders,सबैभन्दा धेरै अर्डर गर्ने ग्राहकहरूको सूची
A regular expression the value must match.,मान मिल्नुपर्ने रेगुलर एक्सप्रेसन।
Accepted values,स्वीकृत मानहरू
Active,सक्रिय
Active Filters,सक्रिय फिल्टरहरू
Add address API not available,ठेगाना थप्ने API उपलब्ध छैन
Add custom field,कस्टम फिल्ड थप्नुहोस्
Add field,फिल्ड थप्नुहोस्
Add item,वस्तु थप्नुहोस्
Add option,विकल्प थप्नुहोस्
Add product,उत्पादन थप्नुहोस्
Add some items to get started,सुरु गर्न केही वस्तुहरू थप्नुहोस्
Add sub-field,उप-फिल्ड थप्नुहोस्
Adding...,थप्दै...
Address has been deleted successfully!,ठेगाना सफलतापूर्वक मेटाइयो!
Address has been saved successfully!,ठेगाना सफलतापूर्वक सुरक्षित गरियो!
Address has been updated successfully!,ठेगाना सफलतापूर्वक अद्यावधिक गरियो!
Address is required,ठेगाना आवश्यक छ
Adds target=_blank rel=noopener noreferrer.,target=_blank rel=noopener noreferrer थप्छ।
All items fulfilled,सबै वस्तुहरू पूरा भए
All orders,सबै अर्डरहरू
All your past orders,तपाईंका सबै विगतका अर्डरहरू
Allow multiple,बहुविध अनुमति दिनुहोस्
An unexpected error occurred. Please try again.,अप्रत्याशित त्रुटि भयो। कृपया फेरि प्रयास गर्नुहोस्।
Apply Filters,फिल्टरहरू लागू गर्नुहोस्
Are you sure you want to mark the selected orders as shipped?,के तपाईं चयन गरिएका अर्डरहरूलाई ढुवानी गरिएको रूपमा चिन्ह लगाउन निश्चित हुनुहुन्छ?
Are you sure?,के तपाईं निश्चित हुनुहुन्छ?
Attribute Group,विशेषता समूह
Attribute code is used in API and must be unique,विशेषता कोड API मा प्रयोग हुन्छ र यो अद्वितीय हुनुपर्छ
Attribute options,विशेषता विकल्पहरू
Attributes,विशेषताहरू
Available shipping methods will appear once you provide your address details,तपाईंले आफ्नो ठेगाना विवरण प्रदान गरेपछि उपलब्ध ढुवानी विधिहरू देखिनेछन्
