Total, الإجمالي
Order, الطلب
Sku, رقم السلعة (SKU)
Continue to shipping, المتابعة إلى الشحن
Continue shopping, متابعة التسوق
CONTINUE SHOPPING, متابعة التسوق
Shopping cart, عربة التسوق
Product, المنتج
Price, السعر
Quantity, الكمية
Remove, إزالة
Qty, الكمية
Sub total, المجموع الفرعي
Discount($coupon), الخصم ($كوبون)
Order summary, ملخص الطلب
Taxes and shipping calculated at checkout, الضرائب والشحن محسوبة عند الدفع
CHECKOUT, إتمام الشراء
Change, تغيير
Payment Method, طريقة الدفع
Shipping Address, عنوان الشحن
Shipping Method, طريقة الشحن
No payment methods available, لا توجد طرق دفع متاحة
Place Order, إتمام الطلب
My billing address is same as shipping address, عنوان الفوترة هو نفسه عنوان الشحن
$count items, $count عناصر
Discount, خصم
Shipping, الشحن
No tax, لا ضرائب
Tax, الضريبة
Sorry, there is no available method for your address, عذراً، لا توجد طريقة شحن متاحة لعنوانك
Please enter a shipping address in order to see shipping quotes, يرجى إدخال عنوان شحن لرؤية أسعار الشحن
Continue to payment, المتابعة إلى الدفع
No payment method available, لا توجد طريقة دفع متاحة
Ship to, الشحن إلى
Shipment, الشحنة
Thank you $name!, شكراً لك $name!
Contact information, معلومات الاتصال
Order #$orderNumber, الطلب رقم #$orderNumber
ADD TO CART, أضف إلى العربة
Please select variant options, يرجى اختيار خيارات التنويعات
VIEW CART ($count), عرض العربة ($count)
JUST ADDED TO YOUR CART, تمت الإضافة إلى عربة التسوق الخاصة بك
Promotion code?, رمز الترويج؟
Enter coupon code, أدخل رمز القسيمة
Apply, تطبيق
Your cart is empty!, عربة التسوق فارغة!
Full name, الاسم الكامل
Telephone, رقم الهاتف
Address, العنوان
City, المدينة
Country, الدولة
Postcode, الرمز البريدي
Inclusive of tax, شامل الضريبة
Sorry, there is no available method for your address, عذراً، لا توجد طريقة شحن متاحة لعنوانك
Full name is required, الاسم الكامل مطلوب
Telephone is required, رقم الهاتف مطلوب
Address is required, العنوان مطلوب
City is required, المدينة مطلوبة
Country is required, الدولة مطلوبة
Postcode is required, الرمز البريدي مطلوب
Contact, تواصل
