Welcome Back!,Bem-vindo de volta!
Please sign in to your account ,Inicie sessão na sua conta 
Join us for exclusive offers and order tracking,Junte-se a nós para ofertas exclusivas e rastreamento de pedidos
Sign Up,Criar conta
Signing Up...,A criar conta...
Signing In...,A iniciar sessão...
Recent Orders,Pedidos recentes
Address Book,Livro de endereços
You have no addresses saved,Não tem endereços guardados
Add new address,Adicionar novo endereço
Address 2,Endereço 2
Set as default,Definir como predefinido
Save,Guardar
Edit,Editar
Delete,Eliminar
Edit Address,Editar endereço
Product Filters,Filtros de produtos
No products found,Nenhum produto encontrado
${count} Products,${count} produtos
Default,Predefinido
Name,Nome
Contact Information,Informações de contacto
Your Cart,O seu carrinho
Your cart is empty,O seu carrinho está vazio
Subtotal,Subtotal
View Cart (${totalQty}),Ver carrinho (${totalQty})
Shopping Cart,Carrinho de compras
Logged in as,Sessão iniciada como
Payment Information,Informações de pagamento
Same as shipping address,Igual ao endereço de envio
Use a different billing address,Usar um endereço de faturação diferente
Pick a payment method,Escolha um método de pagamento
Select a payment method,Selecione um método de pagamento
Complete Order,Concluir pedido
Add to Cart,Adicionar ao carrinho
Search,Pesquisar
${count} orders,${count} pedidos
${field} is required,${field} é obrigatório
${pct}% of orders cancelled,${pct}% dos pedidos cancelados
${pct}% of orders completed,${pct}% dos pedidos concluídos
${qty} sold,${qty} vendidos
${total} lifetime sale,${total} de vendas totais
(Guest Checkout),(Compra como convidado)
(list),(lista)
(optional),(opcional)
A coupon is already applied,Já existe um cupão aplicado
A group needs at least one sub-field,Um grupo precisa de pelo menos um subcampo
A list of best selling products,Uma lista dos produtos mais vendidos
A list of customers who have placed the most orders,Uma lista dos clientes que fizeram mais pedidos
A regular expression the value must match.,Uma expressão regular que o valor deve corresponder.
Accepted values,Valores aceites
Active,Ativo
Active Filters,Filtros ativos
Add address API not available,API de adição de endereço não disponível
Add custom field,Adicionar campo personalizado
Add field,Adicionar campo
Add item,Adicionar item
Add option,Adicionar opção
Add product,Adicionar produto
Add some items to get started,Adicione alguns itens para começar
Add sub-field,Adicionar subcampo
Adding...,A adicionar...
Address has been deleted successfully!,O endereço foi eliminado com sucesso!
Address has been saved successfully!,O endereço foi guardado com sucesso!
Address has been updated successfully!,O endereço foi atualizado com sucesso!
Adds target=_blank rel=noopener noreferrer.,Adiciona target=_blank rel=noopener noreferrer.
All items fulfilled,Todos os itens processados
All orders,Todos os pedidos
All your past orders,Todos os seus pedidos anteriores
Allow multiple,Permitir múltiplos
An unexpected error occurred. Please try again.,Ocorreu um erro inesperado. Tente novamente.
Apply Filters,Aplicar filtros
Are you sure you want to mark the selected orders as shipped?,Tem a certeza de que quer marcar os pedidos selecionados como enviados?
Are you sure?,Tem a certeza?
Attribute Group,Grupo de atributos
Attribute code is used in API and must be unique,O código do atributo é usado na API e deve ser único
Attribute options,Opções de atributo
