"Your order is confirmed","உங்கள் ஆர்டர் உறுதிசெய்யப்பட்டது"
"Your order #${number} is confirmed.","உங்கள் ஆர்டர் #${number} உறுதிசெய்யப்பட்டது."
"Order #${number}","ஆர்டர் #${number}"
"Shipping to","அனுப்பப்படும் முகவரி"
"View your order","உங்கள் ஆர்டரைப் பார்க்கவும்"
"Start shopping","கடையில் வாங்கத் தொடங்குங்கள்"
"Your order is on the way","உங்கள் ஆர்டர் வழியில் உள்ளது"
"Your order #${number} is on the way.","உங்கள் ஆர்டர் #${number} வழியில் உள்ளது."
"Items in this shipment","இந்த அனுப்புகையில் உள்ள பொருட்கள்"
"We'll send tracking details as soon as the carrier scans the package.","கூரியர் பேக்கேஜை ஸ்கேன் செய்தவுடன், கண்காணிப்பு விவரங்களை உங்களுக்கு அனுப்புவோம்."
"Tracking","கண்காணிப்பு"
"Track shipment","அனுப்புகையைக் கண்காணிக்கவும்"
"Your order was delivered","உங்கள் ஆர்டர் வழங்கப்பட்டது"
"Your order #${number} has been delivered.","உங்கள் ஆர்டர் #${number} வழங்கப்பட்டது."
"Delivered items","வழங்கப்பட்ட பொருட்கள்"
"We hope it's everything you expected. If anything's not right, just reply to this email.","நீங்கள் எதிர்பார்த்தபடி இருக்கும் என நம்புகிறோம். ஏதேனும் சரியில்லை என்றால், இந்த மின்னஞ்சலுக்குப் பதிலளிக்கவும்."
"Your order has been refunded","உங்கள் ஆர்டருக்கான பணம் திரும்பச் செலுத்தப்பட்டது"
"A refund has been issued","பணத்திரும்பம் வழங்கப்பட்டது"
"A refund has been issued for your order","உங்கள் ஆர்டருக்குப் பணத்திரும்பம் வழங்கப்பட்டது"
"A refund of ${amount} was issued for order #${number}.","ஆர்டர் #${number}க்கு ${amount} பணத்திரும்பம் வழங்கப்பட்டது."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","உங்கள் அசல் பணம் செலுத்தும் முறைக்கு ${amount} திரும்பச் செலுத்தியுள்ளோம். உங்கள் வங்கியைப் பொறுத்து, இது உங்கள் அறிக்கையில் தோன்ற சில வேலை நாட்கள் ஆகலாம்."
"Your order has been canceled","உங்கள் ஆர்டர் ரத்து செய்யப்பட்டது"
"Order #${number} has been canceled.","ஆர்டர் #${number} ரத்து செய்யப்பட்டது."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","இந்த ஆர்டர் ரத்து செய்யப்பட்டது. ஏதேனும் பணம் அங்கீகரிக்கப்பட்டிருந்தால், அது விடுவிக்கப்பட்டுள்ளது, உங்களிடம் கட்டணம் வசூலிக்கப்படாது."
"Reason: ${reason}.","காரணம்: ${reason}."
"Order total","ஆர்டர் மொத்தம்"
"Order number","ஆர்டர் எண்"
"Welcome, ${name}.","வரவேற்கிறோம், ${name}."
"Welcome to ${store}.","${store}க்கு வரவேற்கிறோம்."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","${store} இல் கணக்கை உருவாக்கியதற்கு நன்றி. உங்கள் கார்ட், ஆர்டர்கள் மற்றும் சேமித்த முகவரிகள் இப்போது ஒரே இடத்தில் உள்ளன."
"Reset your ${store} password.","உங்கள் ${store} கணக்கின் கடவுச்சொல்லை மீட்டமைக்கவும்."
"We received a request to reset the password for your ${store} account. Choose a new one below.","உங்கள் ${store} கணக்கின் கடவுச்சொல்லை மீட்டமைக்கும் கோரிக்கையைப் பெற்றோம். கீழே புதியதைத் தேர்ந்தெடுக்கவும்."
"If you didn't request this, you can safely ignore this email — your password won't change.","நீங்கள் இதைக் கோரவில்லை என்றால், இந்த மின்னஞ்சலைப் புறக்கணிக்கலாம் — உங்கள் கடவுச்சொல் மாறாது."
"Visit store","கடையைப் பார்வையிடவும்"
"Help","உதவி"
