Total, Totalt
Order, Beställning
Sku, SKU
Continue to shipping, Gå vidare till försändelse
Continue shopping, Fortsätt handla
Continue Shopping, Fortsätt handla
CONTINUE SHOPPING, FORTSÄTT HANDLA
Shopping cart, Kundkorg
Product, Produkt
Price, Pris
Quantity, Antal
Remove, Radera
Qty, Antal
Sub total, Sub total
Discount(${coupon}), Rabatt(${coupon})
Order summary, Ordersammanfattning
Taxes and shipping calculated at checkout, Moms & leveransavgift beräknas vid utcheckning
CHECKOUT, Betala
Change, Ändra
Payment Method, Betalmetod
Shipping Method, Fraktmetod
No payment methods available, Inga betalningsalternativ tillgänglig
Place Order, Beställ
My billing address is same as shipping address, Min faktureringsadress är samma som leveransadress
${count} items, ${count} Produkter
Discount, Rabatt
Shipping, Frakt
No tax, Ingen moms
Tax, Moms
Sorry, there is no available method for your address, Tyvärr, det finns inga fraktalternativ till din adress
Please enter a shipping address in order to see shipping quotes, Skriv in en adress för att se fraktkostnad
Continue to payment, Fortsätt till betalning
No payment method available, Inga betalningsalternativ tillgänglig
Ship to, Skicka till
Shipment, Försändning
Thank you ${name}!, Tack, ${name}!
Contact information, Kontaktinformation
Order #${orderNumber}, Beställning #${orderNumber}
ADD TO CART, LÄGG TILL I KUNDKORG
Please select variant options, Välj variant
VIEW CART (${count}), VISA KUNDKORG (${count})
JUST ADDED TO YOUR CART, TILLAGD I KUNDKORGEN
Promotion code?, Kampanjkod?
Enter coupon code, Skriv in din kampanjkod
Apply, Tillämpa
Your cart is empty!, Din kundkorg är tom!
