Login,लॉग इन करें 
Logout,लॉग आउट करें
Email,ईमेल
Password,पासवर्ड
Forgot your password?,अपना पासवर्ड भूल गए?
Create an account,खाता बनाएँ
Register,रजिस्टर करें
Full Name,पूरा नाम
Full name,पूरा नाम
SIGN IN,साइन इन करें
Order History,आर्डर इतिहास
Account Details,खाता विवरण
You have not placed any orders yet,आपने अभी तक कोई ऑर्डर नहीं दिया है
My Account,मेरा खाता
Already have an account?,पहले से ही एक खाता है?
Contact information,संपर्क जानकारी
City,शहर
Account Information,खाता जानकारी
Address,पता
Postcode,पोस्टकोड
Postcode is required,पोस्टकोड आवश्यक है
Telephone is required,टेलीफोन आवश्यक है
Telephone,टेलीफोन
Full name is required,पूरा नाम आवश्यक है
Country is required,देश आवश्यक है
Country,देश
Province is required,प्रांत आवश्यक है
Province,प्रांत
Billing Address,बिलिंग पता
Shipping Address,शिपिंग पता
Create A New Account,एक नया खाता बनाएँ
Contact,संपर्क
Customer information,ग्राहक जानकारी
