"Your order is confirmed","A rendelését megerősítettük"
"Your order #${number} is confirmed.","A(z) #${number} rendelését megerősítettük."
"Order #${number}","Rendelés #${number}"
"Shipping to","Szállítás ide"
"View your order","Rendelés megtekintése"
"Start shopping","Vásárlás megkezdése"
"Your order is on the way","A rendelése úton van"
"Your order #${number} is on the way.","A(z) #${number} rendelése úton van."
"Items in this shipment","Tételek ebben a csomagban"
"We'll send tracking details as soon as the carrier scans the package.","Amint a futár beszkenneli a csomagot, elküldjük a nyomkövetési adatokat."
"Tracking","Nyomkövetés"
"Track shipment","Csomag követése"
"Your order was delivered","A rendelését kézbesítettük"
"Your order #${number} has been delivered.","A(z) #${number} rendelését kézbesítettük."
"Delivered items","Kézbesített tételek"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Reméljük, mindenben megfelel az elvárásainak. Ha valami nem stimmel, egyszerűen válaszoljon erre az e-mailre."
"Your order has been refunded","A rendelését visszatérítettük"
"A refund has been issued","Visszatérítés történt"
"A refund has been issued for your order","Visszatérítést indítottunk a rendeléséhez"
"A refund of ${amount} was issued for order #${number}.","${amount} összegű visszatérítést indítottunk a(z) #${number} rendeléshez."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Visszatérítettünk ${amount} összeget az eredeti fizetési módjára. A bankjától függően néhány munkanapba telhet, mire megjelenik a kivonatán."
"Your order has been canceled","A rendelését töröltük"
"Order #${number} has been canceled.","A(z) #${number} rendelést töröltük."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Ezt a rendelést töröltük. Ha egy fizetést engedélyeztek, azt feloldottuk, és nem terheljük meg Önt."
"Reason: ${reason}.","Indok: ${reason}."
"Order total","Rendelés végösszege"
"Order number","Rendelésszám"
"Welcome, ${name}.","Üdvözöljük, ${name}."
"Welcome to ${store}.","Üdvözöljük a(z) ${store} áruházban."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Köszönjük, hogy fiókot hozott létre a(z) ${store} áruházban. A kosara, rendelései és mentett címei mostantól egy helyen érhetők el."
"Reset your ${store} password.","Állítsa vissza a(z) ${store} fiókja jelszavát."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Kérést kaptunk a(z) ${store} fiókja jelszavának visszaállítására. Válasszon újat alább."
"If you didn't request this, you can safely ignore this email — your password won't change.","Ha nem Ön kérte ezt, nyugodtan figyelmen kívül hagyhatja ezt az e-mailt — a jelszava nem változik."
"Visit store","Ugrás az áruházba"
"Help","Súgó"
