Welcome Back!,خوش آمدید!
Please sign in to your account ,لطفاً وارد حساب کاربری خود شوید 
Join us for exclusive offers and order tracking,برای پیشنهادهای ویژه و پیگیری سفارش به ما بپیوندید
Sign Up,ثبت‌نام
Signing Up...,در حال ثبت‌نام...
Signing In...,در حال ورود...
Recent Orders,سفارش‌های اخیر
Address Book,دفترچه آدرس
You have no addresses saved,هیچ آدرسی ذخیره نکرده‌اید
Add new address,افزودن آدرس جدید
Address 2,آدرس ۲
Set as default,تنظیم به‌عنوان پیش‌فرض
Save,ذخیره
Edit,ویرایش
Delete,حذف
Edit Address,ویرایش آدرس
Product Filters,فیلترهای محصول
No products found,هیچ محصولی یافت نشد
${count} Products,${count} محصول
Default,پیش‌فرض
Name,نام
Contact Information,اطلاعات تماس
Your Cart,سبد خرید شما
Your cart is empty,سبد خرید شما خالی است
Subtotal,جمع جزء
View Cart (${totalQty}),مشاهده سبد (${totalQty})
Shopping Cart,سبد خرید
Logged in as,وارد شده با حساب
Payment Information,اطلاعات پرداخت
Same as shipping address,همانند آدرس ارسال
Use a different billing address,استفاده از آدرس صورت‌حساب متفاوت
Pick a payment method,یک روش پرداخت انتخاب کنید
Select a payment method,یک روش پرداخت انتخاب کنید
Complete Order,تکمیل سفارش
Add to Cart,افزودن به سبد
Search,جستجو
${count} orders,${count} سفارش
${field} is required,${field} الزامی است
${pct}% of orders cancelled,${pct}٪ سفارش‌ها لغو شده
${pct}% of orders completed,${pct}٪ سفارش‌ها تکمیل شده
${qty} sold,${qty} فروخته‌شده
${total} lifetime sale,${total} فروش کل عمر
(Guest Checkout),(تسویه‌حساب مهمان)
(list),(فهرست)
(optional),(اختیاری)
A coupon is already applied,یک کوپن قبلاً اعمال شده است
A group needs at least one sub-field,یک گروه به حداقل یک زیرفیلد نیاز دارد
A list of best selling products,فهرستی از پرفروش‌ترین محصولات
A list of customers who have placed the most orders,فهرستی از مشتریانی که بیشترین سفارش‌ها را ثبت کرده‌اند
A regular expression the value must match.,عبارت باقاعده‌ای که مقدار باید با آن مطابقت داشته باشد.
Accepted values,مقادیر پذیرفته‌شده
Active,فعال
Active Filters,فیلترهای فعال
