Login, تسجيل الدخول
Logout, تسجيل الخروج
Email, البريد الإلكتروني
Password, كلمة المرور
Forgot your password?, هل نسيت كلمة المرور؟
Create an account, إنشاء حساب
Register, تسجيل
Full Name, الاسم الكامل
SIGN IN, تسجيل الدخول
Order History, سجل الطلبات
Account Details, تفاصيل الحساب
You have not placed any orders yet, لم تقم بأي طلب بعد
My Account, حسابي
Already have an account?, هل لديك حساب بالفعل؟
Contact information, معلومات الاتصال
City, المدينة
Account Information, معلومات الحساب
Address, العنوان
Postcode, الرمز البريدي
Postcode is required, الرمز البريدي مطلوب
Telephone is required, رقم الهاتف مطلوب
Telephone, رقم الهاتف
Full name is required, الاسم الكامل مطلوب
Country is required, الدولة مطلوبة
Country, الدولة
Province is required, المحافظة مطلوبة
Province, المحافظة
Billing Address, عنوان الفواتير
Shipping Address, عنوان الشحن
Create A New Account, إنشاء حساب جديد
Contact, تواصل
Customer information, معلومات العميل
