${count} orders,${count} đơn hàng
${field} is required,${field} là bắt buộc
${pct}% of orders cancelled,${pct}% đơn bị hủy
${pct}% of orders completed,${pct}% đơn hoàn tất
${qty} sold,Đã bán ${qty}
${total} lifetime sale,${total} doanh thu trọn đời
(Guest Checkout),(Khách vãng lai)
(list),(danh sách)
(optional),(tùy chọn)
A coupon is already applied,Đã áp dụng một mã giảm giá
A group needs at least one sub-field,Nhóm cần ít nhất một trường con
A list of best selling products,Danh sách sản phẩm bán chạy
A list of customers who have placed the most orders,Danh sách khách hàng đặt nhiều đơn nhất
A regular expression the value must match.,Biểu thức chính quy mà giá trị phải khớp.
Accepted values,Giá trị hợp lệ
Active,Hoạt động
Active Filters,Bộ lọc đang dùng
Add address API not available,Không có API thêm địa chỉ
Add custom field,Thêm trường tùy chỉnh
Add field,Thêm trường
Add item,Thêm mục
Add option,Thêm tùy chọn
Add product,Thêm sản phẩm
Add some items to get started,Thêm vài mục để bắt đầu
Add sub-field,Thêm trường con
Adding...,Đang thêm...
Address has been deleted successfully!,Đã xóa địa chỉ thành công!
Address has been saved successfully!,Đã lưu địa chỉ thành công!
Address has been updated successfully!,Đã cập nhật địa chỉ thành công!
Address is required,Địa chỉ là bắt buộc
Adds target=_blank rel=noopener noreferrer.,Thêm target=_blank rel=noopener noreferrer.
All items fulfilled,Đã xử lý hết các mục
All orders,Tất cả đơn hàng
All your past orders,Tất cả đơn hàng đã đặt
Allow multiple,Cho phép nhiều
An unexpected error occurred. Please try again.,Đã xảy ra lỗi. Vui lòng thử lại.
Apply Filters,Áp dụng bộ lọc
Are you sure you want to mark the selected orders as shipped?,Bạn chắc muốn đánh dấu các đơn đã chọn là đã gửi?
Are you sure?,Bạn chắc chứ?
Attribute Group,Nhóm thuộc tính
Attribute code is used in API and must be unique,Mã thuộc tính dùng trong API và phải duy nhất
Attribute options,Tùy chọn thuộc tính
Attributes,Thuộc tính
Available shipping methods will appear once you provide your address details,Phương thức giao hàng sẽ hiện khi bạn nhập địa chỉ
Best Sellers,Bán chạy nhất
Best customers,Khách hàng hàng đầu
Billing address,Địa chỉ thanh toán
Black,Đen
Buy qty,SL mua
Buy qty is required,SL mua là bắt buộc
Can not process payment. Please try again later.,Không thể thanh toán. Vui lòng thử lại sau.
Can't be undone,Không thể hoàn tác
Cancel,Hủy
Cancel Order,Hủy đơn hàng
Cancel shipment,Hủy lô hàng
Cancel this shipment?,Hủy lô hàng này?
Canceled,Đã hủy
Cancelled,Đã hủy
Cannot add billing address: cart not initialized,Không thêm được địa chỉ thanh toán: giỏ hàng chưa khởi tạo
Cannot add contact info: cart not initialized,Không thêm được thông tin liên hệ: giỏ hàng chưa khởi tạo
Cannot add payment method: cart not initialized,Không thêm được phương thức thanh toán: giỏ hàng chưa khởi tạo
Cannot add shipping address: cart not initialized,Không thêm được địa chỉ giao hàng: giỏ hàng chưa khởi tạo
Cannot add shipping method: cart not initialized,Không thêm được phương thức giao hàng: giỏ hàng chưa khởi tạo
Cannot add shipping method: providerCode is required,Không thể thêm phương thức giao hàng: cần có providerCode
Cannot apply coupon: cart not initialized,Không thể áp dụng mã giảm giá: giỏ hàng chưa khởi tạo
Cannot remove coupon: cart not initialized,Không thể bỏ mã giảm giá: giỏ hàng chưa khởi tạo
Carrier,Đơn vị vận chuyển
Carrier is required,Cần có đơn vị vận chuyển
Cart ID is required to checkout,Cần ID giỏ hàng để thanh toán
Cart is not initialized,Giỏ hàng chưa khởi tạo
Catalog,Danh mục
Categories,Danh mục
Category,Danh mục
Charcoal,Xám than
Checkout success,Thanh toán thành công
Choose Product SKU,Chọn SKU sản phẩm
Choose SKU,Chọn SKU
City is required,Cần có thành phố
Clear All,Xóa hết
Clear Filters,Xóa bộ lọc
Clear all,Xóa hết
Clear categories,Xóa danh mục
Close fullscreen view,Đóng toàn màn hình
Code,Mã
Collections,Bộ sưu tập
Comma-separated; renders the value as a dropdown.,Cách nhau bằng dấu phẩy; hiển thị dưới dạng menu thả.
Completed,Hoàn tất
Configurable,Có thể cấu hình
Configure tax classes and tax rates,Cấu hình loại thuế và mức thuế
Confirm,Xác nhận
Contact for pricing,Liên hệ để biết giá
Conveniently pay with cash at your doorstep when your order is delivered.,Tiện lợi trả tiền mặt tận nơi khi đơn hàng được giao.
Coupon applied successfully!,Áp dụng mã giảm giá thành công!
Coupon code is required,Cần có mã giảm giá
Coupon does not match,Mã giảm giá không khớp
Coupon removed successfully!,Đã bỏ mã giảm giá thành công!
Cream,Kem
Create,Tạo
Create a new attribute,Tạo thuộc tính mới
Create a new group,Tạo nhóm mới
Create a new package,Tạo gói mới
Create shipment,Tạo lô hàng
Created,Đã tạo
Custom URL,URL tùy chỉnh
Custom field created,Đã tạo trường tùy chỉnh
Custom field updated,Đã cập nhật trường tùy chỉnh
Custom fields,Trường tùy chỉnh
Custom fields (JSON),Trường tùy chỉnh (JSON)
Custom fields saved,Đã lưu trường tùy chỉnh
Customer Information,Thông tin khách hàng
